,departure_delay_avg,arrival_delay_avg,departure_cancelled_avg,arrival_diverted_avg
BMI,11.348731294729994,8.4345703125,0.028679483138985187,0.0034678436317780582
BNA,11.121594838780224,4.48166630208903,0.014556373968194121,0.0010638154616824443
BOI,6.061626994506931,2.4754450261780105,0.0043249439841592414,0.0010422637969670124
BOS,12.468544457767027,8.671116631164091,0.02593949700049261,0.000992036712106897
BPT,6.263736263736264,4.152625152625153,0.038777908343125736,0.0023501762632197414
BQK,2.983067729083665,2.8465346534653464,0.009633911368015413,0.004816955684007707
BRO,6.041567695961995,5.7104323681078935,0.031070195627157654,0.005747126436781609
BTR,10.53876125218326,6.593060785368477,0.01649947201689546,0.002638870563398865
BTV,11.621467712474482,7.006856653096207,0.039477742366608407,0.003083564600678384
BUF,9.55093009594674,6.455516431924883,0.02556385248399878,0.001561904761904762
BUR,9.518905472636815,5.310096522138808,0.017116202084038672,0.002031067815097604
BWI,11.35408985126943,3.3282194730416896,0.02173526077628608,0.0028668865237595565
BZN,8.539996559435748,0.8670700086430424,0.004964903269988016,0.005305493753208968
CAE,8.521150082793918,5.220099292914097,0.0240575033005721,0.0022000586682311527
CAK,13.834633812457222,13.740123881624227,0.027696404793608524,0.0010652463382157123
CGI,10.20066334991708,0.7320819112627986,0.0352,0.008
CHA,11.96929143266818,9.983809066922523,0.016566795911173774,0.0021139166177334117
CHO,13.628028326500186,8.32778297474275,0.036239684248295656,0.0068149210903873745
CHS,9.332827143353002,3.851432782763255,0.03755064533645211,0.0014198613547147748
CID,8.831325301204819,4.7309481612760305,0.019714038128249567,0.0034665800021666123
CIU,8.96206373292868,2.2042682926829267,0.022288261515601784,0.007429420505200594
CKB,18.586294416243653,17.769620253164558,0.023543990086741014,0.0012391573729863693
CLE,9.001668461847135,5.526993048365626,0.020398883951637903,0.001653268304780012
CLL,9.97875166002656,7.737378210806023,0.022923875432525952,0.003457216940363008
CLT,10.745946041014458,3.032944142231657,0.02588324039825645,0.0023145270863961526
CMH,10.062830142420934,5.025560958201365,0.020630935487392206,0.0013753056234718827
CMX,22.574529667149058,22.986784140969164,0.04827586206896552,0.01098901098901099
COD,7.406403940886699,3.1021170610211706,0.012165450121654502,0.02063106796116505
COS,12.67238674249853,10.427994881385963,0.013929193267556587,0.003096274794388002
COU,12.119409866297833,10.778495616059068,0.025617977528089888,0.0008992805755395684
CPR,-0.18839103869653767,-5.045965270684372,0.003045685279187817,0.005076142131979695
CRP,6.166482096714655,8.074566260612773,0.02696871628910464,0.0003596475454055026
CRW,12.568181818181818,8.470006740058414,0.029145077720207253,0.0064794816414686825
CSG,11.931891025641026,6.896999188969992,0.01096319498825372,0.010180109631949883
CVG,10.207208323012138,5.758268933539413,0.01935718030406904,0.001008267795926598
CWA,5.140274765003615,2.5108616944243303,0.026288117770767613,0.002102312543798178
CYS,5.350877192982456,-0.40350877192982454,0.017241379310344827,0.0
DAB,8.526601830663616,6.190667048382479,0.015219842164599774,0.002818489289740699
DAL,14.257588960473123,4.848244555536402,0.014212268469610536,0.004802613974057434
DAY,11.320435927442949,8.867401690554942,0.029340721795964763,0.0017763251385533609
DBQ,5.947807933194155,6.598540145985401,0.05153617443012884,0.003964321110009911
DCA,10.21892838558858,5.051844396592079,0.02914343065418022,0.004331487043269594
DEN,10.37517697228145,3.1323973591647354,0.006758789604600215,0.002961613422591306
DFW,12.101526027077497,6.313123741493599,0.019208873676145193,0.004504569022315163
DHN,11.275988286969254,8.192815249266863,0.005822416302765648,0.001455604075691412
DLH,10.502913328477787,7.611029948867786,0.018942101501072194,0.0035739814152966403
DRO,8.564094179202092,6.236315961979678,0.02176,0.00224
DSM,8.21031694274162,5.301105514489436,0.013418079096045197,0.0028246774090004492
DTW,8.493276106888377,1.822873557309205,0.009732221079495677,0.0011937417454028244
DVL,15.945,0.7634228187919463,0.04153354632587859,0.004784688995215311
