airport_code,length_ft_sum,width_ft_avg
HMN,35506.0,200.0
HNH,2997.0,75.0
HNL,48252.0,183.33333333333334
HNM,3606.0,100.0
HNS,4000.0,100.0
HNZ,5003.0,100.0
HOB,18398.0,133.33333333333334
HOM,6701.0,150.0
HON,12201.0,87.5
HOP,16300.0,175.0
HOT,10694.0,150.0
HOU,26352.0,137.5
HPB,3300.0,75.0
HPN,10999.0,150.0
HQM,5000.0,150.0
HQU,5200.0,100.0
HRL,21507.0,150.0
HRO,6161.0,150.0
HSH,11502.0,87.5
HSL,4000.0,75.0
HST,11201.0,300.0
HSV,22606.0,150.0
HTL,6200.0,87.5
HTS,9516.0,105.0
HTV,5006.0,100.0
HUA,7300.0,150.0
HUF,20221.0,150.0
HUL,10001.0,150.0
HUS,3380.0,100.0
HUT,17256.0,91.66666666666667
HVN,9226.0,125.0
HVR,8904.0,80.0
HVS,5000.0,75.0
HWD,8801.0,112.5
HWO,13105.0,100.0
HYA,10677.0,150.0
HYG,5000.0,2000.0
HYI,17146.0,116.66666666666667
HYR,6243.0,110.0
HYS,11000.0,87.5
HYW,4400.0,75.0
HZL,4898.0,100.0
I16,3701.0,60.0
IAB,24000.0,250.0
IAD,45003.0,150.0
IAG,18991.0,125.0
IAH,50402.0,150.0
IAN,3400.0,100.0
ICT,23903.0,150.0
IDA,13053.0,112.5
IDL,15991.0,100.0
IDP,8903.0,80.0
IGG,3000.0,75.0
IGQ,7397.0,75.0
IGX,4005.0,75.0
IJD,11125.0,108.33333333333333
IKK,10378.0,87.5
IKO,3512.0,135.0
IKV,9700.0,87.5
ILG,18796.0,150.0
ILI,15777.0,250.0
ILM,15020.0,175.0
ILN,19701.0,150.0
IMM,15001.0,150.0
IMT,10312.0,112.5
IND,28805.0,150.0
INJ,4000.0,60.0
INK,8515.0,100.0
INL,9507.0,112.5
INS,14004.0,125.0
INT,10593.0,150.0
INW,20667.0,150.0
IOB,5002.0,75.0
IOW,8255.0,150.0
IPL,9804.0,87.5
IPT,10754.0,150.0
IRC,2979.0,60.0
IRK,7398.0,100.0
ISM,11000.0,125.0
ISN,10103.0,80.0
ISO,11500.0,150.0
ISP,20401.0,131.25
ISW,11240.0,66.66666666666667
ITH,8619.0,100.0
ITO,15400.0,150.0
IWS,3953.0,75.0
IYK,17525.0,75.0
IZG,4200.0,75.0
JAC,6300.0,150.0
JAN,17000.0,150.0
JAS,5500.0,70.0
JAX,17701.0,150.0
JBR,10299.0,150.0
JCI,12469.0,145.0
JCT,7255.0,110.5
JEF,9402.0,87.5
JES,5500.0,100.0
JFK,44990.0,200.0
JGG,3204.0,60.0
JHM,3000.0,100.0
JHW,9799.0,100.0
JKA,10561.0,85.0
JLN,16606.0,108.33333333333333
JMS,12249.0,87.5
JNU,13357.0,300.0
JOT,6165.0,120.0
JST,15089.0,116.66666666666667
JSV,4000.0,75.0
JVL,19001.0,125.0
JXN,8845.0,125.0
JYL,12912.0,108.33333333333333
JYO,5500.0,100.0
JZI,9313.0,150.0
JZP,5000.0,100.0
K03,3000.0,100.0
K83,4540.0,55.0
KAL,3986.0,100.0
KFP,2100.0,75.0
KGK,3000.0,75.0
KKA,3000.0,60.0
KKH,1885.0,35.0
KLG,3172.0,75.0
KLN,2690.0,75.0
KLS,4391.0,100.0
KLW,5000.0,100.0
KMO,3300.0,75.0
KNW,3281.0,98.0
KOA,11000.0,150.0
KOT,4422.0,100.0
KPC,4500.0,120.0
KPN,2120.0,35.0
KPV,3300.0,75.0
KQA,10000.0,1000.0
KSM,7903.0,105.0
KTN,17000.0,825.0
KTS,5100.0,87.5
KUK,3000.0,60.0
KVC,3500.0,100.0
KVL,3000.0,60.0
KWK,2510.0,60.0
KWN,4000.0,75.0
KWT,3198.0,75.0
KYK,2000.0,60.0
KYU,4000.0,75.0
LAA,11305.0,80.0
LAF,10826.0,125.0
LAL,13500.0,150.0
LAM,5550.0,113.0
LAN,15853.0,115.0
LAR,14800.0,125.0
LAS,43796.0,150.0
LAW,8599.0,150.0
LAX,42397.0,162.5
LBB,22392.0,125.0
LBE,10597.0,87.5
LBF,12436.0,125.0
LBL,12826.0,150.0
LBT,15482.0,150.0
LCH,11700.0,125.0
LCK,27283.0,136.66666666666666
LCQ,12002.0,112.5
LDJ,4137.0,100.0
LDM,8506.0,75.0
LEB,10696.0,100.0
LEE,9957.0,100.0
LEW,7751.0,87.5
LEX,7003.0,150.0
LFI,10000.0,150.0
LFK,9707.0,100.0
LFT,17149.0,124.33333333333333
