ABBR_x,length_ft,width_ft
EUG,19605.0,90.88888888888889
EVV,24119.0,89.66666666666667
EWN,11954.0,90.0
EWR,40037.0,90.66666666666667
EYW,31541.0,123.33333333333333
FAI,80769.0,118.15789473684211
FAR,28670.0,100.0
FAT,32097.0,70.83333333333333
FAY,75783.0,106.7741935483871
FCA,45674.0,78.125
FLG,7239.0,130.0
FLL,34459.0,89.83333333333333
FLO,56418.0,402.3333333333333
FNT,15100.0,116.66666666666667
FSD,21868.0,89.57142857142857
FSM,16909.0,86.0
FWA,30237.0,78.0
GCC,34503.0,75.83333333333333
GEG,59124.0,86.5
GFK,33005.0,99.16666666666667
GGG,23459.0,74.375
GJT,19188.0,60.5
GNV,51200.0,87.16666666666667
GPT,21127.0,128.0
GRB,25591.0,101.66666666666667
GRK,9443.0,87.0
GRR,51996.0,140.57142857142858
GSO,55439.0,145.0
GSP,175322.0,176.5
GST,19730.0,1403.3333333333333
GTF,30140.0,79.16666666666667
GUC,12450.0,116.66666666666667
HDN,10000.0,150.0
HLN,37880.0,90.3125
HNL,52525.0,127.08333333333333
HOU,422010.0,79.48818897637796
HPN,11039.0,112.0
HRL,23577.0,105.71428571428571
HSV,47571.0,89.66666666666667
HTS,35100.0,67.73333333333333
IAD,243124.0,86.51020408163265
IAH,422010.0,79.48818897637796
ICT,80795.0,97.4
IDA,18148.0,86.0
ILM,72037.0,96.0952380952381
IND,68641.0,84.3125
IPL,17884.0,143.75
ISP,20401.0,131.25
ITH,20619.0,121.25
ITO,15486.0,128.66666666666666
IYK,17525.0,75.0
JAN,100511.0,79.64583333333333
JAX,167878.0,108.13953488372093
JFK,149524.0,136.33333333333334
JNU,32881.0,221.2
KTN,40043.0,1116.6666666666667
LAN,23253.0,75.81818181818181
LAS,109200.0,87.07407407407408
LAW,21709.0,129.28571428571428
LAX,51667.0,70.12121212121212
LBB,53472.0,84.8125
LCH,41112.0,86.9090909090909
LFT,55346.0,84.83333333333333
LGA,149524.0,136.33333333333334
LGB,31150.0,91.42857142857143
LIH,13000.0,150.0
LIT,30637.0,59.11764705882353
LMT,26253.0,83.33333333333333
LNK,72836.0,98.16
LRD,31566.0,93.85714285714286
LSE,25732.0,96.57142857142857
LWB,18691.0,84.57142857142857
LWS,19650.0,94.16666666666667
LYH,18408.0,90.85714285714286
MAF,74981.0,88.72222222222223
MBS,24828.0,122.14285714285714
MCI,44126.0,65.81481481481481
MCO,114801.0,143.525
MDT,35559.0,74.58823529411765
MDW,230788.0,107.70370370370371
MEI,53458.0,129.54545454545453
MEM,61010.0,80.1
MFR,34803.0,87.35714285714286
MGM,44420.0,83.8
MHK,17940.0,83.33333333333333
MIA,128624.0,115.91176470588235
MKE,46037.0,137.63636363636363
MLB,30188.0,86.8
MLI,34086.0,127.14285714285714
MLU,71887.0,93.13333333333334
MOB,45681.0,117.27272727272727
MOD,18190.0,94.16666666666667
MOT,32997.0,159.5
MQT,3000.0,100.0
MRY,20679.0,89.28571428571429
MSN,82922.0,97.48571428571428
MSO,15468.0,51.25
MSP,88114.0,195.35
MSY,51604.0,105.11111111111111
MYR,9503.0,150.0
OAK,51258.0,91.88888888888889
OGG,11985.0,150.0
OKC,90131.0,83.1875
OMA,48673.0,88.4375
OME,21387.0,124.28571428571429
ONT,26765.0,115.0
ORD,230788.0,107.70370370370371
ORF,49575.0,101.66666666666667
OTH,14172.0,106.0
OTZ,9700.0,120.0
OXR,6078.0,75.0
PBI,47665.0,82.42105263157895
PDX,160394.0,80.46875
PFN,40851.0,112.57142857142857
PHF,14733.0,84.0
PHL,62068.0,74.94736842105263
PHX,76753.0,90.39024390243902
PIA,40954.0,91.35714285714286
PIH,16250.0,96.66666666666667
PIR,21187.0,98.0
PIT,54647.0,82.69565217391305
PLN,11907.0,150.0
PNS,61498.0,154.42857142857142
PSC,30212.0,84.44444444444444
PSG,48478.0,157.8125
PSP,33499.0,99.16666666666667
PVD,18843.0,85.85714285714286
PWM,160394.0,80.46875
RAP,30647.0,124.66666666666667
RDD,26435.0,568.625
RHI,23714.0,108.33333333333333
RIC,72869.0,88.14285714285714
RKS,19273.0,78.75
RNO,49427.0,109.6
ROC,133064.0,118.5
ROW,35481.0,97.625
RST,133064.0,118.5
RSW,51197.0,131.75
SAF,25167.0,102.25
SAN,72241.0,127.6842105263158
SAT,92577.0,281.0681818181818
SAV,44497.0,85.76923076923077
SBA,20870.0,73.375
SBN,23854.0,90.6
SBP,8600.0,125.0
SCC,29230.0,100.625
SDF,60700.0,90.88
SEA,69544.0,205.0
SFO,39134.0,136.0
SGF,246692.0,92.07407407407408
SHV,24095.0,88.54545454545455
SIT,13000.0,416.6666666666667
SJC,33217.0,96.125
SJT,27022.0,87.875
SLC,45319.0,82.3
SMF,67811.0,102.05882352941177
SMX,13964.0,75.75
SNA,48657.0,130.9090909090909
SPI,246692.0,92.07407407407408
SPS,55443.0,109.2
SRQ,9396.0,63.625
STL,60016.0,93.61538461538461
SUN,12702.0,100.0
SUX,15762.0,92.0
SWF,26884.0,248.33333333333334
SYR,40294.0,299.8181818181818
TEX,12388.0,52.0
TLH,17830.0,110.8
TOL,36894.0,98.70588235294117
TPA,60121.0,107.73684210526316
TRI,23065.0,63.25
TUL,41300.0,81.94117647058823
TUS,104755.0,83.14285714285714
TVC,21240.0,104.16666666666667
TWF,12507.0,67.0
TXK,17251.0,103.16666666666667
TYR,24510.0,118.18181818181819
TYS,33818.0,83.28571428571429
VLD,43736.0,109.44444444444444
VPS,49879.0,125.0
WRG,14999.0,255.0
WYS,20406.0,1575.0
XNA,4142.0,62.5
YAK,32830.0,262.44444444444446
YUM,46833.0,98.33333333333333
