Dougherty County, Georgia, Average Temperature
201208,78.9,-1.8
201209,75.8,-1.0
201210,66.8,0.0
201211,55.0,-1.7
201212,54.3,4.3
201301,55.7,6.5
201302,51.3,-0.3
201303,52.9,-5.4
201304,64.9,-0.7
201305,70.8,-2.6
201306,80.1,0.8
201307,79.0,-2.0
201308,79.2,-1.5
201309,76.5,-0.3
201310,67.0,0.2
201311,55.8,-0.9
201312,54.2,4.2
201401,42.4,-6.8
201402,52.3,0.7
201403,55.3,-3.0
201404,64.4,-1.2
201405,72.5,-0.9
201406,79.5,0.2
201407,80.3,-0.7
201408,81.1,0.4
201409,77.0,0.2
201410,67.1,0.3
201411,51.5,-5.2
201412,53.6,3.6
201501,47.3,-1.9
201502,46.4,-5.2
201503,62.2,3.9
201504,69.7,4.1
201505,74.5,1.1
201506,80.4,1.1
201507,82.4,1.4
201508,81.0,0.3
201509,75.8,-1.0
201510,67.5,0.7
201511,63.0,6.3
201512,61.3,11.3
201601,46.8,-2.4
201602,52.3,0.7
201603,63.0,4.7
201604,65.8,0.2
201605,72.8,-0.6
201606,80.6,1.3
201607,82.9,1.9
201608,81.9,1.2
201609,78.8,2.0
201610,70.0,3.2
201611,60.5,3.8
201612,56.6,6.6
201701,55.2,6.0
201702,59.3,7.7
201703,60.9,2.6
201704,69.4,3.8
201705,73.2,-0.2
201706,77.7,-1.6
201707,81.4,0.4
201708,81.0,0.3
201709,76.2,-0.6
201710,69.8,3.0
201711,58.7,2.0
201712,52.4,2.4
201801,44.6,-4.6
201802,62.4,10.8
201803,57.7,-0.6
201804,63.2,-2.4
201805,75.5,2.1
201806,80.7,1.4
201807,81.1,0.1
201808,80.2,-0.5
201809,81.5,4.7
201810,72.7,5.9
201811,56.4,-0.3
201812,53.1,3.1
201901,50.9,1.7
201902,60.4,8.8
201903,59.5,1.2
201904,67.2,1.6
201905,77.3,3.9
201906,80.7,1.4
201907,82.3,1.3
201908,82.0,1.3
201909,80.4,3.6
201910,72.6,5.8
201911,55.4,-1.3
201912,54.4,4.4
202001,53.7,4.5
