Hughes County, South Dakota, Average Temperature
201209,63.5,1.8
201210,46.8,-2.2
201211,34.6,2.3
201212,20.8,1.3
201301,18.9,4.3
201302,23.6,3.9
201303,28.4,-3.0
201304,37.0,-8.7
201305,56.6,-0.5
201306,66.3,-0.8
201307,72.1,-2.2
201308,73.0,0.8
201309,67.7,6.0
201310,45.2,-3.8
201311,32.6,0.3
201312,12.0,-7.5
201401,19.2,4.6
201402,13.7,-6.0
201403,29.5,-1.9
201404,44.2,-1.5
201405,56.3,-0.8
201406,64.8,-2.3
201407,70.6,-3.7
201408,70.0,-2.2
201409,62.4,0.7
201410,50.7,1.7
201411,25.7,-6.6
201412,23.1,3.6
201501,22.0,7.4
201502,19.4,-0.3
201503,40.5,9.1
201504,48.7,3.0
201505,55.0,-2.1
201506,68.7,1.6
201507,73.6,-0.7
201508,71.4,-0.8
201509,66.7,5.0
201510,52.6,3.6
201511,37.7,5.4
201512,23.4,3.9
201601,19.0,4.4
201602,32.1,12.4
201603,39.8,8.4
201604,46.9,1.2
201605,57.0,-0.1
201606,71.2,4.1
201607,74.9,0.6
201608,72.8,0.6
201609,64.3,2.6
201610,53.6,4.6
201611,42.3,10.0
201612,15.5,-4.0
201701,15.8,1.2
201702,29.4,9.7
201703,36.5,5.1
201704,46.8,1.1
201705,56.8,-0.3
201706,69.2,2.1
201707,78.2,3.9
201708,67.9,-4.3
201709,63.0,1.3
201710,49.2,0.2
201711,35.6,3.3
201712,22.7,3.2
201801,17.9,3.3
201802,11.1,-8.6
201803,30.6,-0.8
201804,36.4,-9.3
201805,63.0,5.9
201806,70.5,3.4
201807,73.7,-0.6
201808,72.2,0.0
201809,62.9,1.2
201810,44.6,-4.4
201811,30.0,-2.3
201812,26.3,6.8
201901,17.6,3.0
201902,5.0,-14.7
201903,24.0,-7.4
201904,44.8,-0.9
201905,51.5,-5.6
201906,67.2,0.1
201907,73.2,-1.1
201908,68.6,-3.6
201909,64.2,2.5
201910,41.7,-7.3
201911,32.2,-0.1
201912,22.3,2.8
202001,19.2,4.6
