Linn County, Iowa, Average Temperature
201209,61.4,-1.3
201210,48.5,-2.5
201211,38.2,2.4
201212,28.8,6.0
201301,22.2,4.7
201302,23.9,1.6
201303,28.4,-6.0
201304,45.8,-2.0
201305,60.6,1.2
201306,69.0,0.2
201307,71.8,-1.6
201308,71.9,1.1
201309,66.5,3.8
201310,50.8,-0.2
201311,34.0,-1.8
201312,17.0,-5.8
201401,11.8,-5.7
201402,10.6,-11.7
201403,29.4,-5.0
201404,47.4,-0.4
201405,60.0,0.6
201406,70.4,1.6
201407,68.5,-4.9
201408,71.1,0.3
201409,61.7,-1.0
201410,49.7,-1.3
201411,29.3,-6.5
201412,28.4,5.6
201501,20.4,2.9
201502,12.0,-10.3
201503,35.8,1.4
201504,50.4,2.6
201505,61.0,1.6
201506,68.8,0.0
201507,71.6,-1.8
201508,68.5,-2.3
201509,68.0,5.3
201510,52.4,1.4
201511,41.7,5.9
201512,34.9,12.1
201601,19.4,1.9
201602,28.0,5.7
201603,41.8,7.4
201604,49.1,1.3
201605,59.8,0.4
201606,72.4,3.6
201607,73.0,-0.4
201608,72.5,1.7
201609,67.4,4.7
201610,55.7,4.7
201611,44.4,8.6
201612,22.3,-0.5
201701,23.7,6.2
201702,34.6,12.3
201703,37.2,2.8
201704,51.2,3.4
201705,57.8,-1.6
201706,70.6,1.8
201707,73.4,0.0
201708,67.1,-3.7
201709,66.2,3.5
201710,53.7,2.7
201711,35.7,-0.1
201712,23.3,0.5
201801,18.1,0.6
201802,21.6,-0.7
201803,34.2,-0.2
201804,39.8,-8.0
201805,66.9,7.5
201806,72.8,4.0
201807,72.3,-1.1
201808,71.6,0.8
201809,65.1,2.4
201810,48.8,-2.2
201811,29.9,-5.9
201812,28.2,5.4
201901,16.5,-1.0
201902,16.5,-5.8
201903,31.1,-3.3
201904,48.7,0.9
201905,57.0,-2.4
201906,68.5,-0.3
201907,75.4,2.0
201908,69.0,-1.8
201909,67.7,5.0
201910,46.5,-4.5
201911,31.1,-4.7
201912,29.8,7.0
202001,23.1,5.6
