Jefferson County, Alabama, Average Temperature
201208,77.8,-1.3
201209,72.0,-1.8
201210,60.9,-1.6
201211,50.1,-1.6
201212,49.8,5.3
201301,47.6,4.5
201302,45.7,-0.3
201303,48.8,-4.6
201304,61.3,-0.2
201305,67.5,-2.1
201306,77.5,0.6
201307,77.2,-2.5
201308,77.4,-1.7
201309,74.0,0.2
201310,64.0,1.5
201311,49.6,-2.1
201312,46.1,1.6
201401,35.2,-7.9
201402,45.1,-0.9
201403,51.7,-1.7
201404,61.8,0.3
201405,69.6,0.0
201406,77.4,0.5
201407,77.5,-2.2
201408,79.9,0.8
201409,76.3,2.5
201410,65.0,2.5
201411,47.6,-4.1
201412,47.8,3.3
201501,41.5,-1.6
201502,39.1,-6.9
201503,55.4,2.0
201504,64.4,2.9
201505,70.9,1.3
201506,78.8,1.9
201507,81.4,1.7
201508,78.2,-0.9
201509,73.9,0.1
201510,64.0,1.5
201511,58.2,6.5
201512,55.4,10.9
201601,41.3,-1.8
201602,48.9,2.9
201603,58.2,4.8
201604,62.5,1.0
201605,69.4,-0.2
201606,79.0,2.1
201607,82.0,2.3
201608,81.7,2.6
201609,78.7,4.9
201610,68.8,6.3
201611,56.9,5.2
201612,48.0,3.5
201701,51.0,7.9
201702,54.1,8.1
201703,57.3,3.9
201704,67.1,5.6
201705,68.8,-0.8
201706,75.0,-1.9
201707,80.5,0.8
201708,78.2,-0.9
201709,72.4,-1.4
201710,64.6,2.1
201711,54.2,2.5
201712,44.8,0.3
201801,39.0,-4.1
201802,55.9,9.9
201803,54.1,0.7
201804,58.7,-2.8
201805,74.1,4.5
201806,78.8,1.9
201807,80.6,0.9
201808,79.7,0.6
201809,79.7,5.9
201810,66.7,4.2
201811,48.4,-3.3
201812,47.2,2.7
201901,44.3,1.2
201902,54.4,8.4
201903,53.5,0.1
201904,63.3,1.8
201905,73.7,4.1
201906,77.5,0.6
201907,80.5,0.8
201908,80.5,1.4
201909,80.4,6.6
201910,66.1,3.6
201911,49.0,-2.7
201912,49.9,5.4
202001,48.6,5.5
