Black Hawk County, Iowa, Average Temperature
201209,61.5,-0.6
201210,48.6,-2.1
201211,38.2,3.3
201212,26.7,5.3
201301,20.8,4.5
201302,22.5,1.3
201303,26.8,-6.9
201304,43.9,-3.5
201305,59.0,0.0
201306,68.5,0.1
201307,71.9,-1.1
201308,71.3,0.8
201309,65.6,3.5
201310,50.0,-0.7
201311,31.9,-3.0
201312,15.4,-6.0
201401,10.5,-5.8
201402,9.2,-12.0
201403,27.1,-6.6
201404,45.7,-1.7
201405,59.1,0.1
201406,69.8,1.4
201407,68.2,-4.8
201408,71.0,0.5
201409,61.3,-0.8
201410,49.1,-1.6
201411,28.0,-6.9
201412,27.6,6.2
201501,20.1,3.8
201502,11.2,-10.0
201503,35.2,1.5
201504,49.7,2.3
201505,60.1,1.1
201506,68.7,0.3
201507,71.3,-1.7
201508,68.1,-2.4
201509,68.2,6.1
201510,52.0,1.3
201511,41.0,6.1
201512,33.8,12.4
201601,18.0,1.7
201602,26.6,5.4
201603,40.3,6.6
201604,48.9,1.5
201605,59.0,0.0
201606,71.5,3.1
201607,72.1,-0.9
201608,71.3,0.8
201609,66.4,4.3
201610,54.7,4.0
201611,43.9,9.0
201612,21.5,0.1
201701,23.0,6.7
201702,33.4,12.2
201703,35.1,1.4
201704,50.4,3.0
201705,57.2,-1.8
201706,70.2,1.8
201707,72.7,-0.3
201708,66.6,-3.9
201709,65.8,3.7
201710,52.6,1.9
201711,34.6,-0.3
201712,22.5,1.1
201801,16.6,0.3
201802,19.2,-2.0
201803,32.8,-0.9
201804,37.8,-9.6
201805,66.0,7.0
201806,72.0,3.6
201807,71.5,-1.5
201808,70.6,0.1
201809,64.3,2.2
201810,47.5,-3.2
201811,29.0,-5.9
201812,28.2,6.8
201901,15.8,-0.5
201902,14.7,-6.5
201903,30.1,-3.6
201904,48.3,0.9
201905,56.4,-2.6
201906,68.8,0.4
201907,75.2,2.2
201908,69.0,-1.5
201909,67.9,5.8
201910,46.9,-3.8
201911,31.4,-3.5
201912,29.3,7.9
202001,22.3,6.0
