Kosciusko County, Indiana, Average Temperature
201209,62.7,-0.8
201210,50.9,-0.8
201211,38.3,-0.4
201212,35.8,8.4
201301,26.9,3.7
201302,27.2,1.6
201303,32.2,-3.9
201304,47.6,0.0
201305,63.4,4.4
201306,69.2,0.7
201307,71.6,-1.1
201308,69.6,-0.7
201309,64.6,1.1
201310,52.4,0.7
201311,36.9,-1.8
201312,25.0,-2.4
201401,15.3,-7.9
201402,17.7,-7.9
201403,29.1,-7.0
201404,48.8,1.2
201405,60.6,1.6
201406,71.7,3.2
201407,68.0,-4.7
201408,70.9,0.6
201409,62.0,-1.5
201410,51.5,-0.2
201411,33.2,-5.5
201412,32.0,4.6
201501,20.7,-2.5
201502,14.6,-11.0
201503,33.2,-2.9
201504,49.5,1.9
201505,63.0,4.0
201506,68.7,0.2
201507,70.0,-2.7
201508,69.2,-1.1
201509,67.7,4.2
201510,53.8,2.1
201511,44.0,5.3
201512,40.0,12.6
201601,24.1,0.9
201602,30.8,5.2
201603,43.7,7.6
201604,49.3,1.7
201605,59.0,0.0
201606,70.5,2.0
201607,73.7,1.0
201608,74.2,3.9
201609,68.0,4.5
201610,56.8,5.1
201611,45.4,6.7
201612,25.7,-1.7
201701,30.4,7.2
201702,38.2,12.6
201703,38.0,1.9
201704,53.7,6.1
201705,57.9,-1.1
201706,70.2,1.7
201707,71.8,-0.9
201708,68.0,-2.3
201709,65.6,2.1
201710,56.8,5.1
201711,39.7,1.0
201712,26.1,-1.3
201801,23.6,0.4
201802,30.1,4.5
201803,35.4,-0.7
201804,41.6,-6.0
201805,67.2,8.2
201806,71.1,2.6
201807,73.3,0.6
201808,72.6,2.3
201809,68.3,4.8
201810,52.8,1.1
201811,34.4,-4.3
201812,32.6,5.2
201901,22.6,-0.6
201902,27.9,2.3
201903,33.9,-2.2
201904,48.3,0.7
201905,59.2,0.2
201906,68.5,0.0
201907,75.4,2.7
201908,70.4,0.1
201909,68.2,4.7
201910,53.3,1.6
201911,34.5,-4.2
201912,33.7,6.3
202001,31.6,8.4
