Allen County, Indiana, Average Temperature
201209,62.9,-1.3
201210,51.1,-1.1
201211,38.8,-0.7
201212,36.0,8.0
201301,27.9,3.9
201302,27.1,0.9
201303,32.7,-4.0
201304,47.6,-0.6
201305,64.1,4.7
201306,69.8,0.8
201307,71.8,-1.4
201308,70.0,-0.9
201309,64.7,0.5
201310,53.1,0.9
201311,38.1,-1.4
201312,27.2,-0.8
201401,15.7,-8.3
201402,17.7,-8.5
201403,29.3,-7.4
201404,49.5,1.3
201405,60.9,1.5
201406,71.3,2.3
201407,68.1,-5.1
201408,70.9,0.0
201409,62.6,-1.6
201410,51.9,-0.3
201411,34.5,-5.0
201412,33.0,5.0
201501,21.0,-3.0
201502,15.6,-10.6
201503,33.4,-3.3
201504,50.0,1.8
201505,63.8,4.4
201506,69.0,0.0
201507,70.8,-2.4
201508,69.6,-1.3
201509,67.8,3.6
201510,54.3,2.1
201511,44.7,5.2
201512,40.9,12.9
201601,25.8,1.8
201602,31.9,5.7
201603,44.3,7.6
201604,49.1,0.9
201605,59.7,0.3
201606,70.8,1.8
201607,74.0,0.8
201608,74.7,3.8
201609,68.4,4.2
201610,57.5,5.3
201611,46.0,6.5
201612,27.0,-1.0
201701,32.0,8.0
201702,38.7,12.5
201703,39.2,2.5
201704,54.5,6.3
201705,58.7,-0.7
201706,70.4,1.4
201707,72.5,-0.7
201708,68.3,-2.6
201709,65.8,1.6
201710,56.8,4.6
201711,40.8,1.3
201712,26.6,-1.4
201801,23.7,-0.3
201802,31.7,5.5
201803,35.4,-1.3
201804,42.7,-5.5
201805,66.6,7.2
201806,71.6,2.6
201807,73.1,-0.1
201808,73.1,2.2
201809,68.2,4.0
201810,53.1,0.9
201811,35.4,-4.1
201812,33.3,5.3
201901,24.0,0.0
201902,28.7,2.5
201903,34.7,-2.0
201904,49.2,1.0
201905,59.7,0.3
201906,68.8,-0.2
201907,75.7,2.5
201908,70.3,-0.6
201909,68.0,3.8
201910,53.8,1.6
201911,35.5,-4.0
201912,33.8,5.8
202001,32.1,8.1
