Horry County, South Carolina, Average Temperature
201208,78.3,-0.6
201209,74.0,-0.1
201210,64.1,0.2
201211,50.1,-3.8
201212,52.6,5.9
201301,50.6,4.9
201302,47.5,0.0
201303,48.3,-6.2
201304,61.7,-0.2
201305,68.3,-2.0
201306,77.0,0.1
201307,79.1,-0.9
201308,77.5,-1.4
201309,73.4,-0.7
201310,64.4,0.5
201311,53.2,-0.7
201312,51.2,4.5
201401,41.5,-4.2
201402,48.2,0.7
201403,50.0,-4.5
201404,64.0,2.1
201405,72.4,2.1
201406,78.7,1.8
201407,79.4,-0.6
201408,78.8,-0.1
201409,74.5,0.4
201410,66.1,2.2
201411,51.0,-2.9
201412,50.1,3.4
201501,45.4,-0.3
201502,41.2,-6.3
201503,56.1,1.6
201504,64.5,2.6
201505,71.3,1.0
201506,80.8,3.9
201507,82.0,2.0
201508,79.4,0.5
201509,75.7,1.6
201510,64.9,1.0
201511,59.1,5.2
201512,60.2,13.5
201601,43.3,-2.4
201602,49.1,1.6
201603,60.8,6.3
201604,63.0,1.1
201605,70.2,-0.1
201606,79.7,2.8
201607,83.1,3.1
201608,81.7,2.8
201609,76.9,2.8
201610,67.2,3.3
201611,55.7,1.8
201612,50.3,3.6
201701,51.7,6.0
201702,55.2,7.7
201703,54.9,0.4
201704,67.0,5.1
201705,72.2,1.9
201706,76.8,-0.1
201707,80.8,0.8
201708,79.3,0.4
201709,74.9,0.8
201710,67.0,3.1
201711,55.3,1.4
201712,48.4,1.7
201801,40.9,-4.8
201802,57.2,9.7
201803,51.5,-3.0
201804,60.0,-1.9
201805,73.2,2.9
201806,80.4,3.5
201807,79.6,-0.4
201808,80.3,1.4
201809,79.7,5.6
201810,67.6,3.7
201811,53.9,0.0
201812,50.1,3.4
201901,47.8,2.1
201902,53.6,6.1
201903,54.4,-0.1
201904,63.6,1.7
201905,74.8,4.5
201906,77.6,0.7
201907,81.0,1.0
201908,79.9,1.0
201909,76.8,2.7
201910,68.7,4.8
201911,51.7,-2.2
201912,51.4,4.7
202001,52.0,6.3
