Richmond City, Virginia, Average Temperature
201209,69.1,-0.7
201210,59.2,0.9
201211,44.7,-3.2
201212,45.2,6.1
201301,40.1,2.9
201302,38.8,-0.4
201303,42.1,-5.2
201304,58.3,1.9
201305,65.3,-0.5
201306,74.9,1.2
201307,78.6,0.9
201308,74.0,-2.0
201309,68.4,-1.4
201310,60.2,1.9
201311,46.6,-1.3
201312,42.7,3.6
201401,32.7,-4.5
201402,38.8,-0.4
201403,43.5,-3.8
201404,57.2,0.8
201405,68.4,2.6
201406,74.7,1.0
201407,77.5,-0.2
201408,74.2,-1.8
201409,70.7,0.9
201410,60.7,2.4
201411,45.4,-2.5
201412,42.2,3.1
201501,35.5,-1.7
201502,30.5,-8.7
201503,45.6,-1.7
201504,58.1,1.7
201505,70.1,4.3
201506,76.0,2.3
201507,77.5,-0.2
201508,75.5,-0.5
201509,72.3,2.5
201510,57.4,-0.9
201511,52.4,4.5
201512,51.5,12.4
201601,35.2,-2.0
201602,40.1,0.9
201603,53.3,6.0
201604,56.1,-0.3
201605,63.1,-2.7
201606,73.5,-0.2
201607,79.2,1.5
201608,79.2,3.2
201609,73.2,3.4
201610,61.4,3.1
201611,49.1,1.2
201612,40.2,1.1
201701,40.8,3.6
201702,48.1,8.9
201703,47.9,0.6
201704,63.3,6.9
201705,64.8,-1.0
201706,73.9,0.2
201707,80.0,2.3
201708,75.3,-0.7
201709,69.7,-0.1
201710,62.4,4.1
201711,47.8,-0.1
201712,38.4,-0.7
201801,34.3,-2.9
201802,46.6,7.4
201803,42.5,-4.8
201804,54.4,-2.0
201805,72.4,6.6
201806,75.3,1.6
201807,77.0,-0.7
201808,78.2,2.2
201809,75.2,5.4
201810,61.1,2.8
201811,45.9,-2.0
201812,40.6,1.5
201901,38.2,1.0
201902,43.2,4.0
201903,46.0,-1.3
201904,61.1,4.7
201905,71.4,5.6
201906,74.2,0.5
201907,80.1,2.4
201908,77.3,1.3
201909,74.8,5.0
201910,62.6,4.3
201911,45.0,-2.9
201912,42.6,3.5
202001,42.0,4.8
