St. Tammany Parish, Louisiana, Average Temperature
201208,81.1,0.1
201209,77.6,0.3
201210,66.2,-1.7
201211,56.2,-2.1
201212,55.9,3.7
201301,54.7,3.8
201302,55.5,1.9
201303,55.3,-4.6
201304,65.7,-0.8
201305,71.4,-2.1
201306,80.8,1.4
201307,80.5,-0.7
201308,80.9,-0.1
201309,79.4,2.1
201310,69.8,1.9
201311,56.5,-1.8
201312,52.4,0.2
201401,43.7,-7.2
201402,53.3,-0.3
201403,56.3,-3.6
201404,66.3,-0.2
201405,71.9,-1.6
201406,79.7,0.3
201407,80.3,-0.9
201408,82.0,1.0
201409,78.8,1.5
201410,69.2,1.3
201411,53.6,-4.7
201412,56.4,4.2
201501,49.7,-1.2
201502,49.6,-4.0
201503,64.2,4.3
201504,71.3,4.8
201505,75.2,1.7
201506,80.7,1.3
201507,84.6,3.4
201508,82.5,1.5
201509,77.6,0.3
201510,69.9,2.0
201511,63.3,5.0
201512,61.0,8.8
201601,50.2,-0.7
201602,55.4,1.8
201603,64.5,4.6
201604,68.1,1.6
201605,73.4,-0.1
201606,81.1,1.7
201607,83.6,2.4
201608,82.6,1.6
201609,80.6,3.3
201610,71.5,3.6
201611,62.6,4.3
201612,57.4,5.2
201701,58.2,7.3
201702,62.1,8.5
201703,65.0,5.1
201704,69.5,3.0
201705,72.4,-1.1
201706,78.6,-0.8
201707,82.4,1.2
201708,81.8,0.8
201709,77.5,0.2
201710,69.9,2.0
201711,61.2,2.9
201712,52.6,0.4
201801,46.4,-4.5
201802,64.9,11.3
201803,61.8,1.9
201804,63.7,-2.8
201805,77.0,3.5
201806,82.3,2.9
201807,82.8,1.6
201808,81.4,0.4
201809,80.8,3.5
201810,72.4,4.5
201811,56.2,-2.1
201812,54.9,2.7
201901,51.2,0.3
201902,61.9,8.3
201903,59.7,-0.2
201904,66.1,-0.4
201905,76.4,2.9
201906,81.4,2.0
201907,82.1,0.9
201908,83.0,2.0
201909,82.1,4.8
201910,71.4,3.5
201911,55.7,-2.6
201912,55.7,3.5
202001,55.7,4.8
