,ABBR,municipality
165,LNK,lincoln
166,LRD,laredo
167,LSE,la crosse
168,LWB,lewisburg
169,LWS,lewiston
170,LYH,lynchburg
171,MAF,midland
172,MBS,saginaw
173,MCI,kansas city
174,MCO,orlando
175,MDT,harrisburg
176,MDW,chicago
177,MEI,meridian
178,MEM,memphis
179,MFE,mcallen
180,MFR,medford
181,MGM,montgomery
182,MHK,manhattan
183,MHT,manchester nh
184,MIA,miami
185,MKE,milwaukee
186,MLB,melbourne
187,MLI,moline
188,MLU,monroe
189,MOB,mobile
190,MOD,modesto
191,MOT,minot
192,MQT,gwinn
193,MRY,monterey
194,MSN,madison
195,MSO,missoula
196,MSP,minneapolis
197,MSY,new orleans
198,MTJ,montrose co
199,MWH,grant county airport
200,MYR,myrtle beach
201,OAJ,jacksonville nc
202,OAK,oakland
203,OGG,kahului
204,OKC,oklahoma city
205,OMA,omaha
206,OME,nome
207,ONT,ontario
208,ORD,chicago
209,ORF,norfolk
210,OTH,north bend
211,OTZ,kotzebue
212,OXR,oxnard
213,PBI,west palm beach
214,PDX,portland
215,PFN,panama city
216,PHF,newport news
217,PHL,philadelphia
218,PHX,phoenix
219,PIA,peoria
220,PIH,pocatello
221,PIR,pierre
222,PIT,pittsburgh
223,PLN,pellston
224,PNS,pensacola
225,PSC,pasco
226,PSE,
227,PSG,petersburg
228,PSP,palm springs
229,PVD,providence
230,PWM,portland
231,RAP,rapid city
232,RDD,redding
233,RDM,redmond bend
234,RDU,raleigh durham
235,RHI,rhinelander
236,RIC,richmond
237,RKS,rock springs
238,RNO,reno
239,ROA,roanoke va
240,ROC,rochester
241,ROW,roswell
242,RST,rochester
243,RSW,fort myers
244,SAF,santa fe
245,SAN,san diego
246,SAT,san antonio
247,SAV,savannah
248,SBA,santa barbara
249,SBN,south bend
250,SBP,san luis obispo
251,SCC,deadhorse
252,SCE,state college pennsylvania
253,SDF,louisville
254,SEA,seattle
255,SFO,san francisco
256,SGF,springfield
257,SGU,saint george
258,SHV,shreveport
259,SIT,sitka
260,SJC,san jose
261,SJT,san angelo
262,SJU,
263,SLC,salt lake city
264,SMF,sacramento
265,SMX,santa maria
266,SNA,santa ana
267,SPI,springfield
268,SPS,wichita falls
269,SRQ,sarasota
270,STL,st louis
271,STT,
272,STX,
273,SUN,hailey
274,SUX,sioux city
275,SWF,newburgh
276,SYR,syracuse
277,TEX,telluride
278,TLH,tallahassee
279,TOL,toledo
280,TPA,tampa
281,TRI,bristol
282,TUL,tulsa
283,TUS,tucson
284,TVC,traverse city
285,TWF,twin falls
286,TXK,texarkana
287,TYR,tyler
288,TYS,knoxville
289,VLD,valdosta
290,VPS,valparaiso
291,WRG,wrangell
292,WYS,west yellowstone
293,XNA,bentonville
294,YAK,yakutat
295,YUM,yuma
