,Facility Name,City,country,ident,airport_ident,Lat,Long
129,Rocky Mountain House Airport,Rocky Mountain House,Canada,YRM,CYRM,52.4296989441,-114.903999329
130,Rankin Inlet Airport,Rankin Inlet,Canada,YRT,CYRT,62.811401367200006,-92.1157989502
131,Sudbury Airport,Sudbury,Canada,YSB,CYSB,46.625,-80.79889678955078
132,Sherbrooke Airport,Sherbrooke,Canada,YSC,CYSC,45.4385986328125,-71.69139862060547
133,Saint John Airport,St. John,Canada,YSJ,CYSJ,45.31610107421875,-65.89029693603516
134,Fort Smith Airport,Fort Smith,Canada,YSM,CYSM,60.020301818847656,-111.96199798583984
135,Nanisivik Airport,Nanisivik,Canada,YSR,CYSR,72.982201,-84.613602
136,Summerside Airport,Summerside,Canada,YSU,CYSU,46.44060134887695,-63.83359909057617
137,Sachs Harbour (David Nasogaluak Jr. Saaryuaq) Airport,Sachs Harbour,Canada,YSY,CYSY,71.9938964844,-125.24299621600001
138,Cape Dorset Airport,Cape Dorset,Canada,YTE,CYTE,64.2300033569,-76.5267028809
139,Thompson Airport,Thompson,Canada,YTH,CYTH,55.80110168457031,-97.86419677734376
140,CFB Trenton,Trenton,Canada,YTR,CYTR,44.118900299072266,-77.5280990600586
141,Timmins/Victor M. Power,Timmins,Canada,YTS,CYTS,48.569698333699996,-81.376701355
142,Billy Bishop Toronto City Centre Airport,Toronto,Canada,YTZ,CYTZ,43.627499,-79.396202
143,Tuktoyaktuk Airport,Tuktoyaktuk,Canada,YUB,CYUB,69.43329620361328,-133.0260009765625
144,Montreal / Pierre Elliott Trudeau International Airport,Montreal,Canada,YUL,CYUL,45.4706001282,-73.7407989502
145,Repulse Bay Airport,Repulse Bay,Canada,YUT,CYUT,66.5214004517,-86.22470092770003
146,Hall Beach Airport,Hall Beach,Canada,YUX,CYUX,68.77610015869999,-81.2425
147,Rouyn Noranda Airport,Rouyn,Canada,YUY,CYUY,48.20610046386719,-78.83560180664062
148,La Ronge Airport,La Ronge,Canada,YVC,CYVC,55.1514015198,-105.262001038
149,Vermilion Airport,Vermillion,Canada,YVG,CYVG,53.355800628699996,-110.823997498
150,Qikiqtarjuaq Airport,Broughton Island,Canada,YVM,CYVM,67.5457992554,-64.03140258789999
151,Val-d'Or Airport,Val D'or,Canada,YVO,CYVO,48.0532989502,-77.7827987671
152,Kuujjuaq Airport,Quujjuaq,Canada,YVP,CYVP,58.09609985351562,-68.42690277099611
153,Norman Wells Airport,Norman Wells,Canada,YVQ,CYVQ,65.28160095214844,-126.7979965209961
154,Vancouver International Airport,Vancouver,Canada,YVR,CYVR,49.193901061999995,-123.183998108
155,Buffalo Narrows Airport,Buffalo Narrows,Canada,YVT,CYVT,55.8418998718,-108.41799926799999
156,Wiarton Airport,Wiarton,Canada,YVV,CYVV,44.7458,-81.107201
157,Petawawa Airport,Petawawa,Canada,YWA,CYWA,45.95220184326172,-77.31919860839844
158,Winnipeg / James Armstrong Richardson International Airport,Winnipeg,Canada,YWG,CYWG,49.909999847399995,-97.2398986816
159,Wabush Airport,Wabush,Canada,YWK,CYWK,52.92190170288086,-66.86440277099611
160,Williams Lake Airport,Williams Lake,Canada,YWL,CYWL,52.1831016541,-122.054000854
161,Wrigley Airport,Wrigley,Canada,YWY,CYWY,63.20940017700195,-123.43699645996094
162,Cranbrook/Canadian Rockies International Airport,Cranbrook,Canada,YXC,CYXC,49.610801696777,-115.78199768066001
163,Edmonton City Centre (Blatchford Field) Airport,Edmonton,Canada,YXD,CYXD,53.5724983215,-113.52100372299999
164,Saskatoon John G. Diefenbaker International Airport,Saskatoon,Canada,YXE,CYXE,52.170799255371094,-106.6999969482422
165,Medicine Hat Airport,Medicine Hat,Canada,YXH,CYXH,50.01890182495117,-110.72100067138672
166,Fort St John Airport,Fort Saint John,Canada,YXJ,CYXJ,56.23809814453125,-120.73999786376952
167,Sioux Lookout Airport,Sioux Lookout,Canada,YXL,CYXL,50.11389923095703,-91.9052963256836
168,Pangnirtung Airport,Pangnirtung,Canada,YXP,CYXP,66.1449966431,-65.71360015869999
169,Earlton (Timiskaming Regional) Airport,Earlton,Canada,YXR,CYXR,47.6974006546,-79.84734535220001
170,Prince George Airport,Prince George,Canada,YXS,CYXS,53.8894004822,-122.679000854
171,Northwest Regional Airport Terrace-Kitimat,Terrace,Canada,YXT,CYXT,54.468498,-128.576009
172,London Airport,London,Canada,YXU,CYXU,43.035599,-81.1539
173,Abbotsford Airport,Abbotsford,Canada,YXX,CYXX,49.02529907226562,-122.36100006103516
174,Whitehorse / Erik Nielsen International Airport,Whitehorse,Canada,YXY,CYXY,60.709598541300004,-135.067001343
175,North Bay Airport,North Bay,Canada,YYB,CYYB,46.36360168457031,-79.42279815673828
176,Calgary International Airport,Calgary,Canada,YYC,CYYC,51.113899231000005,-114.019996643
177,Smithers Airport,Smithers,Canada,YYD,CYYD,54.82469940185547,-127.18299865722656
178,Fort Nelson Airport,Fort Nelson,Canada,YYE,CYYE,58.8363990784,-122.59700012200001
179,Penticton Airport,Penticton,Canada,YYF,CYYF,49.46310043334961,-119.60199737548828
180,Charlottetown Airport,Charlottetown,Canada,YYG,CYYG,46.290000915527344,-63.12110137939453
181,Taloyoak Airport,Spence Bay,Canada,YYH,CYYH,69.5466995239,-93.57669830319999
182,Victoria International Airport,Victoria,Canada,YYJ,CYYJ,48.646900177,-123.426002502
183,Lynn Lake Airport,Lynn Lake,Canada,YYL,CYYL,56.86389923095703,-101.07599639892578
184,Swift Current Airport,Swift Current,Canada,YYN,CYYN,50.291900634799994,-107.691001892
185,Churchill Airport,Churchill,Canada,YYQ,CYYQ,58.73920059204102,-94.06500244140624
186,Goose Bay Airport,Goose Bay,Canada,YYR,CYYR,53.3191986084,-60.425800323500006
187,St. John's International Airport,St. John's,Canada,YYT,CYYT,47.618598938000005,-52.751899719200004
188,Kapuskasing Airport,Kapuskasing,Canada,YYU,CYYU,49.41389846801758,-82.46749877929688
189,Armstrong Airport,Armstrong,Canada,YYW,CYYW,50.29029846191406,-88.90969848632812
190,Mont Joli Airport,Mont Joli,Canada,YYY,CYYY,48.60860061645508,-68.20809936523439
191,Lester B. Pearson International Airport,Toronto,Canada,YYZ,CYYZ,43.6772003174,-79.63059997559999
192,Downsview Airport,Toronto,Canada,YZD,CYZD,43.74250030517578,-79.4655990600586
193,Gore Bay Manitoulin Airport,Gore Bay,Canada,YZE,CYZE,45.88529968261719,-82.56780242919922
194,Yellowknife Airport,Yellowknife,Canada,YZF,CYZF,62.46279907226562,-114.44000244140624
195,Slave Lake Airport,Slave Lake,Canada,YZH,CYZH,55.293098449700004,-114.777000427
196,Sandspit Airport,Sandspit,Canada,YZP,CYZP,53.25429916379999,-131.813995361
197,Chris Hadfield Airport,Sarnia,Canada,YZR,CYZR,42.9994010925293,-82.30889892578125
198,Port Hardy Airport,Port Hardy,Canada,YZT,CYZT,50.68059921264648,-127.36699676513672
199,Whitecourt Airport,Whitecourt,Canada,YZU,CYZU,54.14390182495117,-115.78700256347656
200,Sept-Îles Airport,Sept-iles,Canada,YZV,CYZV,50.22330093383789,-66.26560211181639
201,Teslin Airport,Teslin,Canada,YZW,CYZW,60.17279815673828,-132.74299621582028
202,CFB Greenwood,Greenwood,Canada,YZX,CYZX,44.98440170288086,-64.91690063476561
203,Faro Airport,Faro,Canada,ZFA,CZFA,62.20750045776367,-133.37600708007812
204,Fort Mcpherson Airport,Fort Mcpherson,Canada,ZFM,CZFM,67.40750122070311,-134.86099243164062
205,Blida Airport,Blida,Algeria,\N,DAAB,36.50360107421875,2.814169883728028
206,Bou Saada Airport,Bou Saada,Algeria,\N,DAAD,35.33250045776367,4.206389904022217
207,Soummam Airport,Bejaja,Algeria,BJA,DAAE,36.712001800500005,5.0699200630200005
208,Houari Boumediene Airport,Algier,Algeria,ALG,DAAG,36.691001892089844,3.215409994125366
209,Djanet Inedbirene Airport,Djanet,Algeria,DJG,DAAJ,24.292800903299998,9.45244026184
210,Boufarik Airport,Boufarik,Algeria,QFD,DAAK,36.545799,2.8761099999999997
211,Reggane Airport,Reggan,Algeria,\N,DAAN,26.710100173950195,0.2856470048427582
212,Illizi Takhamalt Airport,Illizi,Algeria,VVZ,DAAP,26.7234992981,8.62265014648
213,Ain Oussera Airport,Ain Oussera,Algeria,\N,DAAQ,35.52539825439453,2.8787100315093994
214,Aguenar – Hadj Bey Akhamok Airport,Tamanrasset,Algeria,TMR,DAAT,22.8115005493,5.45107984543
215,Jijel Ferhat Abbas Airport,Jijel,Algeria,GJL,DAAV,36.7951011658,5.873610019680001
216,Mecheria Airport,Mecheria,Algeria,\N,DAAY,33.535900116,-0.242353007197
217,Relizane Airport,Relizane,Algeria,\N,DAAZ,35.752201080322266,0.6262720227241516
218,Annaba Airport,Annaba,Algeria,AAE,DABB,36.82220077514648,7.8091697692871085
219,Mohamed Boudiaf International Airport,Constantine,Algeria,CZL,DABC,36.2760009765625,6.620389938354492
220,Cheikh Larbi Tébessi Airport,Tebessa,Algeria,TEE,DABS,35.4315986633,8.120719909670001
221,Hassi R'Mel Airport,Tilrempt,Algeria,HRM,DAFH,32.93040084838867,3.311539888381958
222,Bou Chekif Airport,Tiaret,Algeria,TID,DAOB,35.3410987854,1.4631500244100002
223,Bou Sfer Airport,Bou Sfer,Algeria,\N,DAOE,35.73540115356445,-0.8053889870643616
224,Tindouf Airport,Tindouf,Algeria,TIN,DAOF,27.700399398800002,-8.167099952700001
225,Ech Cheliff Airport,Ech-cheliff,Algeria,QAS,DAOI,36.212699890100005,1.33176994324
226,Tafaraoui Airport,Oran,Algeria,TAF,DAOL,35.54240036010742,-0.5322780013084412
227,Zenata – Messali El Hadj Airport,Tlemcen,Algeria,TLM,DAON,35.0167007446,-1.4500000476800001
228,Es Senia Airport,Oran,Algeria,ORN,DAOO,35.6239013672,-0.6211829781529999
229,Sidi Bel Abbes Airport,Sidi Bel Abbes,Algeria,\N,DAOS,35.1717987061,-0.593275010586
230,Ghriss Airport,Ghriss,Algeria,MUW,DAOV,35.207698822021484,0.14714199304580688
231,Touat Cheikh Sidi Mohamed Belkebir Airport,Adrar,Algeria,AZR,DAUA,27.83760070800781,-0.1864140033721924
232,Biskra Airport,Biskra,Algeria,BSK,DAUB,34.793300628699996,5.73823022842
233,El Golea Airport,El Golea,Algeria,ELG,DAUE,30.5713005065918,2.8595900535583496
234,Noumérat - Moufdi Zakaria Airport,Ghardaia,Algeria,GHA,DAUG,32.38410186767578,3.7941100597381587
235,Oued Irara Airport,Hassi Messaoud,Algeria,HME,DAUH,31.673000335700003,6.140439987180001
236,In Salah Airport,In Salah,Algeria,INZ,DAUI,27.2509994507,2.51202011108
237,Touggourt Sidi Madhi Airport,Touggourt,Algeria,TGR,DAUK,33.067798614501946,6.088669776916504
238,Laghouat Airport,Laghouat,Algeria,LOO,DAUL,33.764400482199996,2.92833995819
239,Timimoun Airport,Timimoun,Algeria,TMX,DAUT,29.237100601199998,0.276033014059
240,Ain el Beida Airport,Ouargla,Algeria,OGX,DAUU,31.917200088500977,5.412779808044434
241,In Aménas Airport,Zarzaitine,Algeria,IAM,DAUZ,28.0515003204,9.64291000366
242,Cadjehoun Airport,Cotonou,Benin,COO,DBBB,6.357230186462402,2.384350061416626
243,Ouagadougou Airport,Ouagadougou,Burkina Faso,OUA,DFFD,12.35319995880127,-1.5124200582504272
244,Bobo Dioulasso Airport,Bobo-dioulasso,Burkina Faso,BOY,DFOO,11.160099983215332,-4.33096981048584
245,Kotoka International Airport,Accra,Ghana,ACC,DGAA,5.605189800262451,-0.16678600013256073
246,Tamale Airport,Tamale,Ghana,TML,DGLE,9.55718994140625,-0.8632140159606934
247,Wa Airport,Wa,Ghana,\N,DGLW,10.0826997756958,-2.507689952850342
248,Sunyani Airport,Sunyani,Ghana,NYI,DGSN,7.361830234527588,-2.3287599086761475
249,Takoradi Airport,Takoradi,Ghana,TKD,DGTK,4.896059989929199,-1.7747600078582764
250,Port Bouet Airport,Abidjan,Cote d'Ivoire,ABJ,DIAP,5.261390209197998,-3.9262900352478023
251,Bouaké Airport,Bouake,Cote d'Ivoire,BYK,DIBK,7.738800048828125,-5.073669910430908
252,Daloa Airport,Daloa,Cote d'Ivoire,DJO,DIDL,6.7928099632263175,-6.473189830780028
253,Korhogo Airport,Korhogo,Cote d'Ivoire,HGO,DIKO,9.38718032837,-5.556660175319999
254,Man Airport,Man,Cote d'Ivoire,MJC,DIMN,7.2720699310302725,-7.58735990524292
255,San Pedro Airport,San Pedro,Cote d'Ivoire,SPY,DISP,4.746719837188722,-6.660820007324219
256,Yamoussoukro Airport,Yamoussoukro,Cote d'Ivoire,ASK,DIYO,6.9031701088,-5.36558008194
257,Nnamdi Azikiwe International Airport,Abuja,Nigeria,ABV,DNAA,9.006790161132812,7.263169765472412
258,Akure Airport,Akure,Nigeria,AKR,DNAK,7.246739864349365,5.3010101318359375
259,Benin Airport,Benin,Nigeria,BNI,DNBE,6.3169798851013175,5.599500179290772
260,Margaret Ekpo International Airport,Calabar,Nigeria,CBQ,DNCA,4.976019859313965,8.347200393676758
261,Akanu Ibiam International Airport,Enugu,Nigeria,ENU,DNEN,6.4742698669433585,7.561960220336914
262,Gusau Airport,Gusau,Nigeria,QUS,DNGU,12.17169952392578,6.6961097717285165
263,Ibadan Airport,Ibadan,Nigeria,IBA,DNIB,7.362460136413574,3.97832989692688
264,Ilorin International Airport,Ilorin,Nigeria,ILR,DNIL,8.440210342407228,4.493919849395752
265,Yakubu Gowon Airport,Jos,Nigeria,JOS,DNJO,9.639829635620117,8.869050025939941
266,Kaduna Airport,Kaduna,Nigeria,KAD,DNKA,10.696000099182127,7.320109844207764
267,Mallam Aminu International Airport,Kano,Nigeria,KAN,DNKN,12.047599792480467,8.524620056152344
268,Maiduguri International Airport,Maiduguri,Nigeria,MIU,DNMA,11.855299949645994,13.080900192260742
269,Makurdi Airport,Makurdi,Nigeria,MDI,DNMK,7.7038798332214355,8.613940238952638
270,Murtala Muhammed International Airport,Lagos,Nigeria,LOS,DNMM,6.5773701667785645,3.321160078048706
271,Minna Airport,Minna,Nigeria,MXJ,DNMN,9.652170181274414,6.462259769439697
272,Port Harcourt International Airport,Port Hartcourt,Nigeria,PHC,DNPO,5.0154900550842285,6.94959020614624
273,Sadiq Abubakar III International Airport,Sokoto,Nigeria,SKO,DNSO,12.916299819946287,5.207190036773682
274,Yola Airport,Yola,Nigeria,YOL,DNYO,9.257550239562988,12.430399894714355
275,Zaria Airport,Zaria,Nigeria,ZAR,DNZA,11.130200386047363,7.685810089111327
276,Maradi Airport,Maradi,Niger,MFQ,DRRM,13.5024995803833,7.1267499923706055
277,Diori Hamani International Airport,Niamey,Niger,NIM,DRRN,13.481499671936035,2.1836099624633794
278,Tahoua Airport,Tahoua,Niger,THZ,DRRT,14.875699996948242,5.265359878540039
279,Mano Dayak International Airport,Agadez,Niger,AJY,DRZA,16.965999603271484,8.000109672546388
280,Dirkou Airport,Dirkou,Niger,\N,DRZD,18.968700408935547,12.86870002746582
281,Diffa Airport,Diffa,Niger,\N,DRZF,13.372900009155273,12.626700401306152
282,Zinder Airport,Zinder,Niger,ZND,DRZR,13.779000282287598,8.983759880065918
