airport_code,strike_avg,damage_avg
PIR,0.25,0.08333333333333333
PIT,0.0,0.0
PLN,0.08333333333333333,0.0
PNS,5.666666666666667,0.25
PSC,0.8333333333333334,0.16666666666666666
PSE,0.4166666666666667,0.0
PSG,0.0,0.0
PSP,0.8333333333333334,0.0
PVD,0.0,0.0
PWM,0.0,0.0
RAP,0.6666666666666666,0.16666666666666666
RDD,0.6666666666666666,0.16666666666666666
RDM,0.0,0.0
RDU,13.75,0.75
RHI,0.0,0.0
RIC,0.0,0.0
RKS,0.0,0.0
RNO,0.0,0.0
ROA,0.0,0.0
ROC,3.3333333333333335,0.5833333333333334
ROW,0.25,0.08333333333333333
RST,2.6666666666666665,0.16666666666666666
RSW,17.916666666666668,1.8333333333333333
SAF,0.4166666666666667,0.08333333333333333
SAN,0.0,0.0
SAT,16.166666666666668,0.8333333333333334
SAV,8.083333333333334,0.4166666666666667
SBA,5.916666666666667,0.5
SBN,3.0,0.08333333333333333
SBP,0.0,0.0
SCC,0.16666666666666666,0.0
SCE,0.0,0.0
SDF,32.916666666666664,0.4166666666666667
SEA,11.416666666666666,1.0
SFO,18.833333333333332,1.9166666666666667
SGF,0.0,0.0
SGU,0.0,0.0
SHV,1.4166666666666667,0.16666666666666666
SIT,0.0,0.0
SJC,0.0,0.0
SJT,0.0,0.0
SJU,0.0,0.0
SLC,39.916666666666664,5.166666666666667
SMF,56.333333333333336,7.916666666666667
SMX,1.1666666666666667,0.08333333333333333
SNA,0.0,0.0
SPI,2.5,0.3333333333333333
SPS,0.0,0.0
SRQ,3.0833333333333335,0.75
STL,0.0,0.0
STT,0.0,0.0
STX,0.0,0.0
SUN,0.25,0.0
SUX,0.6666666666666666,0.16666666666666666
SWF,2.1666666666666665,0.5
SYR,0.0,0.0
TEX,0.0,0.0
TLH,1.4166666666666667,0.3333333333333333
TOL,3.1666666666666665,0.16666666666666666
TPA,12.166666666666666,1.5
TRI,0.0,0.0
TUL,5.333333333333333,0.8333333333333334
TUS,4.0,0.25
TVC,1.4166666666666667,0.0
TWF,0.0,0.0
TXK,0.0,0.0
TYR,0.6666666666666666,0.08333333333333333
TYS,3.4166666666666665,0.16666666666666666
VLD,0.25,0.16666666666666666
VPS,0.0,0.0
WRG,0.0,0.0
WYS,0.0,0.0
XNA,0.0,0.0
YAK,0.5,0.25
YUM,0.0,0.0
