airport_code,city_name,population
OMA,Omaha,827786
ONT,Ontario,175841
ORD,Chicago,8675982
ORF,Norfolk,244703
OTH,North Bend,9702
OXR,Oxnard,389792
PBI,Palm Springs,24892
PDX,Portland,2052796
PFN,Panama City,145239
PHF,Newport News,179388
PHL,Philadelphia,5637884
PHX,Phoenix,4081849
PIA,West Peoria,4566
PIH,Pocatello,71020
PIR,Pierre,14803
PIT,Pittsburgh,1715297
PLN,Pellston,840
PNS,Pensacola,344400
PSC,Pasco,73013
PSP,Palm Springs,48142
PVD,Providence,1206642
PWM,Portland,206023
RAP,Rapid Valley,9034
RDD,Redding,120270
RDM,Redmond,31695
RDU,Raleigh,1018336
RHI,Rhinelander,8738
RIC,Richmond,1059907
RKS,Rock Springs,26710
RNO,Reno,433271
ROA,Roanoke,216177
ROC,Rochester,711998
ROW,Roswell,49119
RST,Rochester,116713
RSW,Fort Myers,79943
SAF,Santa Fe,110078
SAN,San Diego,3210314
SAT,San Antonio,2002530
SAV,Savannah,280082
SBA,Santa Barbara,204034
SBN,South Bend,281100
SBP,San Luis Obispo,62398
SCE,State College,88285
SDF,Louisville,1011696
SEA,Seattle,3643765
SFO,San Bruno,43299
SGF,Springfield,287222
SGU,St. George,113906
SHV,Shreveport,287432
SJC,San Jose,1821899
SJT,San Angelo,99890
SLC,Salt Lake City,1098400
SMF,West Sacramento,53512
SMX,Santa Maria,140219
SNA,Santa Ana,334136
SPI,Springfield,159394
SPS,Wichita Falls,99617
SRQ,Sarasota,706245
STL,St. Louis,2078283
SUN,Hailey,10875
SUX,Sioux City,106279
SWF,Newburgh,28363
SYR,East Syracuse,2971
TEX,Telluride,2426
TLH,Tallahassee,253030
TOL,Toledo,488672
TPA,Tampa,2804240
TRI,Bristol,69865
TUL,Tulsa,672054
TUS,Tucson,868391
TVC,Traverse City,49806
TWF,Twin Falls,54455
TXK,Texarkana,30259
TYR,Tyler,141116
TYS,Knoxville,585249
VLD,Valdosta,79294
VPS,Valparaiso,4946
WYS,West Yellowstone,1365
XNA,Bentonville,49298
YUM,Yuma,138802
