ident,length_ft,width_ft
AFS,24392.0,135.0
AFT,6004.0,131.0
AFW,88040.0,150.0
AFY,87404.0,148.0
AFZ,41712.0,148.0
AGA,41996.0,148.0
AGB,34220.0,99.0
AGC,41492.0,98.33333333333333
AGE,11156.0,
AGF,28412.0,98.0
AGH,27976.0,131.0
AGJ,10500.0,
AGN,40000.0,900.0
AGP,78088.0,148.0
AGQ,39500.0,98.0
AGR,59856.0,148.0
AGS,56008.0,112.5
AGT,44616.0,148.0
AGU,53284.0,123.0
AGV,33804.0,103.0
AGX,16940.0,98.0
AGZ,27296.0,66.0
AHB,43964.0,148.0
AHE,16272.0,80.0
AHN,38088.0,100.0
AHO,39372.0,148.0
AHQ,29564.0,112.5
AHU,32808.0,148.0
AIA,86852.0,100.0
AIK,37200.0,87.5
AIN,17976.0,90.0
AIR,18372.0,98.0
AIT,41900.0,140.0
AIU,15788.0,
AIZ,25988.0,100.0
AJA,31588.0,148.0
AJF,48044.0,147.0
AJI,26248.0,98.0
AJL,32808.0,148.0
AJN,17716.0,92.0
AJR,32804.0,148.0
AJU,28872.0,148.0
AJY,39372.0,98.0
AKA,20996.0,100.0
AKB,18000.0,100.0
AKC,34692.0,125.0
AKD,18400.0,145.0
AKF,96056.0,124.0
AKI,12784.0,75.0
AKJ,32800.0,200.0
AKK,12480.0,50.0
AKL,88492.0,148.0
AKN,67676.0,250.0
AKO,28000.0,100.0
AKP,19200.0,100.0
AKR,36780.0,148.0
AKS,12400.0,
AKT,36008.0,200.0
AKV,14040.0,100.0
AKX,40640.0,196.0
AKY,24004.0,151.0
ALA,57708.0,147.0
ALB,57600.0,150.0
ALC,39368.0,148.0
ALF,28660.0,131.0
ALG,91864.0,172.5
ALH,38008.0,98.0
ALI,58632.0,110.0
ALJ,65540.0,128.0
ALL,18752.0,148.0
ALM,42072.0,175.0
ALN,58404.0,125.0
ALO,79220.0,143.0
ALP,38188.0,148.0
ALR,40052.0,164.0
ALS,46876.0,100.0
ALW,67840.0,150.0
ALX,21700.0,96.0
ALY,28884.0,148.0
AMA,85612.0,225.0
AMB,19684.0,98.0
AMD,45788.0,150.0
AMH,36680.0,153.0
AMI,27412.0,131.0
AMM,96064.0,200.0
AMQ,32808.0,148.0
AMS,255472.0,156.33333333333334
AMZ,33160.0,88.66666666666667
ANB,28000.0,150.0
ANC,132336.0,150.0
AND,43988.0,150.0
ANE,23624.0,148.0
ANF,34108.0,164.0
ANG,23752.0,148.0
ANI,36000.0,275.0
ANK,55984.0,143.0
ANM,15656.0,89.0
ANN,52808.0,150.0
ANP,10000.0,48.0
ANQ,18160.0,75.0
ANR,19816.0,148.0
ANS,32808.0,98.0
ANU,36012.0,148.0
ANV,11840.0,75.0
ANX,54332.0,148.0
AOC,29332.0,148.0
AOE,33044.0,98.0
AOH,36572.0,150.0
AOI,38872.0,148.0
AOJ,39384.0,200.0
AOK,31484.0,98.0
AOL,29660.0,148.0
AOO,36536.0,87.5
AOR,36020.0,151.0
AOT,16352.0,98.0
APA,87224.0,84.0
APC,53792.0,125.0
APF,48560.0,116.66666666666667
APG,71400.0,166.0
API,32816.0,164.0
APK,11416.0,
APL,46788.0,148.0
APN,56128.0,125.0
APO,28612.0,98.0
APQ,12204.0,59.0
APW,39372.0,148.0
APZ,28872.0,131.0
AQA,23628.0,99.0
AQC,20000.0,1000.0
AQI,39372.0,148.0
AQJ,39420.0,148.0
AQP,39108.0,148.0
ARA,52008.0,175.0
ARB,25020.0,92.5
ARC,18000.0,75.0
ARD,18344.0,90.0
ARE,15900.0,60.0
ARH,32808.0,144.0
ARI,28476.0,148.0
ARK,21508.0,105.0
ARM,37452.0,98.0
ARN,108932.0,148.0
ARR,18372.0,131.0
ART,40000.0,150.0
ARU,27820.0,115.0
ARV,35008.0,87.5
ARW,26248.0,148.0
ARY,24932.0,79.0
ASA,46124.0,148.0
ASB,112720.0,153.66666666666666
ASD,17420.0,100.0
ASE,28024.0,100.0
ASF,56432.0,233.0
ASH,22004.0,100.0
ASI,40076.0,150.0
ASJ,26240.0,150.0
ASK,39372.0,148.0
ASM,63172.0,148.0
ASN,24004.0,100.0
ASO,32872.0,148.0
ASP,46864.0,104.0
ASR,39364.0,145.0
AST,43168.0,100.0
ASU,43988.0,148.0
ASV,13136.0,
ASW,44644.0,148.0
ATA,40028.0,98.0
ATB,23620.0,
ATC,56060.0,150.0
ATD,11076.0,49.0
ATF,25264.0,82.0
ATG,39800.0,165.0
ATH,102360.0,148.0
ATI,16732.0,
ATJ,19684.0,150.0
ATK,17480.0,90.0
ATL,195564.0,150.0
ATM,26288.0,125.0
ATQ,43164.0,148.0
ATR,39420.0,98.0
ATW,58012.0,150.0
ATY,55180.0,150.0
ATZ,39620.0,148.0
AUA,36000.0,148.0
AUC,27560.0,98.0
AUF,21652.0,98.0
AUG,30816.0,112.5
AUH,107616.0,172.5
AUK,8800.0,55.0
AUO,37056.0,87.5
AUQ,15944.0,75.0
AUR,22308.0,98.0
AUS,84992.0,150.0
AUU,16560.0,98.0
AUW,64140.0,166.66666666666666
AUX,23676.0,148.0
AUY,8004.0,75.0
AVB,34204.0,144.0
AVI,46352.0,148.0
AVK,30184.0,
AVL,32004.0,150.0
AVN,24672.0,148.0
AVO,36756.0,87.5
AVP,47204.0,150.0
AVV,40000.0,148.0
AVW,43176.0,87.5
AVX,12000.0,60.0
AWD,10500.0,82.0
AWK,39372.0,150.0
AWO,35332.0,87.5
AWZ,44596.0,148.0
AXA,21848.0,98.0
AXD,33884.0,148.0
AXJ,13124.0,99.0
AXK,37928.0,164.0
AXM,28180.0,118.0
AXN,36796.0,87.5
AXP,20000.0,150.0
AXR,17072.0,98.0
AXT,32800.0,200.0
AXU,31496.0,148.0
AYK,32740.0,148.0
AYP,36744.0,148.0
AYQ,34108.0,98.0
AYT,128484.0,148.0
AZA,119612.0,150.0
AZD,53784.0,148.0
AZI,41996.0,150.0
AZN,39080.0,125.0
AZO,50944.0,103.33333333333333
AZR,39372.0,148.0
AZS,39372.0,148.0
BAB,48000.0,300.0
BAD,47024.0,300.0
BAF,56000.0,125.0
BAG,23648.0,115.0
BAH,85124.0,172.5
BAL,40000.0,150.0
BAQ,39368.0,148.0
BAS,21652.0,
BAT,23624.0,98.0
BAU,19700.0,115.0
BAX,37400.0,164.0
BAY,28216.0,148.0
BAZ,15748.0,98.0
BBA,32820.0,148.0
BBD,32496.0,92.5
BBH,27560.0,114.5
BBI,47532.0,150.0
BBJ,40104.0,148.0
BBK,26248.0,98.0
BBM,21000.0,112.0
BBN,8792.0,
BBO,54328.0,164.0
BBP,24108.0,75.0
BBS,17520.0,151.0
BBT,21784.0,98.0
BBU,41996.0,148.0
BBX,14800.0,75.0
BCA,24280.0,98.0
BCD,26248.0,148.0
BCE,29580.0,75.0
BCI,34780.0,98.0
BCL,13124.0,39.0
BCM,32812.0,262.0
BCN,114856.0,164.33333333333334
BCT,25104.0,150.0
BCV,24524.0,75.0
BDA,38820.0,150.0
BDB,34924.0,98.0
BDD,11152.0,
BDE,45996.0,650.0
BDH,32812.0,148.0
BDJ,32808.0,148.0
BDL,86008.0,150.0
BDM,39460.0,147.0
BDN,35872.0,75.0
BDO,29444.0,148.0
BDP,15860.0,95.0
BDQ,32400.0,150.0
BDR,50552.0,150.0
BDS,63568.0,148.0
BDT,41996.0,197.0
BDU,32060.0,148.0
BEB,40108.0,151.0
BEC,32000.0,100.0
BED,48428.0,150.0
BEF,26500.0,98.0
BEG,44620.0,148.0
BEJ,18500.0,75.0
BEL,61192.0,134.66666666666666
BEM,32720.0,
BEN,93852.0,148.0
BEO,8816.0,
BEP,14520.0,50.0
BEQ,36048.0,200.0
BES,49872.0,103.5
BET,49040.0,100.0
BEU,19684.0,98.0
BEV,13536.0,69.0
BEW,66208.0,148.0
BEY,137072.0,164.33333333333334
BFD,43236.0,125.0
BFF,65120.0,150.0
BFH,18240.0,98.0
BFI,54864.0,150.0
BFL,58228.0,112.5
BFM,69672.0,150.0
BFN,62392.0,151.0
BFO,23140.0,98.0
BFP,18004.0,100.0
BFS,62088.0,148.0
BFT,13736.0,75.0
BFV,27560.0,148.0
BFX,32812.0,148.0
BGA,29524.0,131.0
BGC,22400.0,98.0
BGE,100420.0,140.0
BGF,34120.0,148.0
BGI,44000.0,150.0
BGM,48408.0,150.0
BGO,39240.0,148.0
BGR,45760.0,200.0
BGW,95816.0,172.5
BGX,34764.0,123.0
BGY,48752.0,103.5
BHB,48652.0,108.33333333333333
BHD,24004.0,148.0
BHE,52912.0,213.33333333333334
BHH,40028.0,147.0
BHI,80616.0,134.33333333333334
BHJ,32820.0,150.0
BHK,39372.0,147.0
BHM,68400.0,150.0
BHN,21920.0,75.0
BHO,40480.0,148.0
BHQ,46128.0,98.0
BHR,15196.0,98.0
BHS,39632.0,98.0
BHU,25200.0,150.0
BHV,37380.0,98.0
BHX,40052.0,151.0
BIA,33064.0,148.0
BID,10008.0,100.0
BIF,54216.0,150.0
BIG,79176.0,154.66666666666666
BIH,74656.0,100.0
BIK,46860.0,150.0
BIL,79280.0,100.0
BIM,21636.0,100.0
BIO,60368.0,148.0
BIQ,29528.0,148.0
BIR,19748.0,100.0
BIS,61576.0,125.0
BIU,12336.0,98.0
BIV,25056.0,100.0
BIX,30520.0,150.0
BIY,32808.0,197.0
BJA,31496.0,148.0
BJB,42328.0,148.0
BJC,78420.0,83.33333333333333
BJF,13124.0,98.0
BJI,49188.0,150.0
BJL,47244.0,148.0
BJM,47244.0,148.0
BJO,19684.0,118.0
BJP,15988.0,98.0
BJR,39368.0,148.0
BJV,39368.0,148.0
BJX,45932.0,148.0
BJY,77648.0,162.33333333333334
BJZ,37400.0,197.0
BKC,12800.0,75.0
BKD,39188.0,66.66666666666667
BKE,53812.0,105.0
BKF,44000.0,150.0
BKH,24024.0,146.0
BKI,39200.0,150.0
BKK,101048.0,197.0
BKL,45580.0,125.0
BKO,41992.0,148.0
BKQ,43188.0,98.0
BKS,29380.0,98.0
BKW,47000.0,125.0
BKY,26248.0,148.0
BKZ,18140.0,93.0
BLA,76112.0,131.0
BLB,34000.0,148.0
BLE,30316.0,148.0
BLF,18968.0,100.0
BLH,49372.0,125.0
BLI,26804.0,150.0
BLJ,39372.0,148.0
BLK,49144.0,108.0
BLL,40688.0,148.0
BLN,46224.0,69.5
BLQ,36744.0,150.0
BLR,52492.0,148.0
BLT,20092.0,98.0
BLV,72004.0,150.0
BLZ,48516.0,98.0
BMA,21888.0,148.0
BMB,22312.0,
BMC,35600.0,100.0
BME,32256.0,148.0
BMG,41192.0,125.0
BMI,72992.0,133.33333333333334
BMK,35168.0,109.33333333333333
BMM,22904.0,98.0
BMO,22008.0,102.0
BMP,10836.0,
BMQ,20000.0,75.0
BMT,25200.0,87.5
BMU,21620.0,98.0
BMV,39372.0,148.0
BMW,29488.0,
BMX,16800.0,145.0
BMY,7876.0,66.0
BNA,138936.0,150.0
BNC,26400.0,
BND,93396.0,123.0
BNE,69028.0,123.0
BNG,20800.0,150.0
BNI,31480.0,148.0
BNK,24936.0,98.0
BNN,15748.0,98.0
BNP,24004.0,
BNS,42000.0,132.5
BNU,18360.0,98.0
BNX,32852.0,148.0
BOB,31684.0,106.0
BOC,19684.0,85.0
BOD,72376.0,148.0
BOG,99736.0,148.0
BOH,29804.0,151.0
BOI,99052.0,125.0
BOJ,41996.0,148.0
BOM,82924.0,172.5
BON,37796.0,148.0
BOO,44544.0,148.0
BOR,37272.0,148.0
BOS,170024.0,133.33333333333334
BOU,20340.0,148.0
BOW,77604.0,137.5
BOX,15080.0,59.0
BOY,43304.0,148.0
BPC,32808.0,148.0
BPH,15748.0,98.0
BPI,40412.0,107.5
BPM,42400.0,148.0
BPN,32740.0,148.0
BPR,15740.0,95.0
BPS,26248.0,148.0
BPT,47280.0,150.0
BPX,72180.0,148.0
BPY,16184.0,66.0
BQB,23624.0,98.0
BQH,34040.0,103.5
BQK,32004.0,150.0
BQL,16720.0,98.0
BQN,46808.0,200.0
BQS,37024.0,148.0
BQT,34384.0,138.0
BQU,14436.0,98.0
BRA,20996.0,98.0
BRC,30812.0,157.0
BRD,79520.0,112.5
BRE,35960.0,111.5
BRI,39056.0,156.0
BRK,37140.0,98.0
BRL,48208.0,125.0
BRM,37400.0,147.0
BRN,39736.0,98.0
BRO,65600.0,125.0
BRQ,45272.0,147.5
BRR,30512.0,166.33333333333334
BRS,26392.0,151.0
BRT,19292.0,98.0
BRU,129084.0,153.33333333333334
BRV,24388.0,79.5
BRW,26000.0,150.0
BRX,39372.0,148.0
BSA,45696.0,131.5
BSB,85304.0,148.0
BSC,15892.0,78.0
BSF,14780.0,90.0
BSG,71444.0,174.0
BSJ,25604.0,79.0
BSK,37876.0,148.0
BSL,75056.0,197.0
BSO,16404.0,98.0
BSR,52496.0,148.0
BST,30196.0,101.0
BSU,19424.0,
BSX,17600.0,100.0
BTH,53080.0,148.0
BTI,19280.0,100.0
BTJ,39372.0,148.0
BTK,41472.0,197.0
BTL,75424.0,133.33333333333334
BTM,78584.0,100.0
BTR,70812.0,125.0
BTS,79924.0,172.5
BTT,20760.0,150.0
BTU,36024.0,147.0
BTV,47724.0,112.5
BUA,20500.0,98.0
BUC,27940.0,98.0
BUD,88148.0,149.0
BUF,61052.0,150.0
BUG,21260.0,100.0
BUI,11192.0,75.0
BUN,15780.0,76.0
BUQ,51640.0,123.0
BUR,50748.0,150.0
BUS,32808.0,148.0
BUT,15748.0,
BUU,27108.0,102.5
BUW,23620.0,98.0
BUX,24280.0,98.0
BUY,13320.0,98.0
BUZ,117308.0,148.0
BVA,46388.0,123.0
BVB,35432.0,148.0
BVC,27560.0,148.0
BVE,27560.0,147.0
BVG,13488.0,98.0
BVH,34120.0,98.0
BVI,38476.0,78.5
BVS,20996.0,98.0
BVY,38540.0,125.0
BWA,19820.0,110.0
BWB,24936.0,98.0
BWE,41996.0,123.0
BWF,32328.0,151.0
BWG,41820.0,150.0
BWI,124012.0,150.0
BWK,18896.0,98.0
BWN,48000.0,150.0
BWQ,18188.0,98.0
BWT,31716.0,98.0
BWU,46688.0,90.33333333333333
BWW,23620.0,148.0
BXB,17120.0,98.0
BXE,22964.0,98.0
BXH,32832.0,131.0
BXK,48840.0,215.0
BXN,20604.0,98.0
BXO,37328.0,130.0
BXR,44428.0,148.0
BXU,25800.0,150.0
BYC,27560.0,118.0
BYH,46408.0,150.0
BYI,32644.0,77.5
BYK,43308.0,148.0
BYM,27548.0,148.0
BYN,64300.0,139.0
BYS,61200.0,175.0
BYT,5116.0,49.0
BYU,14200.0,98.0
BYY,20428.0,75.0
BZA,18332.0,
BZC,17060.0,98.0
BZD,24084.0,79.0
BZE,28400.0,150.0
BZG,32808.0,197.0
BZI,39240.0,144.0
BZK,31496.0,138.0
BZL,23980.0,100.0
BZN,59400.0,101.66666666666667
BZO,26180.0,82.0
BZR,23884.0,98.0
BZV,43308.0,148.0
BZY,28980.0,140.0
BZZ,40028.0,184.0
C03,14700.0,50.0
CAB,32808.0,98.0
CAC,21196.0,98.0
CAE,66408.0,150.0
CAF,21852.0,59.0
CAG,36784.0,148.0
CAH,19684.0,98.0
CAI,148296.0,197.0
CAJ,28280.0,98.0
CAK,83188.0,150.0
CAL,22964.0,151.0
CAN,146980.0,180.66666666666666
CAP,34804.0,131.0
CAQ,15176.0,66.0
CAR,28080.0,87.5
CAT,20200.0,100.0
CAU,23624.0,98.0
CAW,20264.0,148.0
CAX,51844.0,107.66666666666667
CAY,41944.0,148.0
CAZ,35960.0,98.0
CBB,84608.0,148.0
CBE,29960.0,150.0
CBF,32400.0,87.5
CBG,46756.0,127.0
CBH,88340.0,148.0
CBL,40528.0,141.5
CBM,105200.0,208.33333333333334
CBN,16524.0,98.0
CBO,24936.0,98.0
CBQ,32160.0,148.0
CBR,65120.0,148.0
CBT,48556.0,145.0
CBV,13360.0,50.0
CCB,15456.0,75.0
CCC,39368.0,148.0
CCF,26904.0,148.0
CCH,15748.0,75.0
CCI,19424.0,59.0
CCJ,37532.0,150.0
CCK,31996.0,148.0
CCL,21784.0,60.0
CCM,19528.0,98.0
CCO,22000.0,100.0
CCP,56040.0,123.0
CCR,60688.0,112.5
CCS,85652.0,148.0
CCU,79084.0,150.0
CCV,10696.0,69.0
CCX,24280.0,98.0
CCY,33268.0,135.0
CCZ,20000.0,78.0
CDA,16940.0,
CDB,58600.0,150.0
CDC,53900.0,105.0
CDG,181300.0,172.5
CDJ,23624.0,98.0
CDN,31992.0,100.0
CDP,26248.0,150.0
CDR,41608.0,87.5
CDS,58280.0,95.0
CDU,28704.0,98.0
CDV,37596.0,90.0
CDW,33096.0,77.5
CEB,43308.0,148.0
CEC,40016.0,150.0
CED,36144.0,98.0
CEF,74716.0,225.5
CEG,26808.0,148.0
CEI,39372.0,148.0
CEK,41996.0,197.0
CEM,11128.0,60.0
CEN,30184.0,148.0
CEQ,31100.0,123.0
CER,32020.0,148.0
CES,14400.0,60.0
CET,18112.0,98.0
CEU,17596.0,100.0
CEW,32020.0,150.0
CEZ,28820.0,100.0
CFB,33464.0,148.0
CFC,21324.0,98.0
CFD,21320.0,57.5
CFE,60604.0,168.66666666666666
CFG,31496.0,148.0
CFN,19632.0,98.0
CFO,14436.0,98.0
CFR,40416.0,123.0
CFS,38436.0,104.0
CFU,31168.0,148.0
CFV,39488.0,87.5
CGB,30184.0,148.0
CGC,30300.0,87.5
CGD,33464.0,
CGF,20408.0,100.0
CGH,44292.0,148.0
CGI,41980.0,125.0
CGK,95280.0,197.0
CGM,15780.0,98.0
CGN,106780.0,164.33333333333334
CGO,44620.0,197.0
CGP,38584.0,150.0
CGQ,42000.0,148.0
CGR,34120.0,141.0
CGY,32200.0,118.0
CGZ,20800.0,100.0
CHA,49600.0,150.0
CHC,72256.0,175.0
CHH,25984.0,98.0
CHM,23620.0,98.0
CHN,19200.0,100.0
CHO,24004.0,150.0
CHQ,43928.0,148.0
CHR,45932.0,148.0
CHS,64020.0,175.0
CHT,17848.0,148.0
CHX,14436.0,82.0
CHY,8656.0,82.0
CIA,28968.0,154.0
CIC,38916.0,105.0
CID,59204.0,150.0
CIJ,26248.0,98.0
CIK,16000.0,90.0
CIO,24280.0,148.0
CIP,19292.0,
CIS,24920.0,140.0
CIT,36744.0,144.0
CIU,48804.0,137.5
CIW,23600.0,98.0
CIX,33064.0,148.0
CIY,32280.0,148.0
CIZ,20996.0,118.0
CJA,32804.0,148.0
CJB,33920.0,150.0
CJC,37912.0,98.0
CJF,25592.0,
CJJ,72000.0,175.0
CJL,22964.0,98.0
CJM,27560.0,148.0
CJS,58396.0,123.0
CJU,66804.0,148.0
CKB,31200.0,150.0
CKC,32720.0,138.0
CKF,60188.0,133.33333333333334
CKG,41996.0,148.0
CKL,39368.0,
CKS,26248.0,148.0
CKV,40016.0,100.0
CKY,43304.0,148.0
CKZ,23620.0,98.0
CLD,19588.0,150.0
CLE,124448.0,150.0
CLJ,26772.0,148.0
CLL,69232.0,150.0
CLM,38368.0,100.0
CLN,23624.0,148.0
CLO,39368.0,148.0
CLQ,30184.0,148.0
CLS,20000.0,150.0
CLT,144712.0,150.0
CLU,45600.0,125.0
CLV,27560.0,98.0
CLW,13200.0,75.0
CLY,30316.0,131.0
CMA,34740.0,78.5
CMB,43964.0,148.0
CMD,29948.0,79.0
CME,28872.0,148.0
CMF,26512.0,148.0
CMG,21784.0,98.0
CMH,72500.0,150.0
CMI,94864.0,131.25
CMK,15200.0,
CMN,97640.0,148.0
CMP,19684.0,98.0
CMQ,31220.0,98.0
CMR,21128.0,98.0
CMU,13320.0,89.0
CMW,39368.0,148.0
CMX,46788.0,125.0
CNB,27652.0,98.0
CNC,9580.0,
CND,45932.0,148.0
CNF,39372.0,148.0
CNG,56404.0,172.5
CNJ,41432.0,79.0
CNL,15736.0,98.0
CNM,94564.0,118.75
CNN,47244.0,148.0
CNO,71524.0,150.0
CNP,13124.0,98.0
CNQ,27560.0,148.0
CNR,15940.0,98.0
CNS,54096.0,104.0
CNU,25820.0,105.0
CNW,59568.0,150.0
CNX,40684.0,148.0
CNY,28400.0,75.0
COC,20996.0,98.0
COD,33072.0,100.0
COE,51200.0,87.5
COF,52092.0,200.0
COH,14000.0,100.0
COJ,28464.0,98.0
COK,44620.0,148.0
CON,52816.0,108.33333333333333
COO,31496.0,148.0
COQ,34120.0,131.0
COR,70868.0,148.0
COS,131168.0,150.0
COT,20020.0,75.0
COU,48004.0,125.0
COX,21200.0,100.0
COZ,18372.0,
CPC,32808.0,148.0
CPD,29620.0,98.0
CPE,32808.0,148.0
CPH,130840.0,148.0
CPO,21784.0,92.0
CPQ,15748.0,98.0
CPR,132092.0,105.0
CPT,64332.0,175.5
CPV,20996.0,138.0
CPX,10400.0,50.0
CQD,43276.0,148.0
CQF,20144.0,148.0
CQM,52492.0,197.0
CQW,20000.0,75.0
CRA,32812.0,148.0
CRC,28872.0,131.0
CRD,36876.0,164.0
CRE,23984.0,100.0
CRG,32008.0,100.0
CRI,16244.0,60.0
CRK,83992.0,172.5
CRL,33464.0,148.0
CRM,17716.0,98.0
CRP,54352.0,150.0
CRQ,20080.0,164.0
CRV,26248.0,148.0
CRW,44212.0,150.0
CRZ,49868.0,197.0
CSA,6572.0,59.0
CSB,26248.0,148.0
CSF,31484.0,164.0
CSG,43976.0,150.0
CSK,26292.0,98.0
CSV,21672.0,100.0
CSX,34120.0,148.0
CSY,52764.0,215.5
CTA,31956.0,148.0
CTB,42396.0,75.0
CTC,36744.0,98.0
CTD,19684.0,66.0
CTG,34120.0,148.0
CTH,21600.0,100.0
CTJ,22608.0,100.0
CTL,34004.0,86.5
CTM,28976.0,151.0
CTN,21352.0,98.0
CTS,78720.0,200.0
CTT,22964.0,98.0
CTU,47244.0,197.0
CTY,40024.0,87.5
CUA,20996.0,
CUB,20008.0,75.0
CUC,56164.0,148.0
CUE,24936.0,118.0
CUF,27612.0,148.0
CUL,30184.0,148.0
CUM,40684.0,148.0
CUN,82676.0,172.5
CUP,26444.0,148.0
CUQ,16428.0,75.0
CUR,44752.0,197.0
CUU,80096.0,107.0
CUZ,44584.0,148.0
CVC,29460.0,59.0
CVE,17584.0,98.0
CVF,6900.0,
CVG,164000.0,150.0
CVJ,37756.0,148.0
CVM,47508.0,123.0
CVN,57356.0,125.0
CVO,36940.0,112.5
CVQ,36996.0,98.0
CVS,72800.0,150.0
CVT,23952.0,151.0
CVU,10500.0,
CVX,23320.0,137.5
CWA,56584.0,150.0
CWB,52692.0,148.0
CWC,29080.0,138.0
CWI,35616.0,100.0
CWL,31392.0,151.0
CWT,36692.0,79.0
CWW,43976.0,123.0
CXB,27160.0,125.0
CXI,27600.0,98.0
CXJ,21916.0,98.0
CXL,18716.0,75.0
CXO,39896.0,125.0
CXP,18280.0,96.0
CXR,40000.0,150.0
CXY,35704.0,125.0
CYB,24000.0,148.0
CYF,10000.0,28.0
CYG,18384.0,98.0
CYI,61256.0,111.0
CYO,39476.0,148.0
CYP,19372.0,98.0
CYR,17980.0,
CYS,63832.0,150.0
CYT,17400.0,75.0
CYW,25136.0,98.0
CYZ,27560.0,118.0
CZA,36744.0,148.0
CZE,27044.0,148.0
CZF,15960.0,135.0
CZG,15600.0,75.0
CZL,70868.0,148.0
CZM,76092.0,148.0
CZS,31496.0,148.0
CZU,19720.0,98.0
DAA,22472.0,75.0
DAB,78784.0,133.33333333333334
DAC,46000.0,150.0
DAD,85932.0,148.0
DAG,46076.0,125.0
DAL,90796.0,150.0
DAM,86616.0,148.0
DAN,42080.0,125.0
DAR,52492.0,124.5
DAU,18372.0,98.0
DAV,27560.0,148.0
DAW,16004.0,100.0
DAY,105612.0,150.0
DBB,45916.0,148.0
DBD,14912.0,93.0
DBN,44024.0,150.0
DBO,36420.0,104.0
DBQ,51316.0,125.0
DBV,43308.0,148.0
DCA,67936.0,150.0
DCF,12520.0,75.0
DCI,73500.0,111.0
DCM,23952.0,98.0
DCN,40012.0,148.0
DCY,55120.0,148.0
DDC,46192.0,100.0
DEA,25996.0,98.0
DEB,65132.0,180.5
DEC,82376.0,150.0
DED,28000.0,150.0
DEL,145052.0,165.66666666666666
DEN,304000.0,158.33333333333334
DES,18124.0,33.0
DET,36460.0,100.0
DEZ,83372.0,148.0
DFW,321612.0,171.42857142857142
DGE,36928.0,98.0
DGL,39420.0,87.5
DGO,38056.0,148.0
DGT,24544.0,118.0
DHA,95276.0,148.0
DHI,20000.0,
DHM,18480.0,98.0
DHN,53992.0,150.0
DHR,16732.0,98.0
DHT,48276.0,75.0
DIB,24000.0,148.0
DIE,19684.0,98.0
DIJ,55116.0,133.0
DIK,44400.0,87.5
DIL,24260.0,98.0
DIN,24012.0,100.0
DIQ,20208.0,98.0
DIR,35164.0,148.0
DIS,26900.0,95.0
DIU,38140.0,124.0
DIY,46576.0,148.0
DJB,26248.0,98.0
DJE,40684.0,148.0
DJG,70868.0,148.0
DJJ,28644.0,148.0
DJO,26248.0,98.0
DKI,10692.0,
DKK,36000.0,100.0
DKR,65264.0,123.0
DKX,13988.0,75.0
DLA,37400.0,148.0
DLC,43308.0,148.0
DLE,29272.0,148.0
DLF,93656.0,150.0
DLG,25600.0,150.0
DLH,63404.0,150.0
DLI,42652.0,148.0
DLK,23092.0,
DLL,30152.0,100.0
DLM,39368.0,148.0
DLY,9712.0,98.0
DLZ,30180.0,164.0
DMA,54572.0,200.0
DMB,38056.0,148.0
