Lincoln County, Kansas, Average Temperature
201209,67.5,-1.4
201210,53.8,-2.6
201211,45.9,4.6
201212,33.4,3.1
201301,31.1,4.1
201302,33.2,0.9
201303,39.3,-2.4
201304,48.7,-4.5
201305,63.2,-0.1
201306,75.2,1.4
201307,76.7,-3.0
201308,76.8,-1.1
201309,72.9,4.0
201310,55.8,-0.6
201311,40.5,-0.8
201312,28.8,-1.5
201401,29.4,2.4
201402,27.3,-5.0
201403,40.2,-1.5
201404,54.5,1.3
201405,65.2,1.9
201406,74.3,0.5
201407,76.8,-2.9
201408,79.4,1.5
201409,68.0,-0.9
201410,58.8,2.4
201411,38.2,-3.1
201412,33.9,3.6
201501,31.7,4.7
201502,30.4,-1.9
201503,46.6,4.9
201504,56.6,3.4
201505,61.8,-1.5
201506,75.7,1.9
201507,79.7,0.0
201508,75.7,-2.2
201509,75.5,6.6
201510,60.2,3.8
201511,47.8,6.5
201512,37.5,7.2
201601,31.1,4.1
201602,41.1,8.8
201603,50.5,8.8
201604,56.8,3.6
201605,62.3,-1.0
201606,78.6,4.8
201607,80.4,0.7
201608,77.1,-0.8
201609,70.8,1.9
201610,61.5,5.1
201611,50.0,8.7
201612,29.9,-0.4
201701,32.5,5.5
201702,42.0,9.7
201703,48.5,6.8
201704,55.7,2.5
201705,62.3,-1.0
201706,76.4,2.6
201707,81.8,2.1
201708,73.4,-4.5
201709,72.2,3.3
201710,58.2,1.8
201711,44.3,3.0
201712,33.2,2.9
201801,28.7,1.7
201802,30.7,-1.6
201803,45.5,3.8
201804,46.8,-6.4
201805,71.1,7.8
201806,79.7,5.9
201807,79.5,-0.2
201808,76.1,-1.8
201809,70.2,1.3
201810,53.3,-3.1
201811,37.6,-3.7
201812,33.6,3.3
201901,30.5,3.5
201902,25.4,-6.9
201903,38.4,-3.3
201904,55.2,2.0
201905,60.2,-3.1
201906,73.0,-0.8
201907,79.6,-0.1
201908,77.2,-0.7
201909,75.5,6.6
201910,50.9,-5.5
201911,39.8,-1.5
201912,35.7,5.4
202001,31.8,4.8
