St. Joseph County, Indiana, Average Temperature
201209,62.4,-0.7
201210,50.3,-1.3
201211,38.9,0.4
201212,35.2,8.1
201301,27.0,4.1
201302,26.1,1.0
201303,31.7,-3.8
201304,46.3,-0.6
201305,62.5,4.2
201306,68.4,0.5
201307,71.0,-1.2
201308,69.3,-0.6
201309,64.4,1.3
201310,52.4,0.8
201311,37.5,-1.0
201312,25.0,-2.1
201401,14.9,-8.0
201402,17.5,-7.6
201403,28.7,-6.8
201404,48.0,1.1
201405,59.6,1.3
201406,70.7,2.8
201407,67.5,-4.7
201408,70.8,0.9
201409,62.1,-1.0
201410,51.5,-0.1
201411,33.3,-5.2
201412,32.6,5.5
201501,21.2,-1.7
201502,14.9,-10.2
201503,33.2,-2.3
201504,49.3,2.4
201505,62.3,4.0
201506,68.3,0.4
201507,70.1,-2.1
201508,69.3,-0.6
201509,67.0,3.9
201510,52.9,1.3
201511,43.9,5.4
201512,39.5,12.4
201601,24.5,1.6
201602,29.4,4.3
201603,42.3,6.8
201604,47.7,0.8
201605,58.2,-0.1
201606,69.8,1.9
201607,72.8,0.6
201608,73.8,3.9
201609,67.9,4.8
201610,56.2,4.6
201611,45.6,7.1
201612,25.5,-1.6
201701,29.9,7.0
201702,37.5,12.4
201703,37.2,1.7
201704,52.3,5.4
201705,57.0,-1.3
201706,69.7,1.8
201707,71.6,-0.6
201708,67.7,-2.2
201709,65.4,2.3
201710,56.0,4.4
201711,39.1,0.6
201712,25.8,-1.3
201801,23.5,0.6
201802,28.7,3.6
201803,34.6,-0.9
201804,40.4,-6.5
201805,66.0,7.7
201806,70.3,2.4
201807,72.5,0.3
201808,72.4,2.5
201809,67.0,3.9
201810,51.5,-0.1
201811,34.1,-4.4
201812,32.4,5.3
201901,21.7,-1.2
201902,26.9,1.8
201903,33.4,-2.1
201904,47.8,0.9
201905,57.7,-0.6
201906,67.5,-0.4
201907,74.5,2.3
201908,69.6,-0.3
201909,67.8,4.7
201910,52.0,0.4
201911,34.5,-4.0
201912,33.9,6.8
202001,31.2,8.3
