Winnebago County, Illinois, Average Temperature
201209,62.0,-0.6
201210,49.2,-1.9
201211,38.2,1.6
201212,31.9,8.0
201301,23.2,4.2
201302,22.2,-0.6
201303,28.6,-5.9
201304,45.2,-2.1
201305,61.0,2.2
201306,67.9,-0.6
201307,71.5,-1.4
201308,70.4,0.0
201309,64.7,2.1
201310,50.5,-0.6
201311,34.6,-2.0
201312,18.6,-5.3
201401,10.8,-8.2
201402,12.1,-10.7
201403,27.9,-6.6
201404,47.1,-0.2
201405,59.6,0.8
201406,69.8,1.3
201407,68.1,-4.8
201408,70.8,0.4
201409,61.6,-1.0
201410,50.3,-0.8
201411,30.5,-6.1
201412,29.6,5.7
201501,19.5,0.5
201502,12.1,-10.7
201503,33.1,-1.4
201504,49.8,2.5
201505,60.4,1.6
201506,67.4,-1.1
201507,70.4,-2.5
201508,69.5,-0.9
201509,67.9,5.3
201510,52.8,1.7
201511,42.2,5.6
201512,36.8,12.9
201601,21.3,2.3
201602,28.7,5.9
201603,41.4,6.9
201604,48.0,0.7
201605,59.5,0.7
201606,70.3,1.8
201607,73.2,0.3
201608,73.0,2.6
201609,67.9,5.3
201610,55.5,4.4
201611,44.9,8.3
201612,22.7,-1.2
201701,25.8,6.8
201702,35.2,12.4
201703,37.2,2.7
201704,52.3,5.0
201705,57.4,-1.4
201706,70.5,2.0
201707,72.8,-0.1
201708,68.1,-2.3
201709,66.0,3.4
201710,55.1,4.0
201711,36.5,-0.1
201712,24.1,0.2
201801,19.5,0.5
201802,22.9,0.1
201803,34.9,0.4
201804,39.0,-8.3
201805,65.4,6.6
201806,69.8,1.3
201807,72.1,-0.8
201808,71.9,1.5
201809,65.8,3.2
201810,48.9,-2.2
201811,31.9,-4.7
201812,29.8,5.9
201901,17.5,-1.5
201902,21.0,-1.8
201903,32.5,-2.0
201904,47.8,0.5
201905,55.7,-3.1
201906,67.5,-1.0
201907,76.0,3.1
201908,69.8,-0.6
201909,66.8,4.2
201910,49.7,-1.4
201911,31.7,-4.9
201912,31.7,7.8
202001,26.7,7.7
