Baker County, Georgia, Average Temperature
201208,79.1,-1.6
201209,76.1,-1.0
201210,67.1,0.0
201211,55.2,-1.9
201212,54.7,4.2
201301,56.2,6.5
201302,52.4,0.0
201303,53.4,-5.3
201304,65.2,-0.8
201305,71.3,-2.3
201306,80.3,0.9
201307,79.0,-2.1
201308,79.5,-1.2
201309,76.9,-0.2
201310,67.4,0.3
201311,56.4,-0.7
201312,54.8,4.3
201401,42.4,-7.3
201402,52.5,0.1
201403,55.4,-3.3
201404,64.4,-1.6
201405,72.5,-1.1
201406,79.5,0.1
201407,80.0,-1.1
201408,81.3,0.6
201409,77.0,-0.1
201410,67.1,0.0
201411,51.3,-5.8
201412,53.7,3.2
201501,47.3,-2.4
201502,46.5,-5.9
201503,62.5,3.8
201504,69.7,3.7
201505,74.3,0.7
201506,80.3,0.9
201507,82.2,1.1
201508,81.0,0.3
201509,75.8,-1.3
201510,67.5,0.4
201511,63.1,6.0
201512,61.1,10.6
201601,46.6,-3.1
201602,52.2,-0.2
201603,63.0,4.3
201604,65.8,-0.2
201605,72.6,-1.0
201606,80.5,1.1
201607,82.5,1.4
201608,81.7,1.0
201609,78.8,1.7
201610,70.0,2.9
201611,60.3,3.2
201612,56.7,6.2
201701,55.1,5.4
201702,59.4,7.0
201703,61.0,2.3
201704,69.2,3.2
201705,73.0,-0.6
201706,77.6,-1.8
201707,81.3,0.2
201708,80.9,0.2
201709,76.2,-0.9
201710,69.7,2.6
201711,58.7,1.6
201712,52.2,1.7
201801,44.5,-5.2
201802,62.0,9.6
201803,57.8,-0.9
201804,62.8,-3.2
201805,75.6,2.0
201806,80.8,1.4
201807,81.0,-0.1
201808,80.0,-0.7
201809,81.2,4.1
201810,72.6,5.5
201811,56.8,-0.3
201812,53.5,3.0
201901,51.2,1.5
201902,60.7,8.3
201903,60.0,1.3
201904,67.1,1.1
201905,77.4,3.8
201906,80.9,1.5
201907,81.9,0.8
201908,82.0,1.3
201909,80.6,3.5
201910,72.6,5.5
201911,55.7,-1.4
201912,54.8,4.3
202001,54.4,4.7
