Northwest Arctic Borough, Alaska, Average Temperature
201206,52.4,2.9
201207,53.8,0.1
201208,48.5,-0.6
201209,37.3,-1.0
201210,24.4,4.2
201211,-0.8,-4.7
201212,-9.1,-3.7
201301,4.8,11.5
201302,-7.1,-1.4
201303,3.0,2.7
201304,10.5,-4.5
201305,29.0,-5.8
201306,54.9,5.4
201307,55.5,1.8
201308,50.0,0.9
201309,35.6,-2.7
201310,31.6,11.4
201311,6.2,2.3
201312,2.0,7.4
201401,11.3,18.0
201402,1.7,7.4
201403,7.8,7.5
201404,21.8,6.8
201405,37.5,2.7
201406,48.3,-1.2
201407,52.3,-1.4
201408,53.9,4.8
201409,41.0,2.7
201410,22.5,2.3
201411,13.8,9.9
201412,4.8,10.2
201501,-2.9,3.8
201502,6.6,12.3
201503,0.9,0.6
201504,20.6,5.6
201505,43.3,8.5
201506,51.5,2.0
201507,56.7,3.0
201508,47.1,-2.0
201509,35.4,-2.9
201510,27.0,6.8
201511,11.4,7.5
201512,-2.4,3.0
201601,12.5,19.2
201602,8.6,14.3
201603,4.7,4.4
201604,27.7,12.7
201605,42.9,8.1
201606,52.1,2.6
201607,55.7,2.0
201608,53.0,3.9
201609,39.0,0.7
201610,30.0,9.8
201611,5.8,1.9
201612,0.2,5.6
201701,-1.6,5.1
201702,-3.8,1.9
201703,-6.2,-6.5
201704,24.4,9.4
201705,38.2,3.4
201706,53.3,3.8
201707,58.0,4.3
201708,47.6,-1.5
201709,40.4,2.1
201710,26.3,6.1
201711,13.4,9.5
201712,16.0,21.4
201801,-3.0,3.7
201802,9.3,15.0
201803,12.2,11.9
201804,21.4,6.4
201805,38.2,3.4
201806,52.0,2.5
201807,56.7,3.0
201808,49.0,-0.1
201809,44.0,5.7
201810,30.2,10.0
201811,13.6,9.7
201812,-0.3,5.1
201901,0.4,7.1
201902,12.8,18.5
201903,21.0,20.7
201904,22.9,7.9
201905,42.4,7.6
201906,56.4,6.9
201907,59.1,5.4
201908,50.2,1.1
201909,42.5,4.2
201910,26.6,6.4
201911,10.3,6.4
201912,-2.5,2.9
202001,-9.9,-3.2
