Perry County, Alabama, Average Temperature
201208,78.4,-1.5
201209,73.4,-1.9
201210,62.6,-1.8
201211,51.3,-2.6
201212,50.8,4.0
201301,50.1,4.5
201302,47.8,-0.7
201303,49.9,-5.8
201304,62.4,-0.9
201305,69.0,-2.2
201306,78.2,0.1
201307,77.9,-2.5
201308,78.3,-1.6
201309,75.1,-0.2
201310,65.0,0.6
201311,51.8,-2.1
201312,47.8,1.0
201401,37.2,-8.4
201402,47.4,-1.1
201403,52.9,-2.8
201404,62.8,-0.5
201405,70.5,-0.7
201406,78.1,0.0
201407,78.4,-2.0
201408,80.4,0.5
201409,77.1,1.8
201410,66.1,1.7
201411,48.2,-5.7
201412,50.4,3.6
201501,43.5,-2.1
201502,41.7,-6.8
201503,57.6,1.9
201504,65.9,2.6
201505,71.9,0.7
201506,78.7,0.6
201507,81.5,1.1
201508,79.4,-0.5
201509,75.1,-0.2
201510,65.6,1.2
201511,59.6,5.7
201512,56.2,9.4
201601,43.1,-2.5
201602,50.0,1.5
201603,59.8,4.1
201604,63.9,0.6
201605,70.7,-0.5
201606,79.6,1.5
201607,82.5,2.1
201608,82.2,2.3
201609,78.8,3.5
201610,68.8,4.4
201611,57.6,3.7
201612,49.9,3.1
201701,52.5,6.9
201702,55.4,6.9
201703,58.9,3.2
201704,67.6,4.3
201705,70.1,-1.1
201706,76.1,-2.0
201707,81.1,0.7
201708,78.8,-1.1
201709,74.3,-1.0
201710,66.1,1.7
201711,55.7,1.8
201712,46.2,-0.6
201801,40.2,-5.4
201802,57.3,8.8
201803,55.9,0.2
201804,59.8,-3.5
201805,74.8,3.6
201806,80.0,1.9
201807,81.9,1.5
201808,80.5,0.6
201809,80.4,5.1
201810,68.0,3.6
201811,50.1,-3.8
201812,48.7,1.9
201901,47.1,1.5
201902,56.7,8.2
201903,55.5,-0.2
201904,63.1,-0.2
201905,74.7,3.5
201906,78.5,0.4
201907,80.0,-0.4
201908,80.3,0.4
201909,80.1,4.8
201910,67.3,2.9
201911,49.9,-4.0
201912,50.8,4.0
202001,48.7,3.1
