Dawson County, Georgia, Average Temperature
201208,73.4,-1.8
201209,68.8,-1.2
201210,58.2,-0.8
201211,48.2,-0.5
201212,46.2,5.1
201301,45.1,5.4
201302,41.7,-0.4
201303,43.4,-5.9
201304,57.3,-0.7
201305,62.6,-3.6
201306,72.3,-1.0
201307,73.6,-2.5
201308,72.5,-2.7
201309,68.9,-1.1
201310,59.1,0.1
201311,46.2,-2.5
201312,43.0,1.9
201401,31.4,-8.3
201402,42.7,0.6
201403,47.2,-2.1
201404,57.7,-0.3
201405,65.6,-0.6
201406,73.3,0.0
201407,73.2,-2.9
201408,73.6,-1.6
201409,70.5,0.5
201410,59.9,0.9
201411,43.9,-4.8
201412,45.4,4.3
201501,38.4,-1.3
201502,34.1,-8.0
201503,51.8,2.5
201504,59.3,1.3
201505,67.0,0.8
201506,74.2,0.9
201507,76.6,0.5
201508,74.4,-0.8
201509,68.5,-1.5
201510,59.7,0.7
201511,53.1,4.4
201512,52.7,11.6
201601,37.3,-2.4
201602,42.7,0.6
201603,55.0,5.7
201604,58.8,0.8
201605,65.5,-0.7
201606,75.5,2.2
201607,78.7,2.6
201608,77.2,2.0
201609,73.9,3.9
201610,63.1,4.1
201611,53.2,4.5
201612,44.1,3.0
201701,46.2,6.5
201702,49.5,7.4
201703,51.6,2.3
201704,62.6,4.6
201705,65.7,-0.5
201706,71.3,-2.0
201707,76.0,-0.1
201708,74.0,-1.2
201709,67.6,-2.4
201710,60.6,1.6
201711,51.5,2.8
201712,42.4,1.3
201801,36.3,-3.4
201802,51.7,9.6
201803,47.9,-1.4
201804,54.6,-3.4
201805,69.7,3.5
201806,74.4,1.1
201807,75.2,-0.9
201808,74.2,-1.0
201809,74.9,4.9
201810,61.9,2.9
201811,45.5,-3.2
201812,43.6,2.5
201901,40.9,1.2
201902,48.2,6.1
201903,49.5,0.2
201904,58.9,0.9
201905,69.9,3.7
201906,71.8,-1.5
201907,77.0,0.9
201908,75.6,0.4
201909,75.0,5.0
201910,63.7,4.7
201911,47.3,-1.4
201912,46.9,5.8
202001,44.5,4.8
