Buncombe County, North Carolina, Average Temperature
201208,69.6,-0.2
201209,64.6,0.0
201210,53.8,-0.3
201211,42.8,-1.3
201212,41.9,5.2
201301,40.7,5.5
201302,37.4,0.2
201303,38.5,-5.7
201304,53.2,0.6
201305,59.5,-1.5
201306,68.6,0.8
201307,70.5,-0.5
201308,68.7,-1.1
201309,64.9,0.3
201310,55.8,1.7
201311,42.0,-2.1
201312,40.2,3.5
201401,27.9,-7.3
201402,38.3,1.1
201403,42.4,-1.8
201404,54.2,1.6
201405,62.3,1.3
201406,69.6,1.8
201407,68.7,-2.3
201408,69.2,-0.6
201409,66.8,2.2
201410,55.4,1.3
201411,39.8,-4.3
201412,42.0,5.3
201501,34.5,-0.7
201502,30.2,-7.0
201503,48.0,3.8
201504,56.2,3.6
201505,63.7,2.7
201506,70.6,2.8
201507,72.8,1.8
201508,70.3,0.5
201509,65.4,0.8
201510,55.4,1.3
201511,49.4,5.3
201512,49.4,12.7
201601,32.3,-2.9
201602,37.4,0.2
201603,50.6,6.4
201604,54.8,2.2
201605,60.7,-0.3
201606,70.8,3.0
201607,74.2,3.2
201608,73.4,3.6
201609,69.2,4.6
201610,58.2,4.1
201611,48.4,4.3
201612,40.1,3.4
201701,41.5,6.3
201702,44.7,7.5
201703,45.5,1.3
201704,58.5,5.9
201705,62.1,1.1
201706,67.6,-0.2
201707,72.5,1.5
201708,69.7,-0.1
201709,63.8,-0.8
201710,56.7,2.6
201711,47.3,3.2
201712,37.8,1.1
201801,30.6,-4.6
201802,47.8,10.6
201803,43.2,-1.0
201804,50.2,-2.4
201805,66.1,5.1
201806,71.1,3.3
201807,71.7,0.7
201808,70.3,0.5
201809,70.8,6.2
201810,57.7,3.6
201811,42.1,-2.0
201812,39.4,2.7
201901,36.3,1.1
201902,44.7,7.5
201903,44.3,0.1
201904,56.0,3.4
201905,65.7,4.7
201906,68.0,0.2
201907,72.4,1.4
201908,70.9,1.1
201909,69.8,5.2
201910,59.0,4.9
201911,43.6,-0.5
201912,41.9,5.2
202001,40.5,5.3
