Burleigh County, North Dakota, Average Temperature
201209,58.3,1.3
201210,41.6,-2.9
201211,27.9,1.1
201212,14.2,1.0
201301,12.7,5.9
201302,18.6,6.5
201303,19.4,-5.9
201304,32.8,-9.0
201305,53.3,-0.8
201306,63.6,0.1
201307,68.9,-0.9
201308,69.3,1.7
201309,62.6,5.6
201310,41.4,-3.1
201311,26.2,-0.6
201312,5.9,-7.3
201401,10.3,3.5
201402,6.7,-5.4
201403,24.3,-1.0
201404,39.2,-2.6
201405,54.2,0.1
201406,62.8,-0.7
201407,67.2,-2.6
201408,67.3,-0.3
201409,58.7,1.7
201410,46.7,2.2
201411,20.0,-6.8
201412,17.8,4.6
201501,16.6,9.8
201502,9.1,-3.0
201503,33.2,7.9
201504,44.8,3.0
201505,52.8,-1.3
201506,65.2,1.7
201507,70.3,0.5
201508,69.0,1.4
201509,63.4,6.4
201510,48.3,3.8
201511,32.8,6.0
201512,20.6,7.4
201601,14.7,7.9
201602,27.1,15.0
201603,37.1,11.8
201604,43.0,1.2
201605,56.4,2.3
201606,67.0,3.5
201607,70.2,0.4
201608,68.2,0.6
201609,58.8,1.8
201610,47.3,2.8
201611,39.2,12.4
201612,9.1,-4.1
201701,10.3,3.5
201702,20.3,8.2
201703,27.9,2.6
201704,43.4,1.6
201705,55.4,1.3
201706,65.9,2.4
201707,73.9,4.1
201708,65.5,-2.1
201709,59.0,2.0
201710,45.8,1.3
201711,28.3,1.5
201712,16.8,3.6
201801,12.0,5.2
201802,5.9,-6.2
201803,24.2,-1.1
201804,33.4,-8.4
201805,60.4,6.3
201806,68.3,4.8
201807,69.8,0.0
201808,68.6,1.0
201809,55.8,-1.2
201810,40.1,-4.4
201811,23.2,-3.6
201812,21.7,8.5
201901,10.5,3.7
201902,-2.0,-14.1
201903,20.7,-4.6
201904,42.1,0.3
201905,50.1,-4.0
201906,64.6,1.1
201907,70.3,0.5
201908,65.4,-2.2
201909,58.8,1.8
201910,37.6,-6.9
201911,27.0,0.2
201912,16.4,3.2
202001,13.8,7.0
