Sullivan County, Tennessee, Average Temperature
201208,72.9,-0.4
201209,66.9,-0.9
201210,55.6,-1.0
201211,43.6,-2.0
201212,43.1,5.6
201301,40.1,4.2
201302,38.8,0.4
201303,40.2,-5.9
201304,55.8,0.9
201305,62.6,-1.0
201306,71.9,0.9
201307,73.7,-0.6
201308,72.7,-0.6
201309,67.6,-0.2
201310,58.0,1.4
201311,43.1,-2.5
201312,40.5,3.0
201401,28.5,-7.4
201402,38.3,-0.1
201403,44.9,-1.2
201404,58.0,3.1
201405,64.6,1.0
201406,73.4,2.4
201407,71.5,-2.8
201408,72.4,-0.9
201409,69.4,1.6
201410,56.9,0.3
201411,40.3,-5.3
201412,41.6,4.1
201501,35.2,-0.7
201502,29.4,-9.0
201503,48.2,2.1
201504,58.1,3.2
201505,67.4,3.8
201506,73.8,2.8
201507,75.2,0.9
201508,73.3,0.0
201509,68.9,1.1
201510,57.7,1.1
201511,51.5,5.9
201512,50.3,12.8
201601,32.6,-3.3
201602,39.0,0.6
201603,52.5,6.4
201604,57.2,2.3
201605,62.9,-0.7
201606,73.3,2.3
201607,77.4,3.1
201608,77.4,4.1
201609,72.1,4.3
201610,60.6,4.0
201611,49.4,3.8
201612,39.8,2.3
201701,44.0,8.1
201702,45.6,7.2
201703,47.9,1.8
201704,60.9,6.0
201705,64.2,0.6
201706,70.2,-0.8
201707,75.3,1.0
201708,72.9,-0.4
201709,66.9,-0.9
201710,59.4,2.8
201711,47.7,2.1
201712,38.4,0.9
201801,31.8,-4.1
201802,48.7,10.3
201803,44.9,-1.2
201804,51.7,-3.2
201805,68.8,5.2
201806,73.6,2.6
201807,75.4,1.1
201808,73.9,0.6
201809,74.4,6.6
201810,59.5,2.9
201811,43.7,-1.9
201812,41.1,3.6
201901,38.1,2.2
201902,45.5,7.1
201903,45.5,-0.6
201904,58.3,3.4
201905,68.4,4.8
201906,70.2,-0.8
201907,75.1,0.8
201908,74.2,0.9
201909,73.8,6.0
201910,61.4,4.8
201911,43.4,-2.2
201912,43.7,6.2
202001,42.2,6.3
