Cherokee County, North Carolina, Average Temperature
201207,76.0,2.4
201208,71.2,-1.5
201209,66.4,-1.2
201210,55.0,-1.6
201211,44.5,-1.8
201212,44.0,5.1
201301,42.4,5.0
201302,39.0,-0.6
201303,40.3,-6.4
201304,55.2,-0.3
201305,61.8,-1.7
201306,70.6,0.0
201307,72.1,-1.5
201308,70.6,-2.1
201309,67.3,-0.3
201310,57.5,0.9
201311,44.4,-1.9
201312,41.0,2.1
201401,29.6,-7.8
201402,40.0,0.4
201403,45.3,-1.4
201404,56.4,0.9
201405,63.3,-0.2
201406,71.6,1.0
201407,70.8,-2.8
201408,71.4,-1.3
201409,69.0,1.4
201410,57.3,0.7
201411,41.9,-4.4
201412,43.2,4.3
201501,36.1,-1.3
201502,30.5,-9.1
201503,49.4,2.7
201504,56.9,1.4
201505,64.2,0.7
201506,72.0,1.4
201507,73.1,-0.5
201508,70.5,-2.2
201509,66.4,-1.2
201510,57.1,0.5
201511,51.2,4.9
201512,49.8,10.9
201601,33.5,-3.9
201602,39.4,-0.2
201603,51.8,5.1
201604,56.4,0.9
201605,62.6,-0.9
201606,71.2,0.6
201607,74.8,1.2
201608,74.7,2.0
201609,71.3,3.7
201610,60.2,3.6
201611,50.0,3.7
201612,40.6,1.7
201701,43.1,5.7
201702,46.0,6.4
201703,47.5,0.8
201704,60.2,4.7
201705,63.3,-0.2
201706,68.7,-1.9
201707,73.2,-0.4
201708,70.9,-1.8
201709,64.3,-3.3
201710,58.5,1.9
201711,48.1,1.8
201712,39.0,0.1
201801,31.4,-6.0
201802,49.8,10.2
201803,45.4,-1.3
201804,51.9,-3.6
201805,68.0,4.5
201806,72.8,2.2
201807,73.9,0.3
201808,72.7,0.0
201809,72.8,5.2
201810,59.5,2.9
201811,44.3,-2.0
201812,42.2,3.3
201901,38.6,1.2
201902,46.8,7.2
201903,47.2,0.5
201904,58.1,2.6
201905,67.7,4.2
201906,70.2,-0.4
201907,74.6,1.0
201908,73.8,1.1
201909,72.4,4.8
201910,61.4,4.8
201911,45.3,-1.0
201912,44.8,5.9
202001,42.2,4.8
