Madison County, Alabama, Average Temperature
201208,76.5,-1.2
201209,70.2,-2.1
201210,58.9,-2.0
201211,48.3,-1.5
201212,48.0,5.9
201301,44.0,3.8
201302,43.2,0.1
201303,46.0,-5.0
201304,59.3,-0.5
201305,66.3,-1.7
201306,76.2,0.6
201307,76.4,-2.3
201308,75.9,-1.8
201309,72.5,0.2
201310,62.2,1.3
201311,47.2,-2.6
201312,43.1,1.0
201401,32.6,-7.6
201402,41.6,-1.5
201403,48.2,-2.8
201404,60.3,0.5
201405,68.7,0.7
201406,76.3,0.7
201407,75.2,-3.5
201408,76.8,-0.9
201409,73.8,1.5
201410,62.2,1.3
201411,45.1,-4.7
201412,45.8,3.7
201501,39.0,-1.2
201502,35.0,-8.1
201503,52.6,1.6
201504,62.5,2.7
201505,70.0,2.0
201506,77.8,2.2
201507,80.5,1.8
201508,76.5,-1.2
201509,72.6,0.3
201510,62.2,1.3
201511,56.6,6.8
201512,54.0,11.9
201601,38.4,-1.8
201602,45.4,2.3
201603,56.5,5.5
201604,61.3,1.5
201605,67.9,-0.1
201606,78.8,3.2
201607,81.4,2.7
201608,80.6,2.9
201609,77.1,4.8
201610,67.1,6.2
201611,55.8,6.0
201612,45.2,3.1
201701,48.4,8.2
201702,51.3,8.2
201703,53.6,2.6
201704,65.7,5.9
201705,68.1,0.1
201706,74.5,-1.1
201707,79.7,1.0
201708,76.7,-1.0
201709,70.1,-2.2
201710,62.4,1.5
201711,52.5,2.7
201712,42.5,0.4
201801,36.0,-4.2
201802,52.2,9.1
201803,50.6,-0.4
201804,56.1,-3.7
201805,73.2,5.2
201806,77.6,2.0
201807,79.0,0.3
201808,78.3,0.6
201809,77.5,5.2
201810,63.8,2.9
201811,46.4,-3.4
201812,45.2,3.1
201901,41.6,1.4
201902,50.2,7.1
201903,50.0,-1.0
201904,61.4,1.6
201905,71.9,3.9
201906,75.5,-0.1
201907,79.1,0.4
201908,78.3,0.6
201909,78.5,6.2
201910,63.9,3.0
201911,46.8,-3.0
201912,48.3,6.2
202001,45.2,5.0
