Lancaster County, Nebraska, Average Temperature
201209,64.9,-0.8
201210,50.6,-3.2
201211,42.6,4.2
201212,29.3,3.0
201301,26.0,3.8
201302,29.9,2.6
201303,34.8,-3.2
201304,45.8,-4.8
201305,60.8,-0.8
201306,71.2,-0.2
201307,74.6,-2.3
201308,75.1,0.5
201309,70.1,4.4
201310,52.4,-1.4
201311,37.5,-0.9
201312,22.9,-3.4
201401,22.4,0.2
201402,22.2,-5.1
201403,36.3,-1.7
201404,51.5,0.9
201405,62.9,1.3
201406,72.4,1.0
201407,72.5,-4.4
201408,74.4,-0.2
201409,64.4,-1.3
201410,55.3,1.5
201411,33.8,-4.6
201412,31.2,4.9
201501,27.8,5.6
201502,21.5,-5.8
201503,42.8,4.8
201504,53.6,3.0
201505,60.4,-1.2
201506,72.0,0.6
201507,75.3,-1.6
201508,72.3,-2.3
201509,70.7,5.0
201510,56.8,3.0
201511,45.3,6.9
201512,33.8,7.5
201601,25.3,3.1
201602,34.7,7.4
201603,47.4,9.4
201604,54.4,3.8
201605,61.2,-0.4
201606,77.1,5.7
201607,76.1,-0.8
201608,74.3,-0.3
201609,69.0,3.3
201610,57.7,3.9
201611,46.9,8.5
201612,26.6,0.3
201701,27.1,4.9
201702,38.2,10.9
201703,42.9,4.9
201704,52.8,2.2
201705,61.3,-0.3
201706,73.6,2.2
201707,77.3,0.4
201708,70.2,-4.4
201709,69.0,3.3
201710,55.2,1.4
201711,40.5,2.1
201712,28.2,1.9
201801,22.2,0.0
201802,23.2,-4.1
201803,40.2,2.2
201804,43.0,-7.6
201805,68.8,7.2
201806,75.9,4.5
201807,75.4,-1.5
201808,74.0,-0.6
201809,67.8,2.1
201810,50.1,-3.7
201811,33.2,-5.2
201812,30.5,4.2
201901,25.0,2.8
201902,17.9,-9.4
201903,33.9,-4.1
201904,53.2,2.6
201905,59.2,-2.4
201906,71.9,0.5
201907,77.1,0.2
201908,73.4,-1.2
201909,72.3,6.6
201910,48.8,-5.0
201911,37.1,-1.3
201912,32.4,6.1
202001,26.4,4.2
