McHenry County, Illinois, Average Temperature
201209,61.4,-1.1
201210,48.7,-2.3
201211,36.8,0.1
201212,32.4,8.2
201301,23.6,4.1
201302,21.6,-1.4
201303,28.6,-5.6
201304,44.5,-1.9
201305,59.9,2.2
201306,66.7,-0.8
201307,71.0,-1.3
201308,69.4,-0.7
201309,63.2,0.7
201310,50.1,-0.9
201311,34.8,-1.9
201312,19.6,-4.6
201401,10.6,-8.9
201402,12.2,-10.8
201403,26.2,-8.0
201404,45.6,-0.8
201405,58.0,0.3
201406,68.3,0.8
201407,67.5,-4.8
201408,70.4,0.3
201409,61.4,-1.1
201410,50.0,-1.0
201411,30.9,-5.8
201412,30.4,6.2
201501,19.3,-0.2
201502,12.8,-10.2
201503,32.4,-1.8
201504,49.0,2.6
201505,59.8,2.1
201506,66.4,-1.1
201507,70.6,-1.7
201508,68.9,-1.2
201509,67.6,5.1
201510,52.9,1.9
201511,42.4,5.7
201512,37.6,13.4
201601,21.6,2.1
201602,29.0,6.0
201603,41.3,7.1
201604,47.0,0.6
201605,58.1,0.4
201606,69.8,2.3
201607,73.8,1.5
201608,73.4,3.3
201609,67.6,5.1
201610,54.7,3.7
201611,44.8,8.1
201612,23.5,-0.7
201701,26.6,7.1
201702,35.0,12.0
201703,36.5,2.3
201704,51.9,5.5
201705,55.7,-2.0
201706,69.2,1.7
201707,71.5,-0.8
201708,68.1,-2.0
201709,66.1,3.6
201710,54.7,3.7
201711,36.5,-0.2
201712,23.8,-0.4
201801,20.5,1.0
201802,24.3,1.3
201803,34.8,0.6
201804,38.9,-7.5
201805,64.2,6.5
201806,69.2,1.7
201807,71.6,-0.7
201808,72.2,2.1
201809,65.3,2.8
201810,49.0,-2.0
201811,32.2,-4.5
201812,29.9,5.7
201901,19.3,-0.2
201902,22.3,-0.7
201903,32.2,-2.0
201904,47.5,1.1
201905,56.1,-1.6
201906,66.4,-1.1
201907,75.0,2.7
201908,69.2,-0.9
201909,67.0,4.5
201910,50.0,-1.0
201911,31.8,-4.9
201912,31.9,7.7
202001,27.5,8.0
