Hawkins County, Tennessee, Average Temperature
201208,73.6,-1.0
201209,67.8,-1.4
201210,56.1,-1.6
201211,44.5,-1.8
201212,43.9,5.7
201301,39.9,3.3
201302,39.2,-0.2
201303,40.9,-6.2
201304,55.7,-0.3
201305,63.6,-1.2
201306,72.8,0.4
201307,74.1,-1.6
201308,73.4,-1.2
201309,68.9,-0.3
201310,58.9,1.2
201311,43.6,-2.7
201312,40.2,2.0
201401,28.5,-8.1
201402,39.3,-0.1
201403,45.4,-1.7
201404,58.5,2.5
201405,65.4,0.6
201406,74.3,1.9
201407,72.6,-3.1
201408,73.3,-1.3
201409,69.9,0.7
201410,57.9,0.2
201411,40.9,-5.4
201412,42.7,4.5
201501,35.4,-1.2
201502,30.2,-9.2
201503,48.5,1.4
201504,58.8,2.8
201505,67.8,3.0
201506,74.6,2.2
201507,75.8,0.1
201508,73.8,-0.8
201509,69.9,0.7
201510,58.5,0.8
201511,52.1,5.8
201512,50.4,12.2
201601,32.6,-4.0
201602,39.8,0.4
201603,53.0,5.9
201604,58.2,2.2
201605,63.6,-1.2
201606,74.8,2.4
201607,78.3,2.6
201608,77.9,3.3
201609,73.3,4.1
201610,62.0,4.3
201611,51.0,4.7
201612,39.2,1.0
201701,44.4,7.8
201702,46.6,7.2
201703,48.9,1.8
201704,61.7,5.7
201705,65.3,0.5
201706,71.0,-1.4
201707,76.3,0.6
201708,73.8,-0.8
201709,67.7,-1.5
201710,59.6,1.9
201711,48.5,2.2
201712,39.0,0.8
201801,32.1,-4.5
201802,48.4,9.0
201803,45.7,-1.4
201804,52.2,-3.8
201805,70.0,5.2
201806,74.4,2.0
201807,76.2,0.5
201808,74.5,-0.1
201809,74.8,5.6
201810,60.1,2.4
201811,44.3,-2.0
201812,41.0,2.8
201901,38.6,2.0
201902,45.7,6.3
201903,46.5,-0.6
201904,58.7,2.7
201905,69.5,4.7
201906,71.0,-1.4
201907,75.9,0.2
201908,75.0,0.4
201909,74.8,5.6
201910,61.9,4.2
201911,43.6,-2.7
201912,44.1,5.9
202001,42.8,6.2
