Petersburg Borough, Alaska, Average Temperature
201208,49.4,-0.5
201209,44.9,0.2
201210,34.1,-2.9
201211,26.7,-1.1
201212,20.4,-3.4
201301,27.0,5.2
201302,29.6,5.5
201303,26.5,-1.8
201304,32.0,-2.2
201305,42.6,1.5
201306,51.1,3.6
201307,51.4,1.9
201308,52.5,2.6
201309,47.1,2.4
201310,39.9,2.9
201311,26.7,-1.1
201312,23.8,0.0
201401,31.4,9.6
201402,20.2,-3.9
201403,27.1,-1.2
201404,35.1,0.9
201405,45.2,4.1
201406,47.4,-0.1
201407,50.2,0.7
201408,51.3,1.4
201409,47.0,2.3
201410,39.2,2.2
201411,28.4,0.6
201412,29.3,5.5
201501,30.6,8.8
201502,27.7,3.6
201503,32.5,4.2
201504,35.4,1.2
201505,46.9,5.8
201506,50.4,2.9
201507,50.9,1.4
201508,50.9,1.0
201509,44.6,-0.1
201510,40.0,3.0
201511,29.3,1.5
201512,25.9,2.1
201601,30.9,9.1
201602,32.2,8.1
201603,34.5,6.2
201604,38.7,4.5
201605,45.0,3.9
201606,50.1,2.6
201607,51.8,2.3
201608,52.6,2.7
201609,46.3,1.6
201610,36.8,-0.2
201611,31.8,4.0
201612,20.6,-3.2
201701,26.8,5.0
201702,24.2,0.1
201703,23.8,-4.5
201704,37.2,3.0
201705,42.4,1.3
201706,46.6,-0.9
201707,48.2,-1.3
201708,51.2,1.3
201709,46.4,1.7
201710,36.3,-0.7
201711,24.1,-3.7
201712,25.8,2.0
201801,26.2,4.4
201802,20.2,-3.9
201803,27.9,-0.4
201804,34.5,0.3
201805,42.3,1.2
201806,48.4,0.9
201807,52.4,2.9
201808,51.8,1.9
201809,44.9,0.2
201810,39.6,2.6
201811,32.5,4.7
201812,27.3,3.5
201901,26.4,4.6
201902,19.7,-4.4
201903,31.7,3.4
201904,35.5,1.3
201905,44.9,3.8
201906,50.1,2.6
201907,52.6,3.1
201908,52.3,2.4
201909,46.7,2.0
201910,36.5,-0.5
201911,32.4,4.6
201912,30.2,6.4
202001,20.1,-1.7
