Smith County, Texas, Average Temperature
201209,76.9,0.6
201210,64.6,-1.6
201211,56.7,1.8
201212,51.2,4.0
201301,49.4,4.1
201302,51.2,2.0
201303,54.5,-1.9
201304,62.4,-2.0
201305,70.9,-1.0
201306,80.8,1.5
201307,81.0,-1.5
201308,84.2,1.8
201309,80.1,3.8
201310,66.6,0.4
201311,51.5,-3.4
201312,45.3,-1.9
201401,43.4,-1.9
201402,47.7,-1.5
201403,52.7,-3.7
201404,63.3,-1.1
201405,70.4,-1.5
201406,79.0,-0.3
201407,79.7,-2.8
201408,81.8,-0.6
201409,77.8,1.5
201410,68.3,2.1
201411,51.0,-3.9
201412,50.5,3.3
201501,44.1,-1.2
201502,45.5,-3.7
201503,55.6,-0.8
201504,67.1,2.7
201505,72.3,0.4
201506,79.6,0.3
201507,84.3,1.8
201508,83.1,0.7
201509,79.2,2.9
201510,68.9,2.7
201511,57.7,2.8
201512,53.7,6.5
201601,46.3,1.0
201602,53.7,4.5
201603,60.7,4.3
201604,66.2,1.8
201605,71.0,-0.9
201606,80.3,1.0
201607,85.0,2.5
201608,83.1,0.7
201609,78.8,2.5
201610,70.7,4.5
201611,61.4,6.5
201612,50.7,3.5
201701,52.6,7.3
201702,59.2,10.0
201703,62.7,6.3
201704,67.9,3.5
201705,70.6,-1.3
201706,78.8,-0.5
201707,83.1,0.6
201708,81.0,-1.4
201709,76.6,0.3
201710,67.0,0.8
201711,60.3,5.4
201712,47.8,0.6
201801,42.3,-3.0
201802,52.0,2.8
201803,61.4,5.0
201804,60.6,-3.8
201805,76.9,5.0
201806,83.9,4.6
201807,85.4,2.9
201808,84.3,1.9
201809,78.3,2.0
201810,66.3,0.1
201811,51.3,-3.6
201812,49.3,2.1
201901,46.6,1.3
201902,51.9,2.7
201903,54.6,-1.8
201904,63.9,-0.5
201905,73.6,1.7
201906,78.2,-1.1
201907,82.1,-0.4
201908,85.6,3.2
201909,82.5,6.2
201910,65.3,-0.9
201911,53.1,-1.8
201912,50.2,3.0
202001,49.8,4.5
