Lincoln County, Nebraska, Average Temperature
201209,64.2,1.0
201210,48.1,-2.9
201211,40.4,4.1
201212,27.1,0.8
201301,26.0,2.3
201302,29.4,1.0
201303,36.7,0.1
201304,43.3,-4.7
201305,58.9,0.4
201306,69.1,0.7
201307,73.1,-1.7
201308,74.7,2.0
201309,68.4,5.2
201310,49.2,-1.8
201311,36.4,0.1
201312,25.1,-1.2
201401,27.9,4.2
201402,21.3,-7.1
201403,37.0,0.4
201404,48.7,0.7
201405,58.1,-0.4
201406,68.1,-0.3
201407,71.8,-3.0
201408,73.4,0.7
201409,63.1,-0.1
201410,54.1,3.1
201411,33.3,-3.0
201412,28.0,1.7
201501,28.4,4.7
201502,28.8,0.4
201503,44.2,7.6
201504,51.0,3.0
201505,55.9,-2.6
201506,70.0,1.6
201507,73.7,-1.1
201508,70.7,-2.0
201509,69.2,6.0
201510,54.5,3.5
201511,39.7,3.4
201512,31.1,4.8
201601,29.3,5.6
201602,35.6,7.2
201603,44.3,7.7
201604,49.7,1.7
201605,56.6,-1.9
201606,72.6,4.2
201607,73.7,-1.1
201608,71.9,-0.8
201609,64.8,1.6
201610,55.8,4.8
201611,44.2,7.9
201612,25.1,-1.2
201701,25.3,1.6
201702,36.2,7.8
201703,43.6,7.0
201704,50.6,2.6
201705,56.3,-2.2
201706,71.3,2.9
201707,77.0,2.2
201708,69.7,-3.0
201709,65.1,1.9
201710,50.9,-0.1
201711,40.5,4.2
201712,26.7,0.4
201801,23.2,-0.5
201802,21.8,-6.6
201803,39.8,3.2
201804,41.8,-6.2
201805,62.9,4.4
201806,71.8,3.4
201807,73.1,-1.7
201808,70.3,-2.4
201809,66.5,3.3
201810,47.2,-3.8
201811,34.3,-2.0
201812,27.5,1.2
201901,28.5,4.8
201902,18.5,-9.9
201903,32.3,-4.3
201904,49.6,1.6
201905,52.7,-5.8
201906,67.3,-1.1
201907,74.4,-0.4
201908,71.3,-1.4
201909,68.9,5.7
201910,43.8,-7.2
201911,35.6,-0.7
201912,31.3,5.0
202001,29.6,5.9
