Mobile County, Alabama, Average Temperature
201208,80.6,-0.2
201209,76.7,-0.3
201210,66.4,-1.1
201211,55.9,-1.9
201212,55.3,3.5
201301,54.9,4.4
201302,54.6,1.4
201303,54.6,-4.6
201304,65.2,-1.0
201305,70.7,-2.5
201306,80.3,1.1
201307,79.7,-1.3
201308,80.1,-0.7
201309,78.9,1.9
201310,69.2,1.7
201311,56.6,-1.2
201312,52.6,0.8
201401,43.0,-7.5
201402,52.7,-0.5
201403,55.8,-3.4
201404,65.4,-0.8
201405,71.9,-1.3
201406,79.0,-0.2
201407,79.9,-1.1
201408,81.6,0.8
201409,78.2,1.2
201410,67.9,0.4
201411,52.8,-5.0
201412,55.0,3.2
201501,48.8,-1.7
201502,47.5,-5.7
201503,63.7,4.5
201504,70.2,4.0
201505,74.6,1.4
201506,80.2,1.0
201507,83.3,2.3
201508,81.3,0.5
201509,77.0,0.0
201510,68.8,1.3
201511,62.9,5.1
201512,60.9,9.1
201601,48.7,-1.8
201602,54.2,1.0
201603,63.8,4.6
201604,67.3,1.1
201605,73.2,0.0
201606,80.6,1.4
201607,82.9,1.9
201608,82.1,1.3
201609,79.9,2.9
201610,70.8,3.3
201611,62.1,4.3
201612,56.6,4.8
201701,57.8,7.3
201702,60.8,7.6
201703,63.4,4.2
201704,69.2,3.0
201705,72.6,-0.6
201706,78.0,-1.2
201707,81.8,0.8
201708,81.0,0.2
201709,77.0,0.0
201710,69.7,2.2
201711,60.5,2.7
201712,52.3,0.5
201801,45.8,-4.7
201802,64.2,11.0
201803,60.8,1.6
201804,63.4,-2.8
201805,76.4,3.2
201806,81.2,2.0
201807,82.4,1.4
201808,80.8,0.0
201809,80.9,3.9
201810,72.0,4.5
201811,56.0,-1.8
201812,54.5,2.7
201901,51.2,0.7
201902,61.6,8.4
201903,59.4,0.2
201904,65.9,-0.3
201905,76.3,3.1
201906,80.7,1.5
201907,81.9,0.9
201908,82.2,1.4
201909,82.1,5.1
201910,71.6,4.1
201911,55.8,-2.0
201912,54.9,3.1
202001,53.8,3.3
