Brown County, South Dakota, Average Temperature
201209,59.4,0.5
201210,44.1,-2.2
201211,30.8,2.2
201212,15.7,1.1
201301,13.5,5.0
201302,14.4,0.2
201303,19.0,-8.9
201304,33.3,-10.4
201305,55.6,-0.3
201306,65.1,-0.3
201307,70.6,-0.9
201308,70.5,1.2
201309,64.6,5.7
201310,43.6,-2.7
201311,28.4,-0.2
201312,7.5,-7.1
201401,9.0,0.5
201402,7.5,-6.7
201403,25.6,-2.3
201404,40.7,-3.0
201405,55.5,-0.4
201406,64.5,-0.9
201407,68.0,-3.5
201408,68.0,-1.3
201409,60.0,1.1
201410,49.1,2.8
201411,21.7,-6.9
201412,21.0,6.4
201501,17.6,9.1
201502,10.4,-3.8
201503,34.2,6.3
201504,47.4,3.7
201505,54.7,-1.2
201506,68.1,2.7
201507,72.0,0.5
201508,68.5,-0.8
201509,64.6,5.7
201510,50.5,4.2
201511,36.1,7.5
201512,22.1,7.5
201601,16.3,7.8
201602,26.7,12.5
201603,39.5,11.6
201604,44.6,0.9
201605,58.3,2.4
201606,69.2,3.8
201607,71.4,-0.1
201608,70.1,0.8
201609,61.6,2.7
201610,49.4,3.1
201611,40.6,12.0
201612,13.6,-1.0
201701,13.5,5.0
201702,26.3,12.1
201703,30.4,2.5
201704,44.9,1.2
201705,56.0,0.1
201706,67.3,1.9
201707,73.4,1.9
201708,66.2,-3.1
201709,61.4,2.5
201710,47.6,1.3
201711,29.8,1.2
201712,18.1,3.5
201801,14.2,5.7
201802,8.0,-6.2
201803,27.9,0.0
201804,35.0,-8.7
201805,63.6,7.7
201806,71.5,6.1
201807,71.6,0.1
201808,69.3,0.0
201809,60.0,1.1
201810,41.0,-5.3
201811,24.1,-4.5
201812,22.1,7.5
201901,9.0,0.5
201902,0.9,-13.3
201903,20.9,-7.0
201904,43.0,-0.7
201905,52.1,-3.8
201906,68.0,2.6
201907,72.9,1.4
201908,67.4,-1.9
201909,62.0,3.1
201910,39.6,-6.7
201911,28.4,-0.2
201912,17.1,2.5
202001,13.3,4.8
