Greenbrier County, West Virginia, Average Temperature
201208,68.2,0.7
201209,61.8,-0.1
201210,50.7,-0.8
201211,37.6,-2.7
201212,37.2,5.9
201301,32.3,3.2
201302,30.4,-0.9
201303,33.6,-5.8
201304,50.9,2.0
201305,57.6,-0.7
201306,66.9,1.6
201307,69.8,0.9
201308,66.6,-0.9
201309,61.9,0.0
201310,53.0,1.5
201311,38.1,-2.2
201312,33.8,2.5
201401,21.8,-7.3
201402,30.5,-0.8
201403,35.7,-3.7
201404,50.9,2.0
201405,60.2,1.9
201406,67.9,2.6
201407,67.0,-1.9
201408,66.2,-1.3
201409,63.2,1.3
201410,51.7,0.2
201411,35.2,-5.1
201412,36.3,5.0
201501,27.8,-1.3
201502,21.4,-9.9
201503,39.1,-0.3
201504,50.9,2.0
201505,61.9,3.6
201506,68.8,3.5
201507,69.7,0.8
201508,67.3,-0.2
201509,63.7,1.8
201510,52.2,0.7
201511,46.4,6.1
201512,44.6,13.3
201601,25.8,-3.3
201602,31.6,0.3
201603,46.7,7.3
201604,51.0,2.1
201605,57.5,-0.8
201606,66.4,1.1
201607,70.9,2.0
201608,71.9,4.4
201609,66.8,4.9
201610,55.1,3.6
201611,43.8,3.5
201612,33.2,1.9
201701,35.9,6.8
201702,40.1,8.8
201703,40.4,1.0
201704,55.5,6.6
201705,58.3,0.0
201706,64.5,-0.8
201707,69.7,0.8
201708,66.7,-0.8
201709,61.6,-0.3
201710,55.0,3.5
201711,41.0,0.7
201712,31.2,-0.1
201801,25.2,-3.9
201802,39.7,8.4
201803,35.5,-3.9
201804,45.9,-3.0
201805,65.1,6.8
201806,67.3,2.0
201807,69.6,0.7
201808,69.6,2.1
201809,67.8,5.9
201810,53.3,1.8
201811,38.0,-2.3
201812,35.2,3.9
201901,30.4,1.3
201902,37.6,6.3
201903,38.6,-0.8
201904,52.9,4.0
201905,63.7,5.4
201906,64.4,-0.9
201907,71.4,2.5
201908,68.7,1.2
201909,68.0,6.1
201910,55.8,4.3
201911,37.4,-2.9
201912,37.0,5.7
202001,35.2,6.1
