Gregg County, Texas, Average Temperature
201208,83.6,0.8
201209,77.2,0.6
201210,64.4,-2.0
201211,56.6,1.6
201212,51.4,3.8
201301,48.8,2.9
201302,51.0,1.4
201303,54.3,-2.4
201304,62.6,-2.2
201305,71.2,-1.3
201306,81.0,1.1
201307,81.4,-1.7
201308,84.5,1.7
201309,80.3,3.7
201310,66.3,-0.1
201311,51.3,-3.7
201312,45.4,-2.2
201401,43.0,-2.9
201402,47.6,-2.0
201403,52.6,-4.1
201404,63.2,-1.6
201405,70.1,-2.4
201406,79.1,-0.8
201407,79.5,-3.6
201408,81.6,-1.2
201409,77.8,1.2
201410,67.9,1.5
201411,51.0,-4.0
201412,50.7,3.1
201501,44.0,-1.9
201502,45.2,-4.4
201503,55.5,-1.2
201504,66.8,2.0
201505,72.6,0.1
201506,79.8,-0.1
201507,84.7,1.6
201508,83.0,0.2
201509,78.9,2.3
201510,68.4,2.0
201511,58.1,3.1
201512,53.6,6.0
201601,46.0,0.1
201602,53.5,3.9
201603,60.3,3.6
201604,65.8,1.0
201605,70.6,-1.9
201606,80.0,0.1
201607,84.5,1.4
201608,82.4,-0.4
201609,78.5,1.9
201610,70.4,4.0
201611,61.2,6.2
201612,50.4,2.8
201701,52.7,6.8
201702,58.8,9.2
201703,62.1,5.4
201704,67.6,2.8
201705,70.2,-2.3
201706,78.3,-1.6
201707,82.9,-0.2
201708,80.5,-2.3
201709,76.2,-0.4
201710,66.8,0.4
201711,60.0,5.0
201712,48.0,0.4
201801,41.8,-4.1
201802,52.1,2.5
201803,61.2,4.5
201804,60.6,-4.2
201805,76.9,4.4
201806,83.1,3.2
201807,85.1,2.0
201808,83.9,1.1
201809,78.4,1.8
201810,66.4,0.0
201811,51.0,-4.0
201812,49.1,1.5
201901,46.2,0.3
201902,51.7,2.1
201903,54.9,-1.8
201904,63.8,-1.0
201905,73.6,1.1
201906,77.8,-2.1
201907,81.5,-1.6
201908,85.2,2.4
201909,82.2,5.6
201910,64.7,-1.7
201911,52.9,-2.1
201912,50.5,2.9
202001,50.3,4.4
