Copiah County, Mississippi, Average Temperature
201208,80.0,-0.6
201209,74.9,-1.1
201210,62.8,-2.9
201211,53.6,-1.7
201212,53.1,4.4
201301,51.4,4.1
201302,50.5,0.2
201303,52.5,-4.8
201304,63.3,-1.3
201305,69.2,-2.9
201306,79.3,0.5
201307,78.7,-2.3
201308,80.2,-0.4
201309,77.4,1.4
201310,67.0,1.3
201311,52.6,-2.7
201312,48.8,0.1
201401,41.4,-5.9
201402,48.8,-1.5
201403,53.2,-4.1
201404,64.2,-0.4
201405,71.1,-1.0
201406,78.4,-0.4
201407,78.4,-2.6
201408,80.1,-0.5
201409,77.3,1.3
201410,67.6,1.9
201411,50.7,-4.6
201412,51.8,3.1
201501,46.5,-0.8
201502,45.0,-5.3
201503,59.9,2.6
201504,68.7,4.1
201505,73.7,1.6
201506,80.2,1.4
201507,83.8,2.8
201508,81.4,0.8
201509,77.6,1.6
201510,68.2,2.5
201511,60.8,5.5
201512,58.7,10.0
201601,45.7,-1.6
201602,53.0,2.7
201603,61.4,4.1
201604,66.8,2.2
201605,71.7,-0.4
201606,80.5,1.7
201607,82.5,1.5
201608,81.6,1.0
201609,79.2,3.2
201610,69.2,3.5
201611,59.2,3.9
201612,51.8,3.1
201701,54.8,7.5
201702,58.6,8.3
201703,61.5,4.2
201704,67.0,2.4
201705,70.2,-1.9
201706,76.2,-2.6
201707,80.5,-0.5
201708,79.3,-1.3
201709,74.6,-1.4
201710,66.8,1.1
201711,59.1,3.8
201712,48.0,-0.7
201801,41.4,-5.9
201802,59.8,9.5
201803,59.3,2.0
201804,60.4,-4.2
201805,76.8,4.7
201806,81.2,2.4
201807,82.5,1.5
201808,80.9,0.3
201809,80.1,4.1
201810,68.8,3.1
201811,52.7,-2.6
201812,50.6,1.9
201901,48.6,1.3
201902,58.2,7.9
201903,56.7,-0.6
201904,64.2,-0.4
201905,74.9,2.8
201906,78.8,0.0
201907,80.8,-0.2
201908,82.1,1.5
201909,82.0,6.0
201910,69.3,3.6
201911,52.0,-3.3
201912,52.2,3.5
202001,52.8,5.5
