Comanche County, Oklahoma, Average Temperature
201209,76.0,1.5
201210,61.5,-1.6
201211,54.7,4.7
201212,42.9,2.4
201301,41.6,3.3
201302,43.8,0.7
201303,50.5,-0.8
201304,56.1,-5.0
201305,69.6,0.1
201306,80.4,2.1
201307,81.4,-1.4
201308,82.5,0.3
201309,77.4,2.9
201310,62.7,-0.4
201311,47.8,-2.2
201312,36.3,-4.2
201401,39.2,0.9
201402,38.3,-4.8
201403,47.9,-3.4
201404,61.3,0.2
201405,71.2,1.7
201406,79.2,0.9
201407,80.6,-2.2
201408,83.6,1.4
201409,75.6,1.1
201410,67.3,4.2
201411,46.5,-3.5
201412,43.4,2.9
201501,39.9,1.6
201502,40.3,-2.8
201503,52.4,1.1
201504,62.2,1.1
201505,67.2,-2.3
201506,79.3,1.0
201507,83.4,0.6
201508,81.8,-0.4
201509,78.9,4.4
201510,65.2,2.1
201511,52.3,2.3
201512,46.0,5.5
201601,40.5,2.2
201602,49.2,6.1
201603,56.3,5.0
201604,62.1,1.0
201605,68.0,-1.5
201606,79.7,1.4
201607,84.6,1.8
201608,82.4,0.2
201609,76.3,1.8
201610,67.8,4.7
201611,56.5,6.5
201612,40.8,0.3
201701,42.2,3.9
201702,51.7,8.6
201703,58.1,6.8
201704,61.8,0.7
201705,68.5,-1.0
201706,78.2,-0.1
201707,83.5,0.7
201708,78.2,-4.0
201709,73.6,-0.9
201710,63.0,-0.1
201711,54.5,4.5
201712,41.3,0.8
201801,39.2,0.9
201802,42.5,-0.6
201803,55.8,4.5
201804,56.4,-4.7
201805,76.2,6.7
201806,82.9,4.6
201807,85.6,2.8
201808,83.0,0.8
201809,74.6,0.1
201810,61.3,-1.8
201811,47.3,-2.7
201812,41.8,1.3
201901,39.8,1.5
201902,42.2,-0.9
201903,49.0,-2.3
201904,61.8,0.7
201905,68.3,-1.2
201906,77.0,-1.3
201907,82.3,-0.5
201908,86.0,3.8
201909,81.2,6.7
201910,58.8,-4.3
201911,48.0,-2.0
201912,45.0,4.5
202001,44.5,6.2
