Boone County, Missouri, Average Temperature
201209,66.6,-1.6
201210,53.9,-3.0
201211,45.2,2.2
201212,38.0,6.1
201301,32.4,4.3
201302,32.9,0.6
201303,37.1,-5.5
201304,51.9,-2.0
201305,63.5,-0.6
201306,73.0,-0.1
201307,75.1,-2.8
201308,74.7,-1.6
201309,70.5,2.3
201310,55.6,-1.3
201311,41.2,-1.8
201312,29.2,-2.7
201401,24.3,-3.8
201402,24.2,-8.1
201403,39.7,-2.9
201404,54.5,0.6
201405,65.6,1.5
201406,73.7,0.6
201407,72.8,-5.1
201408,76.5,0.2
201409,66.9,-1.3
201410,56.8,-0.1
201411,37.9,-5.1
201412,36.1,4.2
201501,30.7,2.6
201502,24.8,-7.5
201503,44.5,1.9
201504,57.7,3.8
201505,65.2,1.1
201506,74.0,0.9
201507,76.9,-1.0
201508,73.5,-2.8
201509,71.8,3.6
201510,58.0,1.1
201511,48.7,5.7
201512,41.9,10.0
201601,29.9,1.8
201602,37.9,5.6
201603,50.5,7.9
201604,57.3,3.4
201605,63.0,-1.1
201606,77.4,4.3
201607,77.7,-0.2
201608,76.0,-0.3
201609,71.6,3.4
201610,61.9,5.0
201611,50.5,7.5
201612,30.9,-1.0
201701,34.3,6.2
201702,44.6,12.3
201703,47.8,5.2
201704,59.0,5.1
201705,64.2,0.1
201706,73.8,0.7
201707,78.8,0.9
201708,71.8,-4.5
201709,70.7,2.5
201710,59.0,2.1
201711,45.9,2.9
201712,33.0,1.1
201801,28.1,0.0
201802,34.8,2.5
201803,42.3,-0.3
201804,48.3,-5.6
201805,73.2,9.1
201806,78.0,4.9
201807,78.3,0.4
201808,77.6,1.3
201809,71.7,3.5
201810,56.4,-0.5
201811,36.7,-6.3
201812,35.9,4.0
201901,29.4,1.3
201902,30.8,-1.5
201903,40.8,-1.8
201904,56.9,3.0
201905,64.4,0.3
201906,72.8,-0.3
201907,78.1,0.2
201908,75.0,-1.3
201909,74.6,6.4
201910,53.0,-3.9
201911,40.5,-2.5
201912,38.3,6.4
202001,32.8,4.7
