Mecklenburg County, North Carolina, Average Temperature
201208,76.7,0.0
201209,71.1,-0.1
201210,60.0,-0.1
201211,47.6,-2.1
201212,48.2,6.5
201301,44.9,4.4
201302,42.4,-0.4
201303,45.2,-5.0
201304,60.0,1.1
201305,65.8,-1.9
201306,75.6,0.6
201307,77.5,-0.7
201308,75.4,-1.3
201309,71.2,0.0
201310,61.4,1.3
201311,47.3,-2.4
201312,45.6,3.9
201401,35.3,-5.2
201402,44.8,2.0
201403,46.4,-3.8
201404,60.4,1.5
201405,69.4,1.7
201406,76.5,1.5
201407,76.9,-1.3
201408,75.9,-0.8
201409,71.7,0.5
201410,62.3,2.2
201411,46.5,-3.2
201412,45.4,3.7
201501,39.8,-0.7
201502,36.6,-6.2
201503,53.0,2.8
201504,61.2,2.3
201505,70.7,3.0
201506,79.3,4.3
201507,81.2,3.0
201508,78.6,1.9
201509,72.3,1.1
201510,59.8,-0.3
201511,54.0,4.3
201512,54.7,13.0
201601,39.0,-1.5
201602,43.8,1.0
201603,57.9,7.7
201604,60.6,1.7
201605,67.1,-0.6
201606,77.5,2.5
201607,81.8,3.6
201608,81.2,4.5
201609,76.2,5.0
201610,63.6,3.5
201611,53.1,3.4
201612,44.5,2.8
201701,46.6,6.1
201702,52.6,9.8
201703,52.0,1.8
201704,64.5,5.6
201705,68.7,1.0
201706,75.1,0.1
201707,80.2,2.0
201708,77.2,0.5
201709,71.5,0.3
201710,63.3,3.2
201711,51.0,1.3
201712,44.2,2.5
201801,36.8,-3.7
201802,53.2,10.4
201803,48.2,-2.0
201804,57.8,-1.1
201805,73.3,5.6
201806,78.8,3.8
201807,79.5,1.3
201808,78.8,2.1
201809,77.8,6.6
201810,63.2,3.1
201811,47.6,-2.1
201812,45.1,3.4
201901,43.3,2.8
201902,49.1,6.3
201903,50.0,-0.2
201904,62.0,3.1
201905,73.5,5.8
201906,75.8,0.8
201907,80.8,2.6
201908,78.6,1.9
201909,77.5,6.3
201910,66.1,6.0
201911,47.7,-2.0
201912,46.7,5.0
202001,46.3,5.8
