Vanderburgh County, Indiana, Average Temperature
201208,76.5,0.3
201209,68.4,-1.0
201210,55.9,-2.0
201211,43.8,-1.5
201212,42.2,6.9
201301,34.8,2.7
201302,36.1,0.7
201303,39.3,-5.9
201304,56.2,0.4
201305,66.3,0.8
201306,74.6,0.2
201307,75.8,-2.3
201308,76.0,-0.2
201309,71.0,1.6
201310,57.8,-0.1
201311,42.8,-2.5
201312,34.5,-0.8
201401,26.8,-5.3
201402,29.4,-6.0
201403,41.0,-4.2
201404,57.7,1.9
201405,67.6,2.1
201406,76.4,2.0
201407,73.6,-4.5
201408,77.4,1.2
201409,68.6,-0.8
201410,59.1,1.2
201411,39.4,-5.9
201412,38.4,3.1
201501,32.2,0.1
201502,25.6,-9.8
201503,43.8,-1.4
201504,58.5,2.7
201505,68.0,2.5
201506,76.1,1.7
201507,78.6,0.5
201508,74.4,-1.8
201509,72.2,2.8
201510,59.6,1.7
201511,50.7,5.4
201512,46.8,11.5
201601,32.3,0.2
201602,38.5,3.1
201603,51.5,6.3
201604,56.8,1.0
201605,63.8,-1.7
201606,77.4,3.0
201607,78.5,0.4
201608,78.7,2.5
201609,72.9,3.5
201610,63.8,5.9
201611,51.0,5.7
201612,35.3,0.0
201701,38.9,6.8
201702,45.5,10.1
201703,47.9,2.7
201704,61.5,5.7
201705,66.5,1.0
201706,74.6,0.2
201707,79.1,1.0
201708,74.0,-2.2
201709,70.5,1.1
201710,60.2,2.3
201711,46.6,1.3
201712,35.0,-0.3
201801,28.5,-3.6
201802,40.6,5.2
201803,43.2,-2.0
201804,50.4,-5.4
201805,73.4,7.9
201806,77.7,3.3
201807,78.2,0.1
201808,77.1,0.9
201809,73.6,4.2
201810,58.8,0.9
201811,40.4,-4.9
201812,40.2,4.9
201901,32.8,0.7
201902,38.9,3.5
201903,42.0,-3.2
201904,57.6,1.8
201905,68.0,2.5
201906,73.4,-1.0
201907,78.5,0.4
201908,76.4,0.2
201909,76.1,6.7
201910,58.9,1.0
201911,39.9,-5.4
201912,41.0,5.7
202001,37.6,5.5
