Forrest County, Mississippi, Average Temperature
201208,79.8,-0.9
201209,75.7,-0.5
201210,64.4,-1.6
201211,54.1,-2.1
201212,54.7,4.6
201301,53.1,4.3
201302,53.4,1.6
201303,53.2,-5.1
201304,63.7,-1.7
201305,70.0,-2.6
201306,79.9,0.8
201307,78.9,-2.2
201308,79.4,-1.3
201309,77.8,1.6
201310,67.8,1.8
201311,53.7,-2.5
201312,50.6,0.5
201401,41.8,-7.0
201402,50.6,-1.2
201403,54.7,-3.6
201404,64.4,-1.0
201405,71.8,-0.8
201406,79.2,0.1
201407,79.3,-1.8
201408,81.0,0.3
201409,77.6,1.4
201410,68.1,2.1
201411,51.1,-5.1
201412,54.7,4.6
201501,47.7,-1.1
201502,46.6,-5.2
201503,62.3,4.0
201504,69.8,4.4
201505,73.2,0.6
201506,79.6,0.5
201507,83.4,2.3
201508,80.9,0.2
201509,76.7,0.5
201510,68.5,2.5
201511,61.6,5.4
201512,59.1,9.0
201601,47.9,-0.9
201602,53.3,1.5
201603,63.2,4.9
201604,66.8,1.4
201605,71.3,-1.3
201606,80.5,1.4
201607,82.0,0.9
201608,81.7,1.0
201609,79.1,2.9
201610,69.8,3.8
201611,61.5,5.3
201612,54.4,4.3
201701,56.7,7.9
201702,59.8,8.0
201703,62.7,4.4
201704,67.9,2.5
201705,71.1,-1.5
201706,76.8,-2.3
201707,80.8,-0.3
201708,79.8,-0.9
201709,75.5,-0.7
201710,68.0,2.0
201711,59.1,2.9
201712,50.0,-0.1
201801,43.4,-5.4
201802,61.9,10.1
201803,59.6,1.3
201804,61.5,-3.9
201805,76.0,3.4
201806,81.1,2.0
201807,81.8,0.7
201808,80.3,-0.4
201809,80.0,3.8
201810,70.1,4.1
201811,54.0,-2.2
201812,52.5,2.4
201901,49.3,0.5
201902,60.4,8.6
201903,58.5,0.2
201904,64.3,-1.1
201905,75.1,2.5
201906,79.8,0.7
201907,80.8,-0.3
201908,81.4,0.7
201909,81.1,4.9
201910,68.9,2.9
201911,53.1,-3.1
201912,53.4,3.3
202001,52.7,3.9
