Williamson County, Illinois, Average Temperature
201209,67.8,-1.1
201210,55.4,-2.2
201211,43.6,-1.3
201212,41.8,7.0
201301,35.3,3.6
201302,36.8,1.5
201303,39.7,-5.3
201304,54.7,-0.7
201305,65.4,0.5
201306,73.8,0.2
201307,73.9,-3.5
201308,74.5,-1.1
201309,70.8,1.9
201310,57.5,-0.1
201311,42.3,-2.6
201312,32.8,-2.0
201401,26.9,-4.8
201402,29.2,-6.1
201403,40.4,-4.6
201404,56.7,1.3
201405,66.8,1.9
201406,74.9,1.3
201407,71.9,-5.5
201408,76.2,0.6
201409,67.0,-1.9
201410,58.5,0.9
201411,38.5,-6.4
201412,38.1,3.3
201501,32.0,0.3
201502,25.4,-9.9
201503,43.1,-1.9
201504,58.6,3.2
201505,66.7,1.8
201506,74.8,1.2
201507,78.3,0.9
201508,73.8,-1.8
201509,70.4,1.5
201510,58.0,0.4
201511,50.4,5.5
201512,46.2,11.4
201601,32.3,0.6
201602,38.5,3.2
201603,51.1,6.1
201604,57.3,1.9
201605,63.3,-1.6
201606,76.6,3.0
201607,78.6,1.2
201608,77.3,1.7
201609,72.0,3.1
201610,62.8,5.2
201611,49.8,4.9
201612,34.8,0.0
201701,39.3,7.6
201702,45.9,10.6
201703,48.4,3.4
201704,60.1,4.7
201705,65.8,0.9
201706,73.4,-0.2
201707,78.5,1.1
201708,72.6,-3.0
201709,69.8,0.9
201710,59.6,2.0
201711,46.3,1.4
201712,34.2,-0.6
201801,28.4,-3.3
201802,39.5,4.2
201803,43.8,-1.2
201804,49.6,-5.8
201805,72.4,7.5
201806,77.0,3.4
201807,77.7,0.3
201808,75.8,0.2
201809,73.0,4.1
201810,58.2,0.6
201811,39.5,-5.4
201812,39.2,4.4
201901,33.5,1.8
201902,38.7,3.4
201903,42.3,-2.7
201904,57.0,1.6
201905,67.3,2.4
201906,72.4,-1.2
201907,78.3,0.9
201908,76.0,0.4
201909,75.4,6.5
201910,57.5,-0.1
201911,39.6,-5.3
201912,40.4,5.6
202001,37.7,6.0
