Blaine County, Nebraska, Average Temperature
201209,63.6,1.0
201210,47.8,-2.7
201211,38.4,2.9
201212,27.0,1.9
201301,25.6,3.6
201302,28.8,2.7
201303,34.4,-0.8
201304,42.5,-5.0
201305,58.3,-0.2
201306,67.5,-0.8
201307,72.9,-1.7
201308,73.6,1.4
201309,67.4,4.8
201310,48.0,-2.5
201311,35.6,0.1
201312,22.6,-2.5
201401,25.7,3.7
201402,21.6,-4.5
201403,35.1,-0.1
201404,47.8,0.3
201405,57.8,-0.7
201406,67.1,-1.2
201407,70.7,-3.9
201408,71.8,-0.4
201409,62.5,-0.1
201410,52.4,1.9
201411,31.4,-4.1
201412,26.7,1.6
201501,27.2,5.2
201502,26.2,0.1
201503,43.9,8.7
201504,50.4,2.9
201505,55.5,-3.0
201506,69.0,0.7
201507,73.2,-1.4
201508,70.3,-1.9
201509,67.7,5.1
201510,53.6,3.1
201511,39.2,3.7
201512,29.1,4.0
201601,26.9,4.9
201602,36.6,10.5
201603,43.6,8.4
201604,49.2,1.7
201605,57.0,-1.5
201606,72.2,3.9
201607,72.8,-1.8
201608,71.6,-0.6
201609,63.6,1.0
201610,55.0,4.5
201611,43.6,8.1
201612,23.6,-1.5
201701,24.2,2.2
201702,33.9,7.8
201703,41.2,6.0
201704,49.4,1.9
201705,55.9,-2.6
201706,69.9,1.6
201707,77.1,2.5
201708,68.5,-3.7
201709,63.7,1.1
201710,49.8,-0.7
201711,39.8,4.3
201712,25.3,0.2
201801,22.6,0.6
201802,19.8,-6.3
201803,37.1,1.9
201804,40.6,-6.9
201805,63.0,4.5
201806,71.0,2.7
201807,72.8,-1.8
201808,70.5,-1.7
201809,64.6,2.0
201810,46.4,-4.1
201811,34.0,-1.5
201812,26.4,1.3
201901,26.0,4.0
201902,15.3,-10.8
201903,31.0,-4.2
201904,47.8,0.3
201905,53.3,-5.2
201906,67.2,-1.1
201907,73.8,-0.8
201908,70.5,-1.7
201909,67.5,4.9
201910,43.0,-7.5
201911,34.4,-1.1
201912,29.6,4.5
202001,25.9,3.9
