Sebastian County, Arkansas, Average Temperature
201208,81.8,1.6
201209,75.6,2.5
201210,60.2,-1.8
201211,52.1,2.4
201212,45.6,4.8
201301,42.0,3.3
201302,43.5,0.7
201303,47.6,-3.3
201304,58.8,-1.6
201305,67.3,-1.1
201306,77.2,0.8
201307,79.0,-1.8
201308,79.5,-0.7
201309,76.4,3.3
201310,61.7,-0.3
201311,48.1,-1.6
201312,39.2,-1.6
201401,35.6,-3.1
201402,39.4,-3.4
201403,47.4,-3.5
201404,59.6,-0.8
201405,67.8,-0.6
201406,77.2,0.8
201407,75.8,-5.0
201408,78.7,-1.5
201409,72.8,-0.3
201410,63.9,1.9
201411,44.6,-5.1
201412,43.3,2.5
201501,38.8,0.1
201502,37.4,-5.4
201503,50.7,-0.2
201504,62.4,2.0
201505,68.4,0.0
201506,78.8,2.4
201507,82.8,2.0
201508,78.7,-1.5
201509,75.3,2.2
201510,64.0,2.0
201511,53.9,4.2
201512,48.7,7.9
201601,39.6,0.9
201602,47.1,4.3
201603,54.8,3.9
201604,62.5,2.1
201605,66.8,-1.6
201606,79.6,3.2
201607,82.5,1.7
201608,80.6,0.4
201609,75.8,2.7
201610,68.1,6.1
201611,56.4,6.7
201612,41.9,1.1
201701,44.6,5.9
201702,53.0,10.2
201703,55.8,4.9
201704,64.1,3.7
201705,67.8,-0.6
201706,76.3,-0.1
201707,81.5,0.7
201708,77.6,-2.6
201709,74.2,1.1
201710,62.8,0.8
201711,54.5,4.8
201712,42.8,2.0
201801,36.3,-2.4
201802,45.0,2.2
201803,53.7,2.8
201804,55.0,-5.4
201805,74.8,6.4
201806,80.7,4.3
201807,82.7,1.9
201808,79.0,-1.2
201809,75.4,2.3
201810,62.4,0.4
201811,45.2,-4.5
201812,44.0,3.2
201901,39.4,0.7
201902,45.2,2.4
201903,48.9,-2.0
201904,61.4,1.0
201905,69.8,1.4
201906,75.8,-0.6
201907,79.7,-1.1
201908,81.4,1.2
201909,80.4,7.3
201910,60.6,-1.4
201911,47.0,-2.7
201912,45.4,4.6
202001,43.6,4.9
