Oktibbeha County, Mississippi, Average Temperature
201207,82.4,1.9
201208,78.8,-1.1
201209,73.6,-1.0
201210,61.3,-2.2
201211,51.3,-1.4
201212,50.9,5.7
201301,47.9,4.4
201302,47.4,0.7
201303,49.6,-4.8
201304,61.6,-1.0
201305,68.3,-2.2
201306,78.9,1.1
201307,78.7,-1.8
201308,79.4,-0.5
201309,76.1,1.5
201310,64.5,1.0
201311,49.6,-3.1
201312,45.5,0.3
201401,36.9,-6.6
201402,45.5,-1.2
201403,51.3,-3.1
201404,61.9,-0.7
201405,70.7,0.2
201406,78.0,0.2
201407,76.8,-3.7
201408,79.6,-0.3
201409,76.2,1.6
201410,65.4,1.9
201411,47.1,-5.6
201412,48.0,2.8
201501,42.3,-1.2
201502,39.7,-7.0
201503,56.8,2.4
201504,65.9,3.3
201505,72.0,1.5
201506,78.9,1.1
201507,82.4,1.9
201508,79.9,0.0
201509,76.1,1.5
201510,64.9,1.4
201511,57.6,4.9
201512,55.9,10.7
201601,42.0,-1.5
201602,50.2,3.5
201603,59.0,4.6
201604,64.0,1.4
201605,70.4,-0.1
201606,80.6,2.8
201607,83.2,2.7
201608,83.1,3.2
201609,80.1,5.5
201610,69.8,6.3
201611,57.3,4.6
201612,48.1,2.9
201701,52.6,9.1
201702,55.2,8.5
201703,58.9,4.5
201704,67.6,5.0
201705,70.3,-0.2
201706,76.8,-1.0
201707,82.2,1.7
201708,79.9,0.0
201709,74.6,0.0
201710,65.8,2.3
201711,55.3,2.6
201712,46.4,1.2
201801,38.6,-4.9
201802,55.6,8.9
201803,55.5,1.1
201804,57.9,-4.7
201805,75.7,5.2
201806,81.0,3.2
201807,82.3,1.8
201808,81.1,1.2
201809,79.5,4.9
201810,66.2,2.7
201811,48.6,-4.1
201812,47.3,2.1
201901,45.4,1.9
201902,53.5,6.8
201903,53.6,-0.8
201904,62.6,0.0
201905,74.5,4.0
201906,78.7,0.9
201907,81.1,0.6
201908,81.6,1.7
201909,81.5,6.9
201910,66.0,2.5
201911,48.6,-4.1
201912,50.0,4.8
202001,49.2,5.7
