Kanawha County, West Virginia, Average Temperature
201209,66.8,-0.5
201210,55.2,-0.7
201211,42.1,-2.6
201212,41.7,5.9
201301,36.1,2.8
201302,35.1,-0.5
201303,38.9,-5.1
201304,56.0,2.3
201305,63.9,0.9
201306,71.7,0.9
201307,74.4,-0.2
201308,72.0,-1.2
201309,67.0,-0.3
201310,57.2,1.3
201311,42.2,-2.5
201312,37.9,2.1
201401,26.0,-7.3
201402,33.4,-2.2
201403,40.3,-3.7
201404,56.8,3.1
201405,64.4,1.4
201406,72.7,1.9
201407,72.1,-2.5
201408,72.3,-0.9
201409,67.3,0.0
201410,55.9,0.0
201411,40.0,-4.7
201412,39.9,4.1
201501,31.5,-1.8
201502,25.2,-10.4
201503,43.5,-0.5
201504,55.8,2.1
201505,67.6,4.6
201506,73.4,2.6
201507,74.5,-0.1
201508,72.5,-0.7
201509,69.9,2.6
201510,56.8,0.9
201511,50.6,5.9
201512,48.6,12.8
201601,30.1,-3.2
201602,37.9,2.3
201603,51.3,7.3
201604,56.7,3.0
201605,62.0,-1.0
201606,72.1,1.3
201607,75.9,1.3
201608,77.6,4.4
201609,72.1,4.8
201610,60.3,4.4
201611,48.2,3.5
201612,38.1,2.3
201701,40.2,6.9
201702,44.6,9.0
201703,45.4,1.4
201704,60.5,6.8
201705,63.7,0.7
201706,70.1,-0.7
201707,75.1,0.5
201708,72.2,-1.0
201709,67.4,0.1
201710,59.8,3.9
201711,46.0,1.3
201712,35.3,-0.5
201801,29.5,-3.8
201802,44.3,8.7
201803,41.2,-2.8
201804,50.3,-3.4
201805,70.6,7.6
201806,73.2,2.4
201807,75.1,0.5
201808,74.9,1.7
201809,73.2,5.9
201810,57.1,1.2
201811,42.0,-2.7
201812,39.2,3.4
201901,34.5,1.2
201902,41.7,6.1
201903,42.6,-1.4
201904,57.7,4.0
201905,67.8,4.8
201906,70.1,-0.7
201907,77.1,2.5
201908,74.7,1.5
201909,73.7,6.4
201910,60.4,4.5
201911,41.1,-3.6
201912,40.9,5.1
202001,39.7,6.4
