Lowndes County, Mississippi, Average Temperature
201207,82.2,1.2
201208,78.7,-1.7
201209,73.4,-1.7
201210,61.5,-2.3
201211,50.8,-2.0
201212,50.1,4.7
201301,47.6,3.9
201302,46.7,-0.2
201303,49.3,-5.2
201304,61.5,-1.3
201305,68.4,-2.5
201306,78.7,0.5
201307,78.6,-2.4
201308,79.3,-1.1
201309,76.0,0.9
201310,64.3,0.5
201311,49.5,-3.3
201312,45.4,0.0
201401,36.8,-6.9
201402,45.4,-1.5
201403,51.9,-2.6
201404,62.2,-0.6
201405,70.7,-0.2
201406,78.1,-0.1
201407,77.0,-4.0
201408,80.1,-0.3
201409,76.8,1.7
201410,65.3,1.5
201411,48.0,-4.8
201412,47.8,2.4
201501,41.9,-1.8
201502,39.2,-7.7
201503,56.8,2.3
201504,65.6,2.8
201505,71.8,0.9
201506,79.4,1.2
201507,82.6,1.6
201508,79.1,-1.3
201509,75.3,0.2
201510,65.0,1.2
201511,57.5,4.7
201512,55.4,10.0
201601,41.5,-2.2
201602,50.0,3.1
201603,59.0,4.5
201604,63.5,0.7
201605,70.2,-0.7
201606,80.0,1.8
201607,82.9,1.9
201608,82.9,2.5
201609,79.9,4.8
201610,69.5,5.7
201611,57.4,4.6
201612,48.3,2.9
201701,52.7,9.0
201702,55.3,8.4
201703,59.4,4.9
201704,68.3,5.5
201705,71.0,0.1
201706,77.4,-0.8
201707,83.1,2.1
201708,80.5,0.1
201709,75.2,0.1
201710,66.5,2.7
201711,55.4,2.6
201712,45.6,0.2
201801,38.6,-5.1
201802,56.4,9.5
201803,55.2,0.7
201804,58.1,-4.7
201805,75.4,4.5
201806,80.9,2.7
201807,82.3,1.3
201808,81.4,1.0
201809,79.8,4.7
201810,66.5,2.7
201811,48.6,-4.2
201812,47.6,2.2
201901,45.0,1.3
201902,53.8,6.9
201903,53.8,-0.7
201904,62.9,0.1
201905,74.6,3.7
201906,78.7,0.5
201907,81.4,0.4
201908,82.0,1.6
201909,81.1,6.0
201910,66.1,2.3
201911,48.8,-4.0
201912,50.0,4.6
202001,48.7,5.0
