Allegheny County, Pennsylvania, Average Temperature
201209,64.0,-0.3
201210,53.6,0.7
201211,39.7,-1.7
201212,38.5,6.9
201301,31.7,3.5
201302,29.3,-0.6
201303,35.5,-3.3
201304,51.8,2.4
201305,61.5,1.5
201306,69.2,0.8
201307,73.0,0.5
201308,69.8,-0.9
201309,63.5,-0.8
201310,55.3,2.4
201311,39.3,-2.1
201312,34.2,2.6
201401,22.0,-6.2
201402,25.9,-4.0
201403,33.9,-4.9
201404,51.4,2.0
201405,61.3,1.3
201406,70.0,1.6
201407,69.9,-2.6
201408,69.3,-1.4
201409,64.2,-0.1
201410,54.2,1.3
201411,38.6,-2.8
201412,36.1,4.5
201501,25.6,-2.6
201502,18.6,-11.3
201503,35.3,-3.5
201504,51.9,2.5
201505,64.8,4.8
201506,69.3,0.9
201507,71.6,-0.9
201508,70.2,-0.5
201509,68.8,4.5
201510,53.2,0.3
201511,48.0,6.6
201512,44.7,13.1
201601,27.0,-1.2
201602,33.9,4.0
201603,47.0,8.2
201604,50.4,1.0
201605,59.7,-0.3
201606,70.2,1.8
201607,74.2,1.7
201608,75.6,4.9
201609,68.9,4.6
201610,56.5,3.6
201611,45.1,3.7
201612,33.1,1.5
201701,34.8,6.6
201702,40.5,10.6
201703,39.9,1.1
201704,56.1,6.7
201705,59.7,-0.3
201706,68.7,0.3
201707,72.7,0.2
201708,69.3,-1.4
201709,65.9,1.6
201710,57.9,5.0
201711,41.5,0.1
201712,30.1,-1.5
201801,25.0,-3.2
201802,38.2,8.3
201803,35.0,-3.8
201804,45.4,-4.0
201805,67.0,7.0
201806,69.5,1.1
201807,73.3,0.8
201808,72.9,2.2
201809,69.3,5.0
201810,53.9,1.0
201811,38.2,-3.2
201812,35.8,4.2
201901,28.4,0.2
201902,34.2,4.3
201903,37.3,-1.5
201904,53.2,3.8
201905,63.5,3.5
201906,67.7,-0.7
201907,74.2,1.7
201908,71.3,0.6
201909,68.6,4.3
201910,56.2,3.3
201911,38.0,-3.4
201912,35.9,4.3
202001,35.5,7.3
