Muscogee County, Georgia, Average Temperature
201208,78.6,-1.1
201209,74.4,-0.8
201210,64.6,-0.2
201211,52.9,-1.6
201212,52.0,4.7
201301,53.6,7.1
201302,49.0,0.1
201303,51.6,-4.1
201304,63.3,0.0
201305,69.0,-2.4
201306,78.5,0.3
201307,78.6,-1.5
201308,78.2,-1.5
201309,75.9,0.7
201310,66.7,1.9
201311,53.6,-0.9
201312,50.6,3.3
201401,38.3,-8.2
201402,49.3,0.4
201403,53.3,-2.4
201404,62.3,-1.0
201405,70.5,-0.9
201406,78.1,-0.1
201407,78.6,-1.5
201408,79.2,-0.5
201409,75.8,0.6
201410,65.3,0.5
201411,49.3,-5.2
201412,50.9,3.6
201501,44.6,-1.9
201502,43.1,-5.8
201503,58.8,3.1
201504,66.2,2.9
201505,72.6,1.2
201506,78.5,0.3
201507,81.7,1.6
201508,79.4,-0.3
201509,73.4,-1.8
201510,64.4,-0.4
201511,59.3,4.8
201512,57.6,10.3
201601,44.1,-2.4
201602,50.1,1.2
201603,60.4,4.7
201604,63.0,-0.3
201605,70.1,-1.3
201606,79.4,1.2
201607,82.2,2.1
201608,81.2,1.5
201609,78.0,2.8
201610,68.1,3.3
201611,57.5,3.0
201612,50.8,3.5
201701,52.4,5.9
201702,56.0,7.1
201703,58.6,2.9
201704,67.1,3.8
201705,70.7,-0.7
201706,76.8,-1.4
201707,80.4,0.3
201708,78.8,-0.9
201709,73.4,-1.8
201710,65.9,1.1
201711,54.9,0.4
201712,48.4,1.1
201801,43.0,-3.5
201802,60.1,11.2
201803,55.6,-0.1
201804,61.3,-2.0
201805,74.7,3.3
201806,79.7,1.5
201807,81.0,0.9
201808,79.9,0.2
201809,81.1,5.9
201810,68.3,3.5
201811,52.6,-1.9
201812,50.7,3.4
201901,48.3,1.8
201902,56.7,7.8
201903,56.0,0.3
201904,64.5,1.2
201905,75.4,4.0
201906,78.7,0.5
201907,81.0,0.9
201908,81.3,1.6
201909,80.8,5.6
201910,69.5,4.7
201911,52.5,-2.0
201912,52.1,4.8
202001,50.7,4.2
