Grand Forks County, North Dakota, Average Temperature
201208,67.3,0.2
201209,57.0,0.2
201210,41.6,-2.6
201211,26.1,0.6
201212,11.8,1.8
201301,8.5,5.5
201302,10.9,2.0
201303,15.2,-8.2
201304,31.2,-9.9
201305,54.0,-0.5
201306,65.6,1.6
201307,69.3,0.1
201308,68.4,1.3
201309,61.8,5.0
201310,42.7,-1.5
201311,24.8,-0.7
201312,0.8,-9.2
201401,1.1,-1.9
201402,1.3,-7.6
201403,18.1,-5.3
201404,37.1,-4.0
201405,54.3,-0.2
201406,65.1,1.1
201407,67.3,-1.9
201408,67.6,0.5
201409,58.8,2.0
201410,46.2,2.0
201411,20.4,-5.1
201412,17.1,7.1
201501,11.9,8.9
201502,3.4,-5.5
201503,30.4,7.0
201504,44.3,3.2
201505,53.3,-1.2
201506,65.5,1.5
201507,70.2,1.0
201508,67.4,0.3
201509,62.5,5.7
201510,48.0,3.8
201511,33.2,7.7
201512,20.0,10.0
201601,10.5,7.5
201602,20.7,11.8
201603,35.4,12.0
201604,40.3,-0.8
201605,58.5,4.0
201606,65.6,1.6
201607,69.3,0.1
201608,68.2,1.1
201609,59.8,3.0
201610,46.4,2.2
201611,40.3,14.8
201612,12.6,2.6
201701,11.4,8.4
201702,19.6,10.7
201703,26.7,3.3
201704,43.3,2.2
201705,55.4,0.9
201706,66.1,2.1
201707,70.6,1.4
201708,66.0,-1.1
201709,59.3,2.5
201710,46.1,1.9
201711,23.7,-1.8
201712,11.9,1.9
201801,9.3,6.3
201802,5.6,-3.3
201803,24.8,1.4
201804,33.3,-7.8
201805,61.1,6.6
201806,69.0,5.0
201807,70.3,1.1
201808,68.0,0.9
201809,56.0,-0.8
201810,38.3,-5.9
201811,20.0,-5.5
201812,16.5,6.5
201901,3.4,0.4
201902,-1.9,-10.8
201903,18.4,-5.0
201904,41.0,-0.1
201905,51.1,-3.4
201906,65.6,1.6
201907,70.6,1.4
201908,65.8,-1.3
201909,59.1,2.3
201910,39.1,-5.1
201911,24.8,-0.7
201912,10.3,0.3
202001,9.0,6.0
