Hanover County, Virginia, Average Temperature
201209,68.7,-0.4
201210,58.8,1.2
201211,44.0,-3.1
201212,44.3,6.1
201301,39.5,3.3
201302,38.0,-0.2
201303,41.6,-4.8
201304,57.8,2.1
201305,64.8,-0.3
201306,74.4,1.4
201307,78.0,0.9
201308,73.4,-2.0
201309,67.5,-1.6
201310,59.2,1.6
201311,45.4,-1.7
201312,41.8,3.6
201401,31.5,-4.7
201402,37.8,-0.4
201403,42.8,-3.6
201404,56.2,0.5
201405,67.7,2.6
201406,73.9,0.9
201407,76.6,-0.5
201408,73.2,-2.2
201409,69.9,0.8
201410,59.8,2.2
201411,44.5,-2.6
201412,41.1,2.9
201501,34.3,-1.9
201502,29.8,-8.4
201503,44.6,-1.8
201504,57.7,2.0
201505,69.5,4.4
201506,75.2,2.2
201507,76.7,-0.4
201508,74.7,-0.7
201509,71.4,2.3
201510,56.8,-0.8
201511,51.6,4.5
201512,50.8,12.6
201601,34.5,-1.7
201602,39.6,1.4
201603,53.2,6.8
201604,56.2,0.5
201605,62.7,-2.4
201606,73.4,0.4
201607,78.8,1.7
201608,78.7,3.3
201609,72.9,3.8
201610,60.7,3.1
201611,48.5,1.4
201612,39.4,1.2
201701,40.2,4.0
201702,47.4,9.2
201703,47.3,0.9
201704,62.6,6.9
201705,64.3,-0.8
201706,73.3,0.3
201707,79.3,2.2
201708,74.8,-0.6
201709,69.0,-0.1
201710,61.9,4.3
201711,47.0,-0.1
201712,37.6,-0.6
201801,33.8,-2.4
201802,45.7,7.5
201803,41.7,-4.7
201804,54.0,-1.7
201805,71.9,6.8
201806,74.5,1.5
201807,76.5,-0.6
201808,77.5,2.1
201809,74.3,5.2
201810,60.4,2.8
201811,44.9,-2.2
201812,39.6,1.4
201901,37.2,1.0
201902,42.2,4.0
201903,45.4,-1.0
201904,60.5,4.8
201905,70.4,5.3
201906,73.4,0.4
201907,79.4,2.3
201908,76.5,1.1
201909,73.9,4.8
201910,61.8,4.2
201911,44.2,-2.9
201912,41.3,3.1
202001,41.0,4.8
