Audrain County, Missouri, Average Temperature
201208,76.4,0.9
201209,66.2,-1.3
201210,53.8,-2.3
201211,43.4,1.3
201212,37.5,6.5
201301,31.1,4.2
201302,31.5,0.3
201303,35.6,-5.9
201304,50.6,-2.4
201305,63.3,-0.1
201306,72.4,-0.1
201307,74.2,-3.2
201308,74.0,-1.5
201309,70.2,2.7
201310,55.2,-0.9
201311,40.4,-1.7
201312,27.9,-3.1
201401,22.9,-4.0
201402,22.4,-8.8
201403,37.4,-4.1
201404,53.6,0.6
201405,64.4,1.0
201406,73.4,0.9
201407,71.5,-5.9
201408,75.0,-0.5
201409,65.9,-1.6
201410,55.6,-0.5
201411,36.4,-5.7
201412,35.5,4.5
201501,29.1,2.2
201502,23.3,-7.9
201503,42.2,0.7
201504,56.8,3.8
201505,64.8,1.4
201506,73.0,0.5
201507,75.9,-1.5
201508,72.8,-2.7
201509,71.9,4.4
201510,57.2,1.1
201511,48.1,6.0
201512,41.2,10.2
201601,28.2,1.3
201602,36.4,5.2
201603,49.4,7.9
201604,55.9,2.9
201605,62.4,-1.0
201606,77.0,4.5
201607,76.8,-0.6
201608,75.4,-0.1
201609,71.4,3.9
201610,61.0,4.9
201611,50.3,8.2
201612,29.7,-1.3
201701,33.1,6.2
201702,43.6,12.4
201703,46.1,4.6
201704,57.9,4.9
201705,63.4,0.0
201706,73.2,0.7
201707,78.0,0.6
201708,71.0,-4.5
201709,69.9,2.4
201710,58.1,2.0
201711,44.5,2.4
201712,32.3,1.3
201801,26.5,-0.4
201802,33.8,2.6
201803,40.8,-0.7
201804,47.1,-5.9
201805,72.4,9.0
201806,77.0,4.5
201807,77.2,-0.2
201808,76.0,0.5
201809,70.6,3.1
201810,55.4,-0.7
201811,35.5,-6.6
201812,34.9,3.9
201901,28.1,1.2
201902,29.5,-1.7
201903,39.4,-2.1
201904,55.4,2.4
201905,63.5,0.1
201906,72.0,-0.5
201907,77.5,0.1
201908,73.6,-1.9
201909,73.8,6.3
201910,52.6,-3.5
201911,38.8,-3.3
201912,37.3,6.3
202001,31.7,4.8
