Boone County, Illinois, Average Temperature
201209,61.6,-1.0
201210,48.8,-2.2
201211,37.5,0.9
201212,32.0,8.0
201301,23.2,4.0
201302,21.7,-1.2
201303,28.4,-6.0
201304,44.7,-2.3
201305,60.6,2.2
201306,67.3,-0.8
201307,71.2,-1.4
201308,69.7,-0.5
201309,63.9,1.3
201310,50.2,-0.8
201311,34.6,-2.0
201312,18.8,-5.2
201401,10.4,-8.8
201402,12.0,-10.9
201403,27.1,-7.3
201404,46.2,-0.8
201405,58.6,0.2
201406,68.7,0.6
201407,67.7,-4.9
201408,70.5,0.3
201409,61.3,-1.3
201410,50.1,-0.9
201411,30.4,-6.2
201412,29.7,5.7
201501,18.8,-0.4
201502,12.1,-10.8
201503,32.6,-1.8
201504,49.4,2.4
201505,59.8,1.4
201506,66.8,-1.3
201507,70.6,-2.0
201508,69.0,-1.2
201509,67.6,5.0
201510,52.7,1.7
201511,42.0,5.4
201512,36.8,12.8
201601,21.1,1.9
201602,28.7,5.8
201603,41.1,6.7
201604,47.6,0.6
201605,58.5,0.1
201606,70.0,1.9
201607,73.4,0.8
201608,72.8,2.6
201609,67.5,4.9
201610,54.9,3.9
201611,44.6,8.0
201612,22.8,-1.2
201701,25.8,6.6
201702,34.7,11.8
201703,36.3,1.9
201704,52.1,5.1
201705,56.6,-1.8
201706,69.7,1.6
201707,72.0,-0.6
201708,67.9,-2.3
201709,65.8,3.2
201710,54.4,3.4
201711,36.4,-0.2
201712,23.7,-0.3
201801,19.2,0.0
201802,22.9,0.0
201803,34.6,0.2
201804,38.9,-8.1
201805,64.7,6.3
201806,69.3,1.2
201807,71.5,-1.1
201808,72.0,1.8
201809,65.4,2.8
201810,48.8,-2.2
201811,31.5,-5.1
201812,29.6,5.6
201901,17.5,-1.7
201902,21.2,-1.7
201903,32.2,-2.2
201904,47.4,0.4
201905,55.2,-3.2
201906,66.8,-1.3
201907,75.8,3.2
201908,69.6,-0.6
201909,66.5,3.9
201910,49.5,-1.5
201911,31.6,-5.0
201912,31.6,7.6
202001,26.7,7.5
