Knox County, Tennessee, Average Temperature
201208,75.4,-0.6
201209,69.9,-0.7
201210,57.6,-1.2
201211,46.2,-1.2
201212,45.6,6.2
201301,41.3,3.6
201302,41.1,0.6
201303,42.8,-5.8
201304,57.2,-0.3
201305,65.3,-1.1
201306,74.2,0.3
201307,75.6,-1.5
201308,75.5,-0.5
201309,70.7,0.1
201310,60.4,1.6
201311,45.4,-2.0
201312,41.8,2.4
201401,30.0,-7.7
201402,40.9,0.4
201403,46.7,-1.9
201404,59.5,2.0
201405,67.2,0.8
201406,75.1,1.2
201407,74.3,-2.8
201408,75.4,-0.6
201409,71.8,1.2
201410,59.6,0.8
201411,42.6,-4.8
201412,43.1,3.7
201501,36.3,-1.4
201502,31.8,-8.7
201503,50.3,1.7
201504,59.8,2.3
201505,69.4,3.0
201506,76.6,2.7
201507,77.6,0.5
201508,75.2,-0.8
201509,71.2,0.6
201510,60.1,1.3
201511,53.3,5.9
201512,51.8,12.4
201601,34.6,-3.1
201602,41.7,1.2
201603,53.9,5.3
201604,59.6,2.1
201605,66.1,-0.3
201606,76.6,2.7
201607,80.4,3.3
201608,80.5,4.5
201609,75.5,4.9
201610,64.4,5.6
201611,52.4,5.0
201612,41.9,2.5
201701,45.3,7.6
201702,48.0,7.5
201703,50.2,1.6
201704,63.6,6.1
201705,67.0,0.6
201706,72.8,-1.1
201707,78.2,1.1
201708,75.2,-0.8
201709,69.0,-1.6
201710,61.2,2.4
201711,50.1,2.7
201712,40.3,0.9
201801,32.6,-5.1
201802,49.4,8.9
201803,47.5,-1.1
201804,54.1,-3.4
201805,72.5,6.1
201806,76.3,2.4
201807,78.2,1.1
201808,76.1,0.1
201809,75.7,5.1
201810,61.3,2.5
201811,44.9,-2.5
201812,43.1,3.7
201901,40.0,2.3
201902,46.6,6.1
201903,47.8,-0.8
201904,60.2,2.7
201905,70.8,4.4
201906,72.7,-1.2
201907,77.9,0.8
201908,77.3,1.3
201909,76.6,6.0
201910,63.0,4.2
201911,45.2,-2.2
201912,45.8,6.4
202001,43.6,5.9
