Juneau City and Borough, Alaska, Average Temperature
201208,47.0,-1.1
201209,41.9,-0.5
201210,31.3,-3.3
201211,21.5,-3.7
201212,15.0,-5.3
201301,22.1,5.0
201302,26.4,6.0
201303,22.3,-3.2
201304,28.5,-3.9
201305,40.0,0.0
201306,49.6,3.1
201307,49.3,1.3
201308,50.3,2.2
201309,43.9,1.5
201310,37.2,2.6
201311,22.4,-2.8
201312,18.6,-1.7
201401,27.5,10.4
201402,16.3,-4.1
201403,24.0,-1.5
201404,32.6,0.2
201405,44.0,4.0
201406,45.5,-1.0
201407,47.7,-0.3
201408,48.4,0.3
201409,43.9,1.5
201410,35.9,1.3
201411,25.6,0.4
201412,24.8,4.5
201501,25.8,8.7
201502,22.4,2.0
201503,29.2,3.7
201504,33.5,1.1
201505,45.8,5.8
201506,49.0,2.5
201507,48.1,0.1
201508,48.9,0.8
201509,41.6,-0.8
201510,36.9,2.3
201511,27.1,1.9
201512,22.6,2.3
201601,26.3,9.2
201602,28.2,7.8
201603,31.9,6.4
201604,36.5,4.1
201605,44.0,4.0
201606,48.8,2.3
201607,50.1,2.1
201608,50.2,2.1
201609,43.5,1.1
201610,34.0,-0.6
201611,28.6,3.4
201612,18.1,-2.2
201701,22.0,4.9
201702,21.9,1.5
201703,19.4,-6.1
201704,35.4,3.0
201705,41.3,1.3
201706,45.4,-1.1
201707,46.3,-1.7
201708,48.2,0.1
201709,43.0,0.6
201710,34.1,-0.5
201711,20.5,-4.7
201712,23.4,3.1
201801,20.7,3.6
201802,16.2,-4.2
201803,25.1,-0.4
201804,32.6,0.2
201805,41.2,1.2
201806,47.1,0.6
201807,50.9,2.9
201808,49.5,1.4
201809,43.6,1.2
201810,37.4,2.8
201811,29.3,4.1
201812,24.5,4.2
201901,21.6,4.5
201902,16.3,-4.1
201903,29.6,4.1
201904,33.7,1.3
201905,43.7,3.7
201906,48.9,2.4
201907,50.9,2.9
201908,50.5,2.4
201909,44.3,1.9
201910,33.7,-0.9
201911,29.8,4.6
201912,27.3,7.0
202001,15.6,-1.5
