Davidson County, Tennessee, Average Temperature
201208,76.4,-0.7
201209,69.7,-1.4
201210,57.2,-2.4
201211,46.3,-1.7
201212,46.5,6.9
201301,41.0,3.6
201302,41.5,1.2
201303,43.6,-5.3
201304,57.6,-0.6
201305,66.1,-0.7
201306,75.4,0.5
201307,75.7,-2.6
201308,75.8,-1.3
201309,71.6,0.5
201310,60.2,0.6
201311,44.9,-3.1
201312,40.2,0.6
201401,30.7,-6.7
201402,37.9,-2.4
201403,45.3,-3.6
201404,59.4,1.2
201405,68.8,2.0
201406,76.0,1.1
201407,74.8,-3.5
201408,77.9,0.8
201409,70.9,-0.2
201410,60.6,1.0
201411,42.6,-5.4
201412,42.5,2.9
201501,36.6,-0.8
201502,31.5,-8.8
201503,49.1,0.2
201504,60.9,2.7
201505,69.2,2.4
201506,77.0,2.1
201507,79.9,1.6
201508,75.3,-1.8
201509,72.7,1.6
201510,60.7,1.1
201511,54.6,6.6
201512,52.2,12.6
201601,35.8,-1.6
201602,43.4,3.1
201603,55.0,6.1
201604,60.9,2.7
201605,66.1,-0.7
201606,77.8,2.9
201607,81.3,3.0
201608,80.2,3.1
201609,74.8,3.7
201610,66.2,6.6
201611,54.3,6.3
201612,40.9,1.3
201701,45.6,8.2
201702,50.1,9.8
201703,52.2,3.3
201704,64.2,6.0
201705,68.2,1.4
201706,74.7,-0.2
201707,80.2,1.9
201708,76.3,-0.8
201709,70.5,-0.6
201710,61.7,2.1
201711,50.5,2.5
201712,39.6,0.0
201801,33.9,-3.5
201802,49.2,8.9
201803,49.3,0.4
201804,53.2,-5.0
201805,74.1,7.3
201806,78.6,3.7
201807,80.1,1.8
201808,78.7,1.6
201809,76.0,4.9
201810,61.7,2.1
201811,45.0,-3.0
201812,43.5,3.9
201901,39.6,2.2
201902,47.7,7.4
201903,47.1,-1.8
201904,59.9,1.7
201905,71.0,4.2
201906,75.2,0.3
201907,79.6,1.3
201908,78.6,1.5
201909,78.0,6.9
201910,62.6,3.0
201911,44.2,-3.8
201912,46.2,6.6
202001,44.0,6.6
