Cambria County, Pennsylvania, Average Temperature
201209,60.1,-0.2
201210,50.6,1.2
201211,35.9,-2.4
201212,34.5,6.4
201301,28.2,3.8
201302,25.6,-0.1
201303,31.1,-3.7
201304,48.1,2.6
201305,57.4,1.0
201306,65.7,1.1
201307,70.2,1.6
201308,66.0,-0.8
201309,58.7,-1.6
201310,51.4,2.0
201311,35.2,-3.1
201312,30.0,1.9
201401,17.7,-6.7
201402,21.3,-4.4
201403,29.1,-5.7
201404,46.2,0.7
201405,56.9,0.5
201406,66.0,1.4
201407,66.7,-1.9
201408,65.0,-1.8
201409,60.8,0.5
201410,51.3,1.9
201411,34.6,-3.7
201412,32.4,4.3
201501,21.8,-2.6
201502,15.4,-10.3
201503,30.9,-3.9
201504,47.6,2.1
201505,61.6,5.2
201506,65.7,1.1
201507,68.8,0.2
201508,66.5,-0.3
201509,64.4,4.1
201510,48.7,-0.7
201511,44.1,5.8
201512,40.5,12.4
201601,22.9,-1.5
201602,28.9,3.2
201603,42.4,7.6
201604,46.0,0.5
201605,56.0,-0.4
201606,65.8,1.2
201607,71.4,2.8
201608,71.9,5.1
201609,64.3,4.0
201610,52.2,2.8
201611,40.9,2.6
201612,29.3,1.2
201701,30.3,5.9
201702,35.5,9.8
201703,33.9,-0.9
201704,52.2,6.7
201705,55.3,-1.1
201706,65.2,0.6
201707,69.7,1.1
201708,65.5,-1.3
201709,61.6,1.3
201710,54.4,5.0
201711,37.2,-1.1
201712,26.0,-2.1
201801,21.6,-2.8
201802,33.6,7.9
201803,29.8,-5.0
201804,41.4,-4.1
201805,64.2,7.8
201806,65.2,0.6
201807,69.5,0.9
201808,70.0,3.2
201809,65.4,5.1
201810,51.0,1.6
201811,34.7,-3.6
201812,31.9,3.8
201901,23.8,-0.6
201902,29.4,3.7
201903,32.9,-1.9
201904,48.7,3.2
201905,59.9,3.5
201906,64.2,-0.4
201907,70.7,2.1
201908,67.5,0.7
201909,63.4,3.1
201910,51.8,2.4
201911,35.3,-3.0
201912,31.0,2.9
202001,30.6,6.2
