Eau Claire County, Wisconsin, Average Temperature
201209,58.6,0.2
201210,44.8,-2.3
201211,35.4,4.2
201212,23.2,6.2
201301,15.7,4.7
201302,17.6,1.9
201303,23.4,-5.1
201304,37.8,-5.9
201305,55.3,-0.5
201306,64.8,-0.4
201307,70.7,0.9
201308,69.3,2.2
201309,62.3,3.9
201310,46.5,-0.6
201311,30.2,-1.0
201312,11.1,-5.9
201401,5.6,-5.4
201402,5.9,-9.8
201403,22.5,-6.0
201404,40.5,-3.2
201405,56.4,0.6
201406,67.8,2.6
201407,67.3,-2.5
201408,68.8,1.7
201409,58.9,0.5
201410,46.4,-0.7
201411,24.8,-6.4
201412,23.8,6.8
201501,15.4,4.4
201502,7.9,-7.8
201503,32.2,3.7
201504,46.8,3.1
201505,57.5,1.7
201506,65.7,0.5
201507,69.4,-0.4
201508,66.4,-0.7
201509,65.0,6.6
201510,49.1,2.0
201511,40.3,9.1
201512,31.1,14.1
201601,15.1,4.1
201602,22.0,6.3
201603,38.6,10.1
201604,45.1,1.4
201605,57.3,1.5
201606,67.1,1.9
201607,70.7,0.9
201608,70.0,2.9
201609,62.7,4.3
201610,50.8,3.7
201611,42.0,10.8
201612,19.6,2.6
201701,18.2,7.2
201702,28.2,12.5
201703,30.7,2.2
201704,47.0,3.3
201705,55.1,-0.7
201706,66.4,1.2
201707,70.0,0.2
201708,64.6,-2.5
201709,63.3,4.9
201710,49.4,2.3
201711,31.1,-0.1
201712,16.9,-0.1
201801,14.0,3.0
201802,14.4,-1.3
201803,30.2,1.7
201804,34.1,-9.6
201805,63.8,8.0
201806,68.9,3.7
201807,70.4,0.6
201808,68.9,1.8
201809,62.0,3.6
201810,44.0,-3.1
201811,27.1,-4.1
201812,24.1,7.1
201901,13.1,2.1
201902,12.5,-3.2
201903,25.3,-3.2
201904,43.6,-0.1
201905,53.0,-2.8
201906,64.3,-0.9
201907,71.6,1.8
201908,66.7,-0.4
201909,63.7,5.3
201910,45.3,-1.8
201911,29.1,-2.1
201912,21.7,4.7
202001,19.9,8.9
