Polk County, Iowa, Average Temperature
201208,72.3,-0.6
201209,63.6,-0.9
201210,50.6,-2.5
201211,41.2,3.7
201212,28.5,4.0
201301,23.6,4.0
201302,26.2,1.7
201303,30.6,-5.9
201304,45.7,-4.0
201305,59.7,-1.6
201306,70.2,-0.4
201307,73.6,-1.9
201308,74.2,1.3
201309,69.0,4.5
201310,52.2,-0.9
201311,35.9,-1.6
201312,18.9,-5.6
201401,16.7,-2.9
201402,15.8,-8.7
201403,32.0,-4.5
201404,49.1,-0.6
201405,61.4,0.1
201406,70.6,0.0
201407,69.4,-6.1
201408,72.2,-0.7
201409,62.9,-1.6
201410,52.7,-0.4
201411,31.1,-6.4
201412,29.8,5.3
201501,23.4,3.8
201502,15.5,-9.0
201503,39.5,3.0
201504,52.4,2.7
201505,60.9,-0.4
201506,70.1,-0.5
201507,72.7,-2.8
201508,69.6,-3.3
201509,69.1,4.6
201510,54.0,0.9
201511,43.4,5.9
201512,34.0,9.5
201601,21.3,1.7
201602,29.7,5.2
201603,44.2,7.7
201604,51.9,2.2
201605,60.7,-0.6
201606,74.6,4.0
201607,74.1,-1.4
201608,73.4,0.5
201609,69.0,4.5
201610,57.2,4.1
201611,46.9,9.4
201612,25.2,0.7
201701,26.1,6.5
201702,37.2,12.7
201703,39.4,2.9
201704,53.0,3.3
201705,60.6,-0.7
201706,73.0,2.4
201707,77.1,1.6
201708,69.8,-3.1
201709,69.0,4.5
201710,54.9,1.8
201711,38.5,1.0
201712,25.8,1.3
201801,19.9,0.3
201802,22.7,-1.8
201803,36.7,0.2
201804,41.7,-8.0
201805,68.7,7.4
201806,74.3,3.7
201807,74.5,-1.0
201808,73.4,0.5
201809,66.9,2.4
201810,49.8,-3.3
201811,31.8,-5.7
201812,30.2,5.7
201901,20.1,0.5
201902,16.8,-7.7
201903,32.8,-3.7
201904,51.4,1.7
201905,58.2,-3.1
201906,70.5,-0.1
201907,76.0,0.5
201908,70.8,-2.1
201909,69.5,5.0
201910,47.8,-5.3
201911,33.8,-3.7
201912,31.3,6.8
202001,24.0,4.4
